c1,c2,c3,reward
1.0,0.0,0.0,-0.0004237358801707
0.9,0.0,0.0,-0.0002248600774361
1.1,0.0,0.0,-0.0009258823044563
1.0,-0.1,0.0,0.0021857474766375
1.0,0.1,0.0,-0.0033015048733252
1.0,0.0,-0.1,-0.0021193436577211
1.0,0.0,0.1,0.0010758477418139
0.7,-0.2,0.2,0.0050179291609846
0.8,-0.2,0.2,0.0059378408230961
0.7,-0.3,0.2,0.0061490954667632
0.7,-0.1,0.2,0.0036184773459843
0.7,-0.2,0.1,0.0040032293002199
0.7,-0.2,0.3,0.003872636255749
0.9,-0.4,0.4,0.0105521131405497
0.8,-0.4,0.4,0.0094232257328686
1.0,-0.4,0.4,0.0113777305039841
0.9,-0.5,0.4,0.0089272975681562
0.9,-0.3,0.4,0.009446598597638
0.9,-0.4,0.3,0.0101220851453282
0.9,-0.4,0.5,0.0107861174377392
1.0,-0.6,0.6,0.0064470086477489
0.9,-0.6,0.6,0.0023107652711386
1.1,-0.6,0.6,0.011049750214097
1.0,-0.5,0.6,0.0109860122449607
1.0,-0.6,0.5,0.0132797886468046
1.0,-0.6,0.4,0.0082233705782354
0.9,-0.6,0.5,0.0027343198151729
1.1,-0.6,0.5,0.0134950968574002
1.0,-0.5,0.5,0.0107329372845118
0.8,-0.5,0.6,0.0063991611753074
1.2,-0.6,0.5,0.0138071654900164
1.3,-0.5,0.3,0.0106801783696621
1.1,-0.4,0.6,0.0122490500758539
1.0,-0.6,0.3,0.0114068194856234
0.8,-0.6,0.6,0.0011691027344369
0.7,-0.4,0.6,0.0011834138590718
0.8,-0.6,0.3,0.0059289111787522
1.1,-0.6,0.3,0.0129591736776054
0.8,-0.6,0.5,0.0004011133560494
1.3,-0.5,0.4,0.0103549780462427
1.3,-0.6,0.3,0.0094613637485018
0.8,-0.5,0.4,0.0085625914910123
1.2,-0.5,0.4,0.0126556987201592
0.9,-0.5,0.5,0.00737284834972
1.2,-0.5,0.6,0.0106320983414151
0.9,-0.5,0.3,0.0110748733339567
0.7,-0.6,0.5,-0.0014344001982062
0.9,-0.3,0.5,0.0097961615677837
0.7,-0.6,0.4,0.0011189738379838
1.1,-0.5,0.6,0.0105755540603984
0.7,-0.6,0.2,0.0053543989109705
1.2,-0.3,0.2,0.0089003290140747
1.2,-0.6,0.3,0.0129304769918538
0.9,-0.6,0.3,0.0101293889037075
1.3,-0.6,0.6,0.0128104012878357
1.2,-0.6,0.6,0.0079553596132966
1.4,-0.6,0.6,0.0101211391848573
1.3,-0.5,0.6,0.0093685715057455
1.3,-0.6,0.5,0.0133214265859939
1.5,-0.5,0.6,0.0026953797831209
1.4,-0.4,0.3,0.0098759833359363
1.5,-0.6,0.5,0.0090422113704616
1.1,-0.6,0.4,0.0070863548254911
1.2,-0.4,0.6,0.0125066207686746
1.3,-0.5,0.5,0.014015126425989
1.3,-0.4,0.6,0.0124609210010325
1.5,-0.6,0.6,0.007179008035131
1.5,-0.5,0.5,0.0072468291538988
1.4,-0.5,0.6,0.0068787855015291
1.0,-0.4,0.6,0.0058579331773624
1.5,-0.6,0.4,0.0082091255501131
1.3,-0.3,0.6,0.0102970152030031
1.5,-0.4,0.6,0.006130572886142
1.5,-0.5,0.3,0.009643465555245
1.4,-0.6,0.5,0.0052451497861463
1.5,-0.4,0.4,0.009828383512527
1.5,-0.3,0.6,0.0075174218041526
1.4,-0.6,0.3,0.0108309907368967
1.4,-0.4,0.6,0.0067852320805502
1.4,-0.6,0.4,0.0074471711313411
1.3,-0.6,0.4,0.0113908306127513
1.5,-0.6,0.3,0.0106872597433845
1.4,-0.5,0.4,0.0093463737354504
1.3,-0.3,0.5,0.0104084923623559
1.2,-0.6,0.4,0.013974728120288
1.2,-0.5,0.5,0.0100179838435042
1.1,-0.3,0.6,0.0109009011814399
1.5,-0.4,0.5,0.0039974020857933
1.4,-0.4,0.5,0.0091260488066891
1.2,-0.4,0.3,0.0116313836922846
1.4,-0.3,0.4,0.0073568132900653
1.1,-0.3,0.4,0.0103208104672049
1.1,-0.4,0.3,0.0114315545758248
1.4,-0.3,0.3,0.0087157764742823
1.0,-0.4,0.5,0.011630981771159
1.4,-0.3,0.6,0.0082365022478726
1.2,-0.3,0.5,0.0107103152198946
1.5,-0.5,0.4,0.009664821507346
1.2,-0.4,0.5,0.0122890382845764
1.1,-0.5,0.3,0.0128580949751691
1.0,-0.5,0.3,0.0114105686289997
1.2,-0.5,0.3,0.0132947999515027
1.1,-0.5,0.2,0.0123091071042462
1.1,-0.5,0.4,0.0132110583800842
1.2,-0.5,0.2,0.0118210521104695
1.2,-0.2,0.4,0.0082185822266265
1.4,-0.6,0.0,0.0107886208553855
1.2,-0.5,0.1,0.0119623059903877
1.3,-0.2,0.3,0.0069225010315127
1.1,-0.2,0.1,0.0057862640184582
1.0,-0.5,0.1,0.0108626142583428
1.4,-0.4,0.4,0.0104669333673937
0.9,-0.4,0.2,0.0094960328791613
1.0,-0.6,0.1,0.0099722082649473
1.4,-0.3,0.0,0.0055760154803217
1.1,-0.2,0.5,0.0089768744193291
1.0,-0.4,0.1,0.0094418320995433
1.0,-0.3,0.0,0.0065998576424045
1.2,-0.2,0.6,0.0090682854519704
1.5,-0.3,0.1,0.0054861153137144
1.2,-0.4,0.2,0.0109475898510547
0.9,-0.2,0.0,0.0042520690492925
1.3,-0.6,0.2,0.0090266168772022
1.1,-0.3,0.3,0.0097367288672836
1.5,-0.3,0.5,0.0079535058034051
1.5,-0.6,0.1,0.0097413074434642
1.0,-0.4,0.3,0.0109284550482775
1.4,-0.3,0.2,0.0078779290983088
1.0,-0.3,0.2,0.0087096468427921
1.3,-0.2,0.4,0.0076606359984012
1.3,-0.6,0.1,0.0093153150969004
1.4,-0.5,0.5,0.0070836880724772
1.1,-0.4,0.4,0.0119000772046328
1.5,-0.5,0.2,0.0104071836650452
0.9,-0.6,0.2,0.0086979801647496
1.2,-0.6,0.2,0.0131827386398872
1.0,-0.3,0.1,0.0077527642816934
1.1,-0.3,0.1,0.0079804933887856
1.1,-0.4,0.2,0.01076700798025
1.1,-0.4,0.5,0.0121725755936537
1.0,-0.6,0.2,0.0120030376222939
1.2,-0.4,0.4,0.0121191535193473
1.2,-0.5,0.0,0.0110020228547762
1.1,-0.3,0.2,0.0089566231703064
0.9,-0.3,0.2,0.0081594001580546
1.5,-0.3,0.2,0.0063099672272115
1.0,-0.5,0.4,0.0124518356597245
1.2,-0.3,0.4,0.0103030106546984
1.2,-0.6,0.0,0.0096555066802024
1.5,-0.3,0.0,0.0045126195871594
1.1,-0.6,0.2,0.0135098822280354
1.1,-0.6,0.1,0.0125546518571229
1.3,-0.4,0.5,0.0116832713637787
1.0,-0.2,0.6,0.0091973776511748
1.4,-0.4,0.2,0.0092469604050269
1.4,-0.5,0.2,0.0097479810933719
1.2,-0.3,0.6,0.0109215958713739
1.4,-0.2,0.6,0.0077261112263874
1.1,-0.2,0.2,0.0068779528163965
1.5,-0.6,0.2,0.0078999838090145
1.3,-0.3,0.3,0.0093593642907852
1.0,-0.3,0.3,0.0094705054110893
1.4,-0.2,0.4,0.0060718345015232
1.3,-0.4,0.4,0.010566826277578
1.5,-0.3,0.3,0.0066599584185624
1.4,-0.5,0.3,0.0114399740689273
1.3,-0.3,0.4,0.0099819403872441
1.5,-0.4,0.3,0.0091948721221828
1.3,-0.4,0.3,0.0115279422233785
1.1,-0.2,0.6,0.0092844667281007
1.5,-0.2,0.6,0.0066001185228573
1.2,-0.3,0.3,0.0096996817525387
1.1,-0.2,0.3,0.0077736174352896
1.0,-0.4,0.2,0.0102831556001997
1.1,-0.5,0.5,0.013367997971096
1.1,-0.2,0.4,0.0084732580739956
1.1,-0.3,0.5,0.0107088679181402
1.0,-0.3,0.6,0.0085966497336308
1.4,-0.2,0.5,0.0072742684039186
0.7,-0.6,0.3,0.0037268981238784
0.7,-0.5,0.3,0.0055693707229869
0.8,-0.2,0.0,0.0036739224586858
0.7,-0.2,0.0,0.0027925050770366
0.8,-0.3,0.0,0.005273082564866
0.8,-0.1,0.0,0.0018064765969787
0.8,-0.2,-0.1,0.0022479270612785
0.8,-0.2,0.1,0.0049038936854881
0.7,-0.3,-0.3,-0.0006987172355107
0.8,-0.3,-0.3,-0.0001488567375048
0.7,-0.4,-0.3,0.0011338250458161
0.7,-0.2,-0.3,-0.0023802099427944
0.7,-0.3,-0.4,-0.0023133658905373
0.7,-0.3,-0.2,0.0012492390014589
0.7,-0.4,-0.2,0.0018161803571026
0.8,-0.4,-0.3,0.0011767772448861
0.7,-0.5,-0.3,0.0022587448182181
0.7,-0.4,-0.4,-0.0006332708235396
0.7,-0.6,-0.5,-0.0013924346846202
0.8,-0.5,-0.3,0.0034007879641355
0.7,-0.6,-0.3,0.0018517514618275
0.7,-0.5,-0.4,0.0003252692785128
0.7,-0.5,-0.2,0.0033555408300394
0.8,-0.6,-0.3,0.0039848105006208
0.7,-0.6,-0.4,-4.941307118900293e-05
0.7,-0.6,-0.2,0.0021184147709574
0.9,-0.6,-0.5,0.0028259593689708
0.7,-0.5,-0.0,0.0046015756609476
0.9,-0.5,-0.4,0.0033849138964005
