c1,c2,c3,reward
1.0,0.0,0.0,0.0009481191945842
0.9,0.0,0.0,-0.0006898792769412
1.1,0.0,0.0,0.0025511458657733
1.0,-0.1,0.0,0.0007260118041927
1.0,0.1,0.0,0.0011603768293211
1.0,0.0,-0.1,0.0001855625587406
1.0,0.0,0.1,0.001579467115681
1.0,0.3,0.1,0.0021960191155537
1.2,0.0,0.0,0.0041541458491511
1.1,-0.1,0.0,0.0023371458693453
1.1,0.1,0.0,0.0027651457839299
1.1,0.0,-0.1,0.0018082067181179
1.1,0.0,0.1,0.003226186858415
1.4,0.3,-0.1,0.0073055652632045
1.3,0.3,-0.1,0.0056991187953921
1.5,0.3,-0.1,0.0089119448878577
1.4,0.2,-0.1,0.007081719361012
1.4,0.4,-0.1,0.0075288580274851
1.4,0.3,-0.2,0.0064657719248178
1.4,0.3,0.0,0.0080021459232914
1.5,0.6,0.0,0.0094439324578728
1.4,0.6,0.0,0.0085653905608156
1.5,0.5,0.0,0.0100124563425458
1.5,0.6,-0.1,0.0095681458279493
1.5,0.6,0.1,0.0109261458205221
1.5,0.6,0.2,0.0116051459327608
1.4,0.6,0.2,0.0100021458681744
1.5,0.5,0.2,0.0113911457197484
1.5,0.6,0.3,0.0120461692455834
1.4,0.6,0.3,0.0106710155971966
1.5,0.5,0.3,0.0120701458787424
1.5,0.6,0.4,0.0129418287802217
1.5,0.3,0.5,0.0129137146762794
1.4,0.3,0.5,0.0112017185966596
1.5,0.2,0.5,0.0127096986646085
1.5,0.4,0.5,0.0131179927385603
1.5,0.3,0.4,0.0123108569119431
1.5,0.3,0.6,0.0134448233810326
1.5,0.1,0.4,0.0118890821842014
1.4,0.3,0.6,0.0116784585850863
1.5,0.2,0.6,0.0132474896400356
1.5,0.4,0.6,0.0136427685653055
1.5,0.5,0.6,0.0138412106422951
1.4,0.5,0.6,0.0120659589296912
1.5,0.6,0.6,0.0125690470993742
1.5,0.5,0.5,0.0133224742912638
1.3,0.5,0.6,0.0102498497712116
1.5,0.6,0.5,0.0135271038233505
1.3,0.4,0.6,0.0100600684406865
1.3,0.2,0.6,0.0096836723101725
1.4,0.6,0.6,0.0122606874423547
1.2,0.4,0.6,0.0082084214926745
1.4,0.6,0.4,0.0112731601076984
1.2,0.6,0.6,0.008580132131384
1.4,0.4,0.5,0.0114015039366232
1.4,0.2,0.6,0.0114859992433076
1.3,0.3,0.6,0.0098712698503526
1.5,0.5,0.4,0.0127316646472561
1.5,0.4,0.4,0.0125213485310849
1.3,0.6,0.6,0.010440432350616
1.4,0.4,0.6,0.0118718351849863
1.4,0.6,0.5,0.0111586690337833
1.3,0.4,0.4,0.0091569224614145
1.3,0.6,0.5,0.0100359866601524
1.2,0.3,0.3,0.0067054992314152
1.3,0.3,0.4,0.0089552645612728
1.3,0.6,0.4,0.0095615141711796
1.4,0.2,0.5,0.0110025616273827
1.4,0.2,0.4,0.010449079236356
1.2,0.3,0.5,0.0076533659208355
1.5,0.4,0.3,0.0118561460339358
1.4,0.5,0.5,0.0116017789752076
1.5,0.2,0.3,0.0114281458844765
1.2,0.5,0.6,0.008393779500569
1.2,0.6,0.3,0.0073173460663987
1.2,0.5,0.5,0.0080361374497509
1.2,0.4,0.5,0.0078442545970355
1.4,0.3,0.3,0.0100357626357275
1.2,0.6,0.5,0.00822880422046
1.2,0.2,0.4,0.0070175416182387
1.3,0.6,0.3,0.0090157276513267
1.3,0.3,0.5,0.0094478384098989
1.3,0.2,0.5,0.0092534371016727
1.3,0.4,0.5,0.0096431943977135
1.3,0.2,0.4,0.008754246693481
1.5,0.3,0.3,0.0116421460163528
1.5,0.3,0.2,0.0109631458579319
1.5,0.0,0.5,0.0123026479381542
1.4,0.0,0.5,0.0106067971981454
1.5,-0.1,0.5,0.0120996133619379
1.5,0.1,0.5,0.0125059996757063
1.5,0.0,0.4,0.011677485969846
1.5,0.0,0.6,0.0128551655560953
1.4,-0.0,0.4,0.0100386387656242
1.4,-0.1,0.5,0.0104105290702251
1.5,-0.2,0.5,0.0118967368228533
1.5,-0.1,0.4,0.011464957416472
1.5,-0.1,0.6,0.0126604227968737
1.4,-0.4,0.6,0.0103620085469842
1.4,-0.2,0.5,0.0102154807908175
1.5,-0.3,0.5,0.0116936315892587
1.5,-0.2,0.4,0.0112511457191079
1.5,-0.2,0.6,0.0123660840842568
1.5,-0.4,0.6,0.0108660315269605
1.3,-0.4,0.3,0.0069381458673127
1.2,-0.1,0.6,0.0073057502290038
1.3,0.0,0.4,0.0083550257591672
1.3,0.1,0.5,0.0090602424683784
1.4,-0.1,0.6,0.0109162153634018
1.4,-0.5,0.3,0.0081204555271763
1.5,0.0,0.3,0.0110001459048333
1.4,-0.3,0.5,0.0100215618903143
1.5,-0.5,0.4,0.0104321462524583
1.2,-0.4,0.5,0.0063729284048035
1.5,-0.5,0.5,0.0112834404754858
1.3,0.0,0.3,0.0077712218248102
1.2,-0.0,0.4,0.0066290734291228
1.3,-0.3,0.2,0.006473145877814
1.5,-0.1,0.2,0.0101071456878549
1.4,0.1,0.3,0.0096107111870196
1.4,-0.3,0.6,0.010544839339648
1.5,-0.2,0.3,0.0105721458410075
1.5,0.1,0.3,0.0112141459198202
1.5,-0.3,0.2,0.0096791458979649
1.2,-0.4,0.6,0.0067932845360674
1.4,-0.2,0.6,0.0107295661831516
1.3,0.0,0.2,0.0071151458423487
1.5,-0.5,0.2,0.0092196326694718
1.3,-0.1,0.5,0.0086786836929171
1.3,-0.3,0.3,0.0071499594852447
1.5,-0.3,0.6,0.0120192623773601
1.3,-0.1,0.3,0.0075647909529832
1.3,-0.3,0.6,0.0087738512956759
1.2,-0.3,0.6,0.0069614131377923
1.2,-0.2,0.2,0.0050829025520918
1.3,-0.2,0.6,0.0089510019244004
1.4,0.0,0.6,0.0111046496760697
1.4,-0.2,0.4,0.0096292379751841
1.4,-0.1,0.3,0.0091831457951707
1.3,-0.4,0.6,0.0085995688845726
1.3,-0.3,0.5,0.0083054906452137
1.3,-0.2,0.5,0.0084909404606289
1.5,-0.5,0.6,0.0118904809554476
1.5,-0.1,0.3,0.0107861458347625
1.4,-0.1,0.2,0.0085041459477353
1.3,0.1,0.4,0.0085540839856252
1.2,-0.1,0.3,0.0059008723952263
1.5,-0.4,0.4,0.0108231458146671
1.4,0.1,0.6,0.0112946554900227
1.5,-0.5,0.3,0.0096339344880001
1.3,0.1,0.6,0.0094975344166982
1.3,-0.1,0.6,0.0091308663170039
1.5,0.0,0.2,0.0103211459398294
1.5,-0.4,0.3,0.0101441460216942
1.3,-0.2,0.4,0.0079610752291297
1.5,-0.3,0.4,0.0102853760833028
