c1,c2,c3,reward
1.0,0.0,0.0,-0.0111194176368599
0.9,0.0,0.0,-0.0098831963272741
1.1,0.0,0.0,-0.0042004802837958
1.0,-0.1,0.0,-0.0013480246756165
1.0,0.1,0.0,-0.0077469678986757
1.0,0.0,-0.1,-0.0040292064861716
1.0,0.0,0.1,-0.0060299492543808
1.0,0.1,0.1,0.0001288030135123
0.9,0.1,0.1,-0.0137775714047481
1.1,0.1,0.1,-0.009570129434343
1.0,0.2,0.1,0.0007902525493413
1.0,0.1,0.2,-0.0050609217667512
1.0,0.2,-0.1,-0.0047795964128843
0.9,0.2,0.1,-0.0109651714303716
1.1,0.2,0.1,-0.0035892961651892
1.0,0.3,0.1,-0.0022288590642407
1.0,0.2,0.0,-0.012090881317866
1.0,0.2,0.2,-0.0043051172806649
1.1,-0.1,-0.1,-0.0069064223675407
1.0,0.4,0.2,-0.0213283908724822
0.7,0.1,-0.1,-0.0090395103196737
0.7,0.2,-0.1,-0.0120876367590074
1.0,0.5,-0.1,-0.0160357203640421
1.1,0.5,0.0,-0.0163423617593846
1.2,0.2,-0.1,-0.0112994166612626
0.9,0.3,0.3,-0.0111950636272542
0.8,0.3,-0.2,-0.0136033133268286
0.8,0.1,-0.0,-0.0115812612236823
1.0,0.3,0.2,-0.0107017043851067
1.3,0.3,0.1,-0.0042224092961584
1.2,0.3,0.1,-0.0106035394232553
1.4,0.3,0.1,-0.0112941800638161
1.3,0.2,0.1,-0.0107904944126152
1.3,0.4,0.1,-0.0152428567514049
1.3,0.3,0.0,-0.0016454843707382
1.3,0.3,0.2,-0.0096660646494093
1.5,0.5,-0.3,-0.0300759217815706
1.2,0.3,0.0,-0.0102654080614957
1.4,0.3,0.0,-0.0261113724034757
1.3,0.2,0.0,0.0019709371231691
1.3,0.4,0.0,-0.0172622551717312
1.3,0.3,-0.1,-0.0213287752665383
1.2,0.4,-0.1,-0.0177152572541152
1.5,0.2,-0.1,-0.024766471507344
1.2,0.0,-0.1,-0.0074600124245049
1.2,0.6,-0.0,-0.04263389907909
1.2,0.6,0.3,-0.0171359653633181
1.5,0.4,0.2,-0.0393740559867791
1.4,0.2,0.0,-0.0058396111725924
1.4,0.5,-0.1,-0.0454759188535838
1.4,0.2,0.1,-0.005249261358943
1.3,0.1,0.1,-0.0052024394409901
1.3,0.5,-0.2,-0.0373625088882578
1.4,0.0,-0.2,-0.0019259756580601
1.1,0.3,-0.1,-0.0110896300270847
1.2,0.2,-0.3,-0.014723747432524
1.5,0.3,0.3,-0.0256712770046025
1.5,0.3,-0.1,-0.0255041359612708
1.3,0.4,0.2,-0.0197613024347533
1.1,0.1,-0.0,-0.0092791394313572
1.4,0.5,0.2,-0.0382315897255455
1.1,0.1,-0.3,-0.0068541717052905
1.5,0.1,-0.3,-0.0248475711551655
1.1,0.5,0.1,-0.0018512440202656
1.4,0.6,0.1,-0.0530234131784473
1.5,0.1,0.1,-0.0088905121813241
1.2,0.4,0.2,-0.011201527869799
1.2,0.5,-0.2,-0.0341344589192563
1.1,0.3,-0.2,-0.0127572608720447
1.1,0.4,0.1,-0.0037191472659308
1.5,0.6,0.0,-0.0541765498427817
1.2,0.3,-0.3,-0.029834263639486
1.3,0.5,-0.3,-0.0226371583820387
1.3,0.6,-0.2,-0.0524224839542803
1.4,0.3,-0.1,-0.0296673147728539
1.2,0.0,-0.3,-0.0093497854391604
1.3,0.1,0.2,-0.0073602875286079
1.3,0.1,-0.1,-0.0164712132976601
1.1,0.3,-0.0,-0.0113088682914449
1.5,0.6,0.2,-0.0677480168641856
1.5,0.0,0.2,-0.0100079408432337
1.1,0.5,-0.2,-0.0194512788178703
1.5,0.4,-0.2,-0.0369251746176593
1.2,0.3,-0.2,-0.0317255140604636
1.1,0.6,-0.0,-0.0311268943834757
1.4,0.6,0.3,-0.0539445538869595
1.5,0.5,-0.2,-0.0333055989817146
1.4,0.4,-0.2,-0.0261962664521762
1.2,0.4,0.0,-0.0122988241414234
1.4,0.1,0.2,-0.004693552242034
1.0,0.4,-0.0,0.0019569615713409
0.9,0.4,-0.0,-0.0007119506458365
1.1,0.4,-0.0,-0.0117066199654192
1.0,0.3,-0.0,-0.0149904119251015
1.0,0.5,-0.0,-0.0074108780161173
1.0,0.4,-0.1,-0.0167533236379703
1.0,0.4,0.1,-0.0024692030520605
1.2,0.4,0.1,-0.0145560197823031
0.9,0.4,0.1,-0.0073496328056923
1.3,0.6,-0.3,-0.0501526865575668
0.9,0.5,0.2,-0.00557588142592
0.7,0.1,0.1,-0.0184179750487231
0.9,0.3,0.1,-0.010470213060343
0.7,0.6,-0.1,-0.019005507215601
0.9,0.4,-0.1,-0.0047876403308063
0.9,0.6,-0.0,-0.0152507685247502
0.9,0.6,-0.1,-0.0222893251499976
1.0,0.6,0.1,-0.0207157375341688
1.2,0.1,0.3,-0.0074534175148688
0.9,0.4,0.2,-0.007897856227482
0.8,0.2,-0.2,-0.0053548723992028
1.3,0.6,0.1,-0.0278033253444087
0.8,0.5,-0.0,-0.0041684980223391
1.1,0.6,-0.2,-0.0304550408664968
1.2,0.3,-0.1,-0.0119167621324924
1.2,0.3,0.3,-0.011907622022728
0.7,0.3,-0.0,-0.0127757021514616
0.8,0.5,0.2,-0.0100386763615161
0.9,0.3,-0.2,-0.026685199273755
0.9,0.6,0.2,-0.0263181372113435
0.8,0.3,0.0,-0.0051691738393824
1.2,0.2,0.0,-0.0030358413528536
1.3,0.1,0.0,-0.0011051764496279
1.3,0.2,-0.1,-0.0081365985220918
1.2,-0.1,-0.2,-0.0078199860425777
1.2,0.1,0.1,-8.207497261221702e-05
1.4,0.3,0.2,-0.0118204442844728
1.4,-0.0,-0.1,-0.0025538992108307
1.5,0.4,-0.1,-0.0320460710005715
1.2,0.0,0.2,-0.0117144591926108
1.5,0.0,-0.1,-0.0002108414496328
1.5,-0.1,-0.1,-0.003066719202551
1.5,0.1,-0.1,-0.0134708275954384
1.5,0.0,-0.2,-0.0106403301055256
1.5,0.0,0.0,-0.002910896529525
1.4,-0.1,0.2,-0.0107448798764375
1.4,-0.3,-0.2,0.0044237102991204
1.3,-0.3,-0.2,-0.0024337727158965
