c1,c2,c3,reward
1.0,0.0,0.0,0.810175763848926
0.9,0.0,0.0,0.800265102773594
1.1,0.0,0.0,0.8943755343965689
1.0,-0.1,0.0,0.8537356661063769
1.0,0.1,0.0,0.8326452207859711
1.0,0.0,-0.1,0.8275853949649993
1.0,0.0,0.1,0.9395044471473588
0.8,0.0,-0.2,1.0418600971471583
1.2,0.0,0.0,0.7416867347151194
1.1,-0.1,0.0,0.8899882758775317
1.1,0.1,0.0,0.7667053299483177
1.1,0.0,-0.1,0.8509153840665127
1.1,0.0,0.1,0.8198225583962812
1.3,0.2,0.1,0.5596019839690568
1.2,0.0,-0.1,0.857599063544702
1.1,-0.1,-0.1,0.857118540261838
1.1,0.1,-0.1,0.7290820620945452
1.1,0.0,-0.2,0.8685540896579191
0.9,-0.3,-0.4,0.9230731379129882
1.1,-0.1,-0.2,0.7432473764729466
1.2,-0.3,-0.4,0.8536023299620997
1.4,-0.2,-0.3,0.682327597245845
1.1,-0.2,-0.3,0.8929941081221582
1.3,-0.1,-0.4,0.7215376612674708
0.9,-0.3,-0.1,0.8966696225426283
0.8,-0.2,-0.0,1.043074121614805
1.4,-0.2,-0.2,0.6874470593755898
1.1,0.0,-0.3,0.8255706193729561
1.4,0.2,-0.1,0.5718164700275528
1.3,-0.1,-0.2,0.6790204957451169
0.9,-0.1,0.1,0.8700485965163172
1.3,0.2,-0.2,0.6230410917008716
0.8,-0.3,0.1,1.0400600490762826
1.1,-0.2,0.2,0.8987893881290556
0.9,0.1,-0.3,0.743745678253065
1.2,-0.1,0.1,0.8097720522334784
1.2,0.3,-0.1,0.6571500190550973
0.9,-0.2,-0.4,0.9471721038938062
1.0,-0.2,-0.1,0.8425403246758015
1.0,0.2,-0.4,0.7095856035007347
1.4,-0.1,-0.3,0.5991168431088219
1.3,0.2,-0.3,0.6698111971586491
1.1,0.2,-0.0,0.7257902671623904
1.3,-0.1,-0.1,0.6333567949426355
0.9,0.2,0.1,0.8119603501755249
1.0,0.1,0.1,0.8546776123553335
1.2,0.2,0.0,0.7216129082582412
1.1,0.2,-0.3,0.6681904663289565
1.4,-0.1,0.1,0.7038932496590555
0.8,0.1,-0.2,0.7823404104502009
1.0,0.1,-0.2,0.905464520250534
1.4,0.2,-0.2,0.5959037006990974
1.1,-0.2,-0.4,0.7918155464171002
0.9,-0.3,0.0,0.8666655988712418
1.0,0.1,-0.3,0.7664181677633213
1.1,0.1,-0.3,0.7837899458610426
0.9,0.1,-0.1,1.0483445407865366
1.2,-0.2,0.1,0.8981254657392788
1.3,0.2,0.0,0.6090561512374228
0.9,0.2,-0.0,0.7699340038480241
1.1,-0.2,-0.1,0.8561429759336542
1.2,-0.2,-0.4,0.7546867211102394
1.0,-0.1,0.2,0.9088677587670656
1.1,0.3,0.1,0.7457792423473338
1.3,0.2,-0.1,0.6790672363425219
1.3,-0.2,0.2,0.6548879822008563
0.9,0.3,0.0,0.9332163393497838
1.4,-0.0,0.0,0.64508458206023
1.1,0.1,-0.2,0.8447417689460068
0.9,0.1,-0.4,0.678167996113261
1.3,0.3,-0.3,0.5776626851454262
1.4,0.3,0.1,0.6400582542324078
1.2,-0.1,-0.0,0.7858909920688155
1.3,-0.0,0.0,0.6632898537875135
1.0,-0.0,-0.2,0.8260670415272486
1.0,0.1,0.2,0.8366053855356014
1.3,0.2,-0.4,0.6058798198108233
1.0,-0.1,-0.2,0.9170538700565256
0.9,0.2,-0.2,0.9057398401357196
1.0,0.3,-0.0,0.713820109696686
1.4,0.1,-0.1,0.711192517683592
1.0,0.1,-0.1,0.8422623213579826
1.2,0.0,-0.4,0.6233553330512541
1.2,-0.1,-0.3,0.7819314488640843
1.2,0.3,0.1,0.7388344866696959
1.4,0.1,-0.2,0.6010513240674118
0.9,-0.0,-0.1,0.846032859811309
1.1,-0.2,0.0,0.866385998203798
1.3,-0.2,0.0,0.7645702930275474
1.3,0.1,0.1,0.6678363709984146
1.3,-0.1,-0.0,0.7212322397562382
1.0,-0.2,-0.3,0.8939192103444639
1.3,0.1,-0.0,0.7326364548864444
0.8,-0.1,-0.2,0.9962605460258313
1.4,0.2,-0.0,0.671822016919154
1.0,-0.2,-0.0,0.8983587102180131
0.9,-0.2,-0.3,1.0068082292987404
0.9,0.3,-0.1,0.7934209235381728
1.0,0.2,-0.1,0.9312104712107356
1.2,0.1,-0.3,0.6602370291195401
0.9,-0.1,-0.1,0.9125586894095836
0.9,-0.2,-0.2,0.9555103609551552
1.1,-0.3,-0.1,0.9440860759422092
1.1,0.2,-0.2,0.7420962648575634
1.2,-0.2,-0.0,0.788008456155316
1.0,0.2,0.1,0.7952533043122818
1.4,-0.2,-0.1,0.6305481965853639
