date,objective,start_index
2021-02-28,max_return,1
2021-02-28,sharpe,100
2021-02-28,sortino,153
2021-02-28,volatility,198
2021-02-28,downside_vol,262
2021-03-31,max_return,1
2021-03-31,sharpe,125
2021-03-31,sortino,212
2021-03-31,volatility,225
2021-03-31,downside_vol,332
2021-04-30,max_return,1
2021-04-30,sharpe,59
2021-04-30,sortino,129
2021-04-30,volatility,182
2021-04-30,downside_vol,316
2021-05-31,max_return,1
2021-05-31,sharpe,73
2021-05-31,sortino,141
2021-05-31,volatility,183
2021-05-31,downside_vol,301
2021-06-30,max_return,1
2021-06-30,sharpe,77
2021-06-30,sortino,109
2021-06-30,volatility,125
2021-06-30,downside_vol,288
2021-07-31,max_return,1
2021-07-31,sharpe,59
2021-07-31,sortino,109
2021-07-31,volatility,126
2021-07-31,downside_vol,196
2021-08-31,max_return,1
2021-08-31,sharpe,96
2021-08-31,sortino,154
2021-08-31,volatility,196
2021-08-31,downside_vol,282
2021-09-30,max_return,1
2021-09-30,sharpe,100
2021-09-30,sortino,145
2021-09-30,volatility,165
2021-09-30,downside_vol,240
2021-10-31,max_return,1
2021-10-31,sharpe,51
2021-10-31,sortino,128
2021-10-31,volatility,150
2021-10-31,downside_vol,272
2021-11-30,max_return,1
2021-11-30,sharpe,77
2021-11-30,sortino,95
2021-11-30,volatility,112
2021-11-30,downside_vol,174
2021-12-31,max_return,1
2021-12-31,sharpe,54
2021-12-31,sortino,123
2021-12-31,volatility,153
2021-12-31,downside_vol,193
2022-01-31,max_return,1
2022-01-31,sharpe,69
2022-01-31,sortino,99
2022-01-31,volatility,120
2022-01-31,downside_vol,160
2022-02-28,max_return,1
2022-02-28,sharpe,77
2022-02-28,sortino,89
2022-02-28,volatility,108
2022-02-28,downside_vol,134
2022-03-31,max_return,1
2022-03-31,sharpe,48
2022-03-31,sortino,80
2022-03-31,volatility,107
2022-03-31,downside_vol,177
2022-04-30,max_return,1
2022-04-30,sharpe,99
2022-04-30,sortino,107
2022-04-30,volatility,113
2022-04-30,downside_vol,141
2022-05-31,max_return,1
2022-05-31,sharpe,93
2022-05-31,sortino,153
2022-05-31,volatility,172
2022-05-31,downside_vol,235
2022-06-30,max_return,1
2022-06-30,sharpe,66
2022-06-30,sortino,102
2022-06-30,volatility,104
2022-06-30,downside_vol,104
2022-07-31,max_return,1
2022-07-31,sharpe,74
2022-07-31,sortino,85
2022-07-31,volatility,100
2022-07-31,downside_vol,129
2022-08-31,max_return,1
2022-08-31,sharpe,94
2022-08-31,sortino,135
2022-08-31,volatility,190
2022-08-31,downside_vol,214
2022-09-30,max_return,1
2022-09-30,sharpe,81
2022-09-30,sortino,112
2022-09-30,volatility,127
2022-09-30,downside_vol,144
2022-10-31,max_return,1
2022-10-31,sharpe,67
2022-10-31,sortino,79
2022-10-31,volatility,91
2022-10-31,downside_vol,169
2022-11-30,max_return,1
2022-11-30,sharpe,104
2022-11-30,sortino,118
2022-11-30,volatility,131
2022-11-30,downside_vol,180
2022-12-31,max_return,1
2022-12-31,sharpe,88
2022-12-31,sortino,123
2022-12-31,volatility,141
2022-12-31,downside_vol,145
2023-01-31,max_return,1
2023-01-31,sharpe,59
2023-01-31,sortino,84
2023-01-31,volatility,105
2023-01-31,downside_vol,133
2023-02-28,max_return,1
2023-02-28,sharpe,60
2023-02-28,sortino,89
2023-02-28,volatility,110
2023-02-28,downside_vol,163
2023-03-31,max_return,1
2023-03-31,sharpe,58
2023-03-31,sortino,85
2023-03-31,volatility,98
2023-03-31,downside_vol,150
2023-04-30,max_return,1
2023-04-30,sharpe,83
2023-04-30,sortino,98
2023-04-30,volatility,203
2023-04-30,downside_vol,285
2023-05-31,max_return,1
2023-05-31,sharpe,52
2023-05-31,sortino,79
2023-05-31,volatility,103
2023-05-31,downside_vol,152
2023-06-30,max_return,1
2023-06-30,sharpe,108
2023-06-30,sortino,151
2023-06-30,volatility,167
2023-06-30,downside_vol,218
2023-07-31,max_return,1
2023-07-31,sharpe,70
2023-07-31,sortino,109
2023-07-31,volatility,133
2023-07-31,downside_vol,175
2023-08-31,max_return,1
2023-08-31,sharpe,72
2023-08-31,sortino,90
2023-08-31,volatility,152
2023-08-31,downside_vol,211
2023-09-30,max_return,1
2023-09-30,sharpe,88
2023-09-30,sortino,96
2023-09-30,volatility,102
2023-09-30,downside_vol,194
2023-10-31,max_return,1
2023-10-31,sharpe,75
2023-10-31,sortino,103
2023-10-31,volatility,112
2023-10-31,downside_vol,197
2023-11-30,max_return,1
2023-11-30,sharpe,96
2023-11-30,sortino,115
2023-11-30,volatility,155
2023-11-30,downside_vol,211
2023-12-31,max_return,1
2023-12-31,sharpe,82
2023-12-31,sortino,90
2023-12-31,volatility,108
2023-12-31,downside_vol,157
2024-01-31,max_return,1
2024-01-31,sharpe,88
2024-01-31,sortino,113
2024-01-31,volatility,123
2024-01-31,downside_vol,123
2024-02-29,max_return,0
2024-02-29,sharpe,96
2024-02-29,sortino,139
2024-02-29,volatility,145
2024-02-29,downside_vol,250
