c1,c2,c3,reward
1.0,0.0,0.0,0.948347130545274
0.9,0.0,0.0,1.0603344369134198
1.1,0.0,0.0,1.0545116870621076
1.0,-0.1,0.0,0.967146633981317
1.0,0.1,0.0,0.902507024793183
1.0,0.0,-0.1,0.9613058802328988
1.0,0.0,0.1,0.9792783269008116
1.3,0.1,0.3,0.8380052034709796
1.2,0.1,0.3,0.9147565254809072
1.4,0.1,0.3,0.9531944422676232
1.3,0.0,0.3,0.8682253916373085
1.3,0.2,0.3,0.8551532011590078
1.3,0.1,0.2,0.956216353382562
1.3,0.1,0.4,0.8461338011776951
1.2,0.5,0.1,1.0580933197972588
1.2,0.2,0.3,1.0251904120286714
1.4,0.2,0.3,0.8868572255648136
1.3,0.3,0.3,0.9183035724485898
1.3,0.2,0.2,0.9098982768346368
1.3,0.2,0.4,0.7700857059618501
1.4,0.4,0.5,0.8298635059188189
1.3,0.4,0.5,0.8445940769155333
1.5,0.4,0.5,0.7323170677676138
1.4,0.3,0.5,0.8274820474040173
1.4,0.5,0.5,0.7523674134926995
1.4,0.4,0.4,0.8307793257127037
1.4,0.4,0.6,0.7274786974532488
1.2,0.4,0.4,0.8784090896453227
1.2,0.3,0.4,0.8958089557942598
1.3,0.2,0.6,0.7446759123393847
1.4,0.2,0.4,0.8739854605291629
1.3,0.4,0.6,0.8297351467664361
1.4,0.3,0.6,0.7308510982672052
1.4,0.4,0.2,0.958069556342923
1.4,0.5,0.3,0.8448542199750293
1.2,0.4,0.3,0.9521663352833984
1.5,0.5,0.6,0.6749276022889302
1.4,0.5,0.6,0.7059929716554266
1.5,0.4,0.6,0.6886659939175399
1.5,0.6,0.6,0.5694076373104365
1.5,0.5,0.5,0.6630374183857035
1.4,0.6,0.6,0.6502513104067617
1.5,0.6,0.5,0.6973529805511003
1.2,0.6,0.6,0.7427782396449153
1.5,0.3,0.6,0.7282278999036381
1.4,0.5,0.4,0.8015449068532956
1.5,0.6,0.4,0.6842430681841647
1.3,0.6,0.5,0.7787498972785114
1.3,0.5,0.6,0.7868027969558581
1.4,0.6,0.4,0.7067641780379688
1.3,0.6,0.6,0.7573187839971023
1.5,0.4,0.4,0.8383499366610497
1.3,0.6,0.4,0.9079294694674666
1.5,0.3,0.4,0.8114010138479119
1.4,0.6,0.3,0.7488603322998039
1.3,0.6,0.3,0.879081118286232
1.5,0.6,0.3,0.6976693852057005
1.4,0.6,0.2,0.9586843235570778
1.4,0.4,0.1,1.0051208788726302
1.3,0.4,0.1,1.12998890908282
1.5,0.4,0.1,0.9162607484842836
1.4,0.3,0.1,1.1142957986960054
1.4,0.5,0.1,0.9653362429644672
1.4,0.4,0.0,1.0910572913634615
1.5,0.6,0.0,0.7851003277021491
1.3,0.4,0.0,1.040304765083783
1.5,0.4,0.0,0.8696687914118907
1.4,0.3,0.0,1.0755162220644423
1.4,0.5,0.0,1.0381586726422452
1.4,0.4,-0.1,0.9424920901016836
1.3,0.4,-0.1,1.0462287243120645
1.1,0.6,-0.1,0.841930628305732
1.2,0.4,0.2,1.0249576000553422
1.2,0.3,-0.0,0.9598593990226146
1.1,0.4,-0.0,1.0420827152364271
1.5,0.1,-0.3,1.03369720496581
1.3,0.3,-0.2,1.0045051952055752
1.2,0.4,0.0,1.0853239036072864
1.5,0.5,0.2,0.8398264285327633
1.2,0.1,-0.1,0.9606036894517987
1.2,0.2,-0.3,1.0741047815095737
1.1,0.2,-0.3,0.9117500696283046
1.3,0.2,-0.3,1.0075501530473296
1.2,0.1,-0.3,0.9434935859778564
1.2,0.3,-0.3,1.0862326555483242
1.2,0.2,-0.4,1.0818537498846867
1.2,0.2,-0.2,1.1121610630149903
1.1,0.1,-0.3,0.9573431829439304
1.0,-0.0,-0.6,0.9354827889894676
1.2,0.3,-0.5,0.9224423086595782
1.0,0.4,-0.2,1.0802055466362346
1.5,0.4,-0.2,0.9373721589652272
1.4,0.4,-0.6,0.8595180937378744
1.4,-0.1,-0.2,1.0518652675014704
1.4,-0.1,-0.3,1.0740367024018491
1.2,0.2,-0.1,0.9378503450358808
0.9,-0.1,-0.5,1.0562622333809322
1.4,0.3,-0.2,0.8899246107871551
1.0,0.0,-0.5,0.9569440343964064
0.9,0.2,-0.1,0.974549947481633
1.4,0.1,-0.0,0.9422194516511302
1.1,0.1,-0.0,0.933142586354974
0.9,-0.0,-0.4,1.0009905906221204
