c1,c2,c3,reward
1.0,0.0,0.0,55.33003534274901
0.9,0.0,0.0,62.95021268344121
1.1,0.0,0.0,55.66351041663784
1.0,-0.1,0.0,58.52864245104429
1.0,0.1,0.0,54.42727443144605
1.0,0.0,-0.1,56.800127311687696
1.0,0.0,0.1,59.86134349586905
1.2,-0.1,-0.1,75.5343230857535
1.1,-0.1,-0.1,81.93067077716194
1.3,-0.1,-0.1,49.90816889238756
1.2,-0.2,-0.1,61.64040906429352
1.2,0.0,-0.1,59.37348563861553
1.2,-0.1,-0.2,64.52675014189056
1.2,-0.1,0.0,52.729213778347344
1.1,-0.1,-0.4,78.39443838370383
1.0,-0.1,-0.4,92.64313141029498
1.2,-0.1,-0.4,73.64984155280428
1.1,-0.2,-0.4,75.58874999143238
1.1,0.0,-0.4,80.51078522370034
1.1,-0.1,-0.5,80.09261756964067
1.1,-0.1,-0.3,69.61157998585769
1.4,-0.3,-0.6,58.19294355212842
1.3,-0.3,-0.6,60.21962066138377
1.5,-0.3,-0.6,55.222760349947016
1.4,-0.4,-0.6,59.206802131879655
1.4,-0.2,-0.6,55.00616489251514
1.4,-0.3,-0.5,52.125206160990246
1.4,-0.5,-0.5,47.75325172961429
1.5,-0.4,-0.6,59.08844962157429
1.5,-0.2,-0.6,61.09099043697466
1.5,-0.3,-0.5,49.84109231287537
1.5,-0.5,-0.6,53.72180320205458
1.4,-0.1,-0.6,63.53347500364067
1.5,-0.3,-0.4,45.46377135740307
1.4,-0.0,-0.6,65.48011404959371
1.5,-0.6,-0.6,56.43772545872079
1.5,-0.0,-0.6,84.7033351969384
1.5,-0.2,-0.3,52.18865778576669
1.3,-0.2,-0.6,61.59545756749526
1.3,-0.4,-0.5,53.305192575398586
1.2,-0.4,-0.6,57.421290440673495
1.4,-0.6,-0.6,54.260296427308845
1.5,-0.0,-0.3,47.11022645630036
1.5,-0.0,-0.5,72.98679173240171
1.4,-0.4,-0.3,46.45520430764388
1.3,-0.1,-0.6,70.28279676296137
1.3,-0.1,-0.5,63.11597349931756
1.5,-0.1,-0.4,59.298521229943454
1.5,-0.1,-0.3,48.86732771227663
1.4,-0.1,-0.4,49.27621131203973
1.5,-0.5,-0.4,45.46775085906719
1.5,-0.5,-0.3,43.02397664282267
1.3,-0.4,-0.4,54.128072540000375
1.4,-0.1,-0.5,56.86510098153495
1.3,-0.0,-0.6,74.22351823318637
1.5,-0.2,-0.5,54.56641214919512
1.5,-0.6,-0.3,37.39118172455599
1.5,-0.4,-0.5,43.415372843812754
1.5,-0.1,-0.6,65.31700835578718
1.5,-0.2,-0.4,53.29171253437398
1.2,-0.3,-0.6,65.20356708909107
1.3,-0.0,-0.3,61.50055074350059
1.2,-0.2,-0.6,58.05869575125885
1.5,-0.4,-0.4,45.76978235034172
1.3,-0.5,-0.6,55.34079329905562
1.2,-0.4,-0.5,56.737732003510885
1.2,-0.2,-0.4,71.75847367249189
1.3,-0.2,-0.5,55.56985365299399
1.5,-0.1,-0.5,72.2861930002818
1.5,-0.3,-0.3,44.87284799320862
1.0,-0.1,-0.1,58.75476825302565
1.1,-0.2,-0.1,68.89842319017593
1.1,0.0,-0.1,103.68932927705715
1.1,-0.1,-0.2,57.70125510626418
1.1,-0.1,0.0,55.65618126228916
1.1,0.3,-0.1,71.41655679346422
1.1,0.1,-0.1,78.55551485832466
1.1,0.0,-0.2,65.1129626728616
0.8,-0.3,0.2,35.93814191027093
0.9,-0.2,-0.2,70.86236616300049
0.9,-0.1,-0.1,53.55339718230954
0.8,-0.1,-0.2,75.1473637328736
1.1,0.3,0.0,42.07233226844894
0.8,-0.0,-0.2,53.95516320496293
1.2,-0.2,0.2,46.99005220564826
1.2,0.1,-0.0,56.66553483369812
1.1,0.1,-0.2,56.24709696552194
0.8,0.3,0.0,64.10351520624559
1.3,-0.2,-0.2,67.60417919462367
0.8,0.1,-0.3,70.16851637558779
1.3,0.0,-0.4,58.32141657407533
1.0,-0.1,0.1,56.56682288201796
0.9,-0.3,-0.3,69.47027259527772
1.4,0.3,-0.2,44.26618553695027
1.1,-0.2,-0.0,53.78503361323995
1.2,0.1,-0.1,46.60659162343343
1.1,0.2,-0.2,57.52357766476871
1.0,0.2,0.0,46.19584485726136
1.0,0.0,-0.2,70.63527285854164
0.8,-0.2,0.0,52.47702308879772
1.4,0.0,-0.2,66.79041747163365
1.0,0.3,-0.4,70.28568839989985
1.0,0.1,-0.1,65.52801533040933
1.1,-0.0,0.2,51.85049863315801
1.4,0.2,-0.4,63.25106931663372
1.4,-0.0,0.1,39.210176233587966
1.2,0.0,-0.4,77.21414965697045
0.9,-0.2,-0.0,61.7810898019689
1.3,0.2,-0.0,51.28211484919785
1.2,-0.2,-0.2,70.14279444868336
1.5,0.1,-0.6,58.85752527606624
1.5,0.2,-0.5,83.58036393579044
1.4,0.1,-0.6,69.21331480660814
1.5,0.2,-0.6,90.369995435152
1.5,0.1,-0.5,72.39432715513489
1.4,0.4,-0.6,86.1221845421797
1.3,0.4,-0.6,95.56752621321702
1.5,0.4,-0.6,102.99995161717686
1.4,0.3,-0.6,99.30017966883166
1.4,0.5,-0.6,127.44042627392338
1.4,0.4,-0.5,85.83293047539279
1.5,0.5,-0.4,62.00103157186357
1.5,0.6,-0.6,81.1044341210807
1.5,0.6,-0.4,60.43276796083401
1.5,0.2,-0.3,54.71740951652295
1.3,0.5,-0.6,81.93058014015365
1.2,0.2,-0.6,83.18523133551433
1.4,0.3,-0.4,63.23638108421522
