c1,c2,c3,reward
1.0,0.0,0.0,0.0248299885930448
0.9,0.0,0.0,0.0259456344204553
1.1,0.0,0.0,0.023790811100385
1.0,-0.1,0.0,0.0228177256420362
1.0,0.1,0.0,0.0247873754251488
1.0,0.0,-0.1,0.0209800104789552
1.0,0.0,0.1,0.0212396713016588
1.0,0.1,0.1,0.0236334119731959
0.8,0.0,0.0,0.0246085882638245
0.9,-0.1,0.0,0.0262918589673418
0.9,0.1,0.0,0.0223047345709951
0.9,0.0,-0.1,0.0204841947578854
0.9,0.0,0.1,0.0236482243592264
0.9,-0.0,0.3,0.0255691949359479
0.8,-0.1,0.0,0.0235309641110542
0.9,-0.2,0.0,0.0212889125959777
0.9,-0.1,-0.1,0.0242976971891245
0.9,-0.1,0.1,0.0228038951141233
1.2,0.1,-0.3,0.0256493432224199
1.0,0.2,0.1,0.0207564585168128
1.0,-0.3,0.1,0.0317665470194137
0.9,-0.3,0.1,0.0228618172299913
1.1,-0.3,0.1,0.024570365626389
1.0,-0.4,0.1,0.023509076900136
1.0,-0.2,0.1,0.025741976276812
1.0,-0.3,0.0,0.0257350868468759
1.0,-0.3,0.2,0.0222512411489192
0.9,-0.4,0.3,0.0261066180055151
0.8,-0.5,-0.1,0.0282748964657199
1.0,-0.5,-0.1,0.0296134654290042
0.7,-0.4,0.1,0.0292488636476435
0.8,-0.2,0.4,0.0254512004543303
1.0,-0.1,0.1,0.0278524360657875
1.1,-0.6,0.0,0.0244789334954953
1.3,-0.2,0.1,0.0344454197383631
1.2,-0.2,0.1,0.0262197371616815
1.4,-0.2,0.1,0.0300073030531854
1.3,-0.3,0.1,0.0341538971446294
1.3,-0.1,0.1,0.028665171055742
1.3,-0.2,0.0,0.0243174379963493
1.3,-0.2,0.2,0.0334123473563947
1.2,-0.5,0.0,0.0302247714575614
1.2,-0.4,0.0,0.033829965940937
1.3,-0.3,-0.2,0.0261659901318045
1.4,0.0,0.3,0.0179910129674045
1.3,-0.5,0.1,0.0292386818329091
1.5,0.1,0.3,0.0246491877948344
1.5,-0.3,0.2,0.0366657283209308
1.4,-0.3,0.2,0.0265296734291315
1.5,-0.4,0.2,0.0211520322949572
1.5,-0.2,0.2,0.0380828491635831
1.5,-0.3,0.1,0.0301823077003729
1.5,-0.3,0.3,0.0280057873284507
1.5,-0.3,0.0,0.0333019270264618
1.4,-0.2,0.2,0.0287505010505705
1.5,-0.1,0.2,0.0261819955459618
1.5,-0.2,0.1,0.0230573604084728
1.5,-0.2,0.3,0.0262218419104098
1.5,-0.5,0.5,0.0219049200595543
1.5,0.0,-0.1,0.0222534483249986
1.4,-0.1,0.2,0.0221503577536306
1.5,-0.5,0.3,0.0286269307725467
1.5,-0.5,0.0,0.0510942785624516
1.4,-0.5,0.0,0.0402194380890553
1.5,-0.6,0.0,0.0371114095592452
1.5,-0.4,0.0,0.0348785987276878
1.5,-0.5,-0.1,0.0405499939593168
1.5,-0.5,0.1,0.0381574030526146
1.4,-0.4,0.2,0.0296051876054027
1.5,-0.6,-0.2,0.0493424089745566
1.5,-0.4,0.3,0.0273157158328116
1.5,-0.4,-0.3,0.0406381939116987
1.4,-0.6,0.0,0.0317892032032429
1.5,-0.3,-0.1,0.0377525977099475
1.2,-0.6,-0.1,0.0313613728116787
1.3,-0.3,0.2,0.0254599246419548
1.2,-0.3,-0.2,0.0289164319799085
1.4,-0.6,-0.1,0.0416053555141998
1.5,-0.4,-0.1,0.038767403853094
1.5,-0.2,-0.1,0.0264010620390532
1.2,-0.6,0.3,0.0245168775016369
1.4,-0.6,0.3,0.0282705384260242
1.5,-0.3,-0.3,0.0323572144208844
1.2,-0.2,0.2,0.0332954144047819
1.5,-0.6,-0.1,0.0417702846717358
1.5,-0.5,-0.2,0.0316406370998917
1.3,-0.6,-0.0,0.0348950667480752
1.5,-0.6,0.1,0.0373040800942021
1.4,-0.5,0.1,0.033757096142359
1.4,-0.3,0.3,0.0393563045057167
1.5,-0.5,0.2,0.0266346284207677
1.2,-0.5,0.1,0.0290946054429121
1.4,-0.3,0.0,0.0327392457848863
1.3,-0.3,-0.0,0.0311309294378193
1.5,-0.6,0.2,0.0500324466236574
1.3,-0.4,0.0,0.0422847509663117
1.3,-0.6,0.2,0.025908929450422
1.3,-0.6,0.3,0.0262207234539997
1.2,-0.4,-0.1,0.0290237499446407
1.3,-0.3,0.3,0.0297249381873962
1.5,-0.2,-0.0,0.032670512261843
1.5,-0.4,0.1,0.0367785616187965
1.5,-0.3,-0.2,0.0367286116282547
1.2,-0.4,0.3,0.0249719783136044
1.2,-0.3,0.1,0.0274977040216459
1.3,-0.6,0.1,0.0302955705928757
1.2,-0.3,-0.3,0.0254119107013483
1.4,-0.5,-0.1,0.0372834668960599
1.5,-0.6,-0.3,0.0333709702089183
1.3,-0.4,-0.1,0.0361881497574935
1.5,-0.6,0.3,0.0339133120435193
1.2,-0.5,-0.3,0.0304804089156895
1.3,-0.6,-0.3,0.0382351307629865
1.2,-0.6,-0.2,0.0278763005433474
1.4,-0.5,0.3,0.0272733963369224
1.2,-0.4,-0.2,0.0389397948892658
1.2,-0.2,-0.3,0.0211327502584973
1.3,-0.6,-0.2,0.0324854757424473
1.2,-0.4,0.2,0.0240692615643554
1.1,-0.4,0.2,0.0232665848658807
1.3,-0.4,0.2,0.0356472167185293
1.2,-0.5,0.2,0.02695980626253
1.2,-0.3,0.2,0.0298585706825253
1.2,-0.4,0.1,0.0333884590146517
1.0,-0.6,-0.0,0.0229241266379047
1.1,-0.5,0.2,0.0223208688608647
1.3,-0.5,0.2,0.0257510019271818
1.2,-0.6,0.2,0.0225938193251575
1.2,-0.5,0.3,0.0226259302955726
1.3,-0.6,0.4,0.0252219361570137
1.2,-0.6,0.4,0.022373724273379
1.4,-0.6,0.4,0.0244360165846919
1.3,-0.5,0.4,0.0248653101751481
1.3,-0.6,0.5,0.0259861354501633
1.1,-0.4,0.6,0.0212225135965335
1.2,-0.6,0.5,0.0212317341043348
1.4,-0.6,0.5,0.0271995221969065
1.3,-0.5,0.5,0.0239952460178342
1.3,-0.6,0.6,0.0206748723904179
1.4,-0.6,0.6,0.0221445590748449
1.5,-0.6,0.5,0.0260082456707672
1.1,-0.4,0.5,0.0222525804870815
1.5,-0.6,0.4,0.0253020768619747
1.5,-0.6,0.6,0.0266442682834036
1.1,-0.3,0.3,0.0269069644600431
1.1,-0.6,0.5,0.0210311564935774
1.4,-0.5,0.6,0.0215120671541725
1.1,-0.6,0.3,0.0220997714638304
1.0,-0.6,0.3,0.0202729070425616
1.5,-0.5,0.6,0.021575073090112
1.2,-0.6,0.6,0.0197477337633466
1.1,-0.6,0.6,0.0178287361820752
1.0,-0.5,0.5,0.0184301612515236
0.9,-0.5,0.5,0.0193050387287908
1.1,-0.5,0.5,0.019433919092115
1.0,-0.6,0.5,0.0192771369742522
1.0,-0.4,0.5,0.0201219877503662
1.0,-0.5,0.4,0.0207738008130594
1.0,-0.5,0.6,0.0182237565994946
0.7,-0.5,0.5,0.0181576855061469
0.8,-0.5,0.5,0.0222994953982117
0.9,-0.6,0.5,0.0175467554256433
0.9,-0.4,0.5,0.020286711107674
0.9,-0.5,0.4,0.0205090247852922
0.9,-0.5,0.6,0.0187367462891024
0.8,-0.5,0.6,0.0186363172970138
0.9,-0.6,0.6,0.0192616404820462
0.9,-0.4,0.6,0.0206899208007611
1.1,-0.6,0.4,0.0198588914393247
0.8,-0.6,0.6,0.0181577801171522
1.0,-0.6,0.6,0.0158519185184523
1.2,-0.5,0.6,0.0214414599668546
0.8,-0.4,0.6,0.0209827043482365
0.7,-0.6,0.6,0.0187711155271859
0.7,-0.3,0.6,0.0192618420606734
0.9,-0.6,0.4,0.0192324608767267
0.7,-0.5,0.6,0.0162242577344573
0.8,-0.5,0.4,0.021714478790825
0.7,-0.4,0.5,0.0205358312595428
0.7,-0.4,0.6,0.0184455365305128
0.9,-0.6,0.3,0.0184573416689682
1.1,-0.5,0.3,0.0210205433896014
1.0,-0.4,0.4,0.0236381007487834
0.8,-0.6,0.5,0.0206122634829368
1.1,-0.3,0.5,0.0206301461209782
1.0,-0.4,0.6,0.0203470053010225
0.7,-0.6,0.4,0.024389781968149
0.7,-0.6,0.3,0.024980955700046183
0.8,-0.6,0.3,0.02183151781701194
0.7,-0.5,0.3,0.019224990186815682
0.7,-0.6,0.2,0.025856423088579314
0.8,-0.4,0.5,0.02090491123881337
