c1,c2,c3,reward
1.0,0.0,0.0,0.4066589829384185
0.9,0.0,0.0,0.1546063333134017
1.1,0.0,0.0,0.1982218781321741
1.0,-0.1,0.0,0.3978213742894785
1.0,0.1,0.0,0.4110193888585329
1.0,0.0,-0.1,0.2970259497743974
1.0,0.0,0.1,0.2279192573430391
0.7,0.3,0.0,0.0343592232612591
0.9,0.1,0.0,0.2620628416762078
1.1,0.1,0.0,0.3313997965055359
1.0,0.2,0.0,0.3138255380847325
1.0,0.1,-0.1,0.3538909500888294
1.0,0.1,0.1,0.3260499702359103
0.7,0.4,-0.0,0.2295032487017035
1.2,-0.0,-0.1,0.2721996054195504
0.7,-0.2,-0.1,0.1740313619228947
1.3,0.1,0.3,0.2574115426197081
1.3,0.2,0.3,0.320739430706345
1.2,0.2,0.3,0.2577874042317888
1.4,0.2,0.3,0.3518581590651778
1.3,0.3,0.3,0.2936103766608553
1.3,0.2,0.2,0.2776126374314781
1.3,0.2,0.4,0.2841233432533473
1.2,-0.1,0.5,0.2742966825593785
1.5,0.2,0.3,0.212848723567937
1.4,0.1,0.3,0.2870779907176018
1.4,0.3,0.3,0.2950951737384484
1.4,0.2,0.2,0.1948241041752055
1.4,0.2,0.4,0.2860339755017764
1.5,0.5,0.3,0.3825036249741699
1.4,0.5,0.3,0.2458135853996825
1.5,0.4,0.3,0.326103771763006
1.5,0.6,0.3,0.3289265966530003
1.5,0.5,0.2,0.268488364592692
1.5,0.5,0.4,0.363689905065295
1.3,0.5,0.1,0.2500726669792968
1.5,0.4,0.6,0.3704846073696907
1.5,0.4,0.5,0.3245243927547002
1.5,0.6,0.2,0.3444002176116867
1.5,0.3,0.0,0.2521057307479207
1.5,0.4,0.1,0.2350248067827416
1.5,0.3,0.1,0.2870191490806247
1.5,0.6,0.1,0.2331527450728924
1.4,0.3,0.1,0.2148009040368305
1.5,0.4,0.2,0.2683826209468548
1.5,0.3,0.3,0.3169453152018728
1.4,0.5,0.5,0.3170827792535077
1.4,0.5,0.2,0.2967086570229169
1.2,0.6,0.0,0.2285060155179986
1.3,0.6,0.4,0.2737140122022558
1.5,0.3,0.4,0.2821197231722605
1.5,0.4,0.4,0.2841534872040657
1.5,0.6,0.4,0.343467191362464
1.5,0.6,0.6,0.3237849055017041
1.5,0.6,0.5,0.3245619561790151
1.5,0.3,0.2,0.3076244487489796
1.2,0.6,0.3,0.2795554928234735
1.3,0.5,0.4,0.3453740798478215
1.4,0.4,0.6,0.3759250362534038
1.5,0.6,0.0,0.2801901653916805
1.2,0.6,0.2,0.1652732356072996
1.2,0.6,0.4,0.1843451395270552
1.2,0.5,0.2,0.2558500417833529
1.5,0.4,0.0,0.254282405684628
1.4,0.4,0.1,0.2436583368888865
1.3,0.6,0.5,0.380990270326507
1.4,0.4,0.2,0.2899148569977115
1.2,0.4,0.6,0.3066382173720371
1.2,0.5,0.3,0.2720423537891145
1.3,0.6,0.2,0.2346790034158057
1.3,0.5,0.3,0.2902093844315485
1.5,0.3,0.6,0.3106190477869374
1.3,0.3,0.1,0.2254900367046079
1.3,0.2,0.5,0.4099606302584979
1.2,0.2,0.5,0.3356511753553046
1.4,0.2,0.5,0.3501797627856993
1.3,0.1,0.5,0.2407550385447465
1.3,0.3,0.5,0.3010162512891332
1.3,0.2,0.6,0.3602993921842133
1.3,-0.1,0.5,0.2877975072934493
1.3,0.4,0.6,0.2743476820729417
1.2,0.5,0.4,0.2265081257367062
1.4,0.2,0.6,0.373919429669276
1.3,0.3,0.6,0.2733385491057181
1.2,0.5,0.6,0.257005181242238
1.2,0.2,0.2,0.2453637023241004
1.5,0.5,0.6,0.3923778200151493
1.5,-0.0,0.5,0.2949073527673671
1.5,0.1,0.4,0.3616584633593473
1.5,-0.0,0.2,0.2633877670985906
1.1,0.3,0.4,0.2154430546841347
1.5,0.1,0.5,0.3034982908507528
1.1,0.2,0.5,0.3174172621005807
1.1,-0.0,0.6,0.2006619986884035
1.5,0.0,0.6,0.2950076287004022
1.3,0.5,0.5,0.2662001089787745
1.4,-0.1,0.2,0.2020223415334446
1.2,0.1,0.6,0.2812600931431147
1.4,0.0,0.4,0.2903388000002025
1.4,0.3,0.4,0.2609947081650088
1.1,0.1,0.4,0.2096667550781904
1.3,-0.1,-0.2,0.2129690008820537
0.7,0.2,0.1,0.1335884853226218
0.8,0.3,0.3,0.1030882841466609
1.3,0.1,0.1,0.2358296548458958
0.8,0.2,0.2,0.1510068201140712
1.3,0.1,-0.2,0.1620162805276258
0.8,-0.0,0.3,0.1850137850768475
1.1,-0.1,-0.3,0.2135589821457732
0.7,0.1,-0.2,0.1323218388038362
1.2,0.0,-0.0,0.2508993165675225
0.8,0.1,0.2,-0.0130611788789644
1.3,0.3,-0.3,0.1728289844646437
1.0,0.3,-0.2,0.2499982462475946
