date,objective,start_index
2024-02-29,max_return,1
2024-02-29,sharpe,80
2024-02-29,sortino,116
2024-02-29,volatility,143
2024-02-29,downside_vol,184
2024-03-31,max_return,1
2024-03-31,sharpe,71
2024-03-31,sortino,134
2024-03-31,volatility,151
2024-03-31,downside_vol,191
2024-04-30,max_return,1
2024-04-30,sharpe,72
2024-04-30,sortino,103
2024-04-30,volatility,117
2024-04-30,downside_vol,167
2024-05-31,max_return,1
2024-05-31,sharpe,83
2024-05-31,sortino,108
2024-05-31,volatility,133
2024-05-31,downside_vol,187
2024-06-30,max_return,1
2024-06-30,sharpe,87
2024-06-30,sortino,118
2024-06-30,volatility,138
2024-06-30,downside_vol,223
2024-07-31,max_return,1
2024-07-31,sharpe,85
2024-07-31,sortino,136
2024-07-31,volatility,181
2024-07-31,downside_vol,263
2024-08-31,max_return,1
2024-08-31,sharpe,63
2024-08-31,sortino,83
2024-08-31,volatility,102
2024-08-31,downside_vol,135
2024-09-30,max_return,1
2024-09-30,sharpe,92
2024-09-30,sortino,107
2024-09-30,volatility,117
2024-09-30,downside_vol,187
2024-10-31,max_return,1
2024-10-31,sharpe,124
2024-10-31,sortino,169
2024-10-31,volatility,188
2024-10-31,downside_vol,263
2024-11-30,max_return,1
2024-11-30,sharpe,71
2024-11-30,sortino,133
2024-11-30,volatility,160
2024-11-30,downside_vol,186
2024-12-31,max_return,1
2024-12-31,sharpe,48
2024-12-31,sortino,81
2024-12-31,volatility,108
2024-12-31,downside_vol,152
2025-01-31,max_return,1
2025-01-31,sharpe,55
2025-01-31,sortino,70
2025-01-31,volatility,110
2025-01-31,downside_vol,149
2025-02-28,max_return,1
2025-02-28,sharpe,79
2025-02-28,sortino,162
2025-02-28,volatility,184
2025-02-28,downside_vol,226
2025-03-31,max_return,1
2025-03-31,sharpe,46
2025-03-31,sortino,81
2025-03-31,volatility,101
2025-03-31,downside_vol,148
2025-04-30,max_return,1
2025-04-30,sharpe,89
2025-04-30,sortino,155
2025-04-30,volatility,180
2025-04-30,downside_vol,230
2025-05-31,max_return,1
2025-05-31,sharpe,51
2025-05-31,sortino,119
2025-05-31,volatility,133
2025-05-31,downside_vol,162
2025-06-30,max_return,1
2025-06-30,sharpe,80
2025-06-30,sortino,107
2025-06-30,volatility,120
2025-06-30,downside_vol,176
2025-07-31,max_return,1
2025-07-31,sharpe,94
2025-07-31,sortino,113
2025-07-31,volatility,127
2025-07-31,downside_vol,226
2025-08-31,max_return,1
2025-08-31,sharpe,60
2025-08-31,sortino,86
2025-08-31,volatility,114
2025-08-31,downside_vol,151
2025-09-30,max_return,1
2025-09-30,sharpe,87
2025-09-30,sortino,108
2025-09-30,volatility,143
2025-09-30,downside_vol,170
2025-10-31,max_return,1
2025-10-31,sharpe,59
2025-10-31,sortino,101
2025-10-31,volatility,137
2025-10-31,downside_vol,209
2025-11-30,max_return,1
2025-11-30,sharpe,52
2025-11-30,sortino,126
2025-11-30,volatility,141
2025-11-30,downside_vol,152
2025-12-31,max_return,1
2025-12-31,sharpe,108
2025-12-31,sortino,120
2025-12-31,volatility,163
2025-12-31,downside_vol,215
2026-01-31,max_return,1
2026-01-31,sharpe,85
2026-01-31,sortino,107
2026-01-31,volatility,124
2026-01-31,downside_vol,130
2026-02-28,max_return,1
2026-02-28,sharpe,52
2026-02-28,sortino,85
2026-02-28,volatility,120
2026-02-28,downside_vol,165
