c1,c2,c3,reward
1.0,0.0,0.0,30.831860506957927
0.9,0.0,0.0,32.232384058865115
1.1,0.0,0.0,30.33449487217249
1.0,-0.1,0.0,28.081046032657465
1.0,0.1,0.0,27.017475160032124
1.0,0.0,-0.1,29.742262994491057
1.0,0.0,0.1,26.70327329129865
0.9,0.1,0.2,31.51669563992709
0.9,0.1,0.0,32.525568420003005
1.1,0.1,0.0,25.88417123298926
1.0,0.2,0.0,28.202837941645534
1.0,0.1,-0.1,27.63822145845501
1.0,0.1,0.1,27.764048086161864
1.2,0.2,0.1,22.294586211389948
0.9,0.1,-0.1,29.57555835610841
1.1,0.1,-0.1,23.32784666770156
1.0,0.2,-0.1,28.483992550056826
1.0,0.1,-0.2,24.63777058462253
0.9,-0.1,0.0,30.972053069597443
0.8,0.3,0.1,32.06394554446822
0.9,-0.1,-0.1,30.60373129691052
0.8,-0.1,-0.1,29.9469104759083
1.0,-0.1,-0.1,28.55007589181032
0.9,-0.2,-0.1,30.92635604296341
0.9,0.0,-0.1,29.098145109008097
0.9,-0.1,-0.2,26.69821018129905
1.1,-0.1,-0.1,28.249772202961523
0.8,-0.3,-0.1,30.716852834192235
1.1,-0.2,-0.1,25.549592620444933
1.2,-0.2,-0.2,20.71829699079508
0.8,-0.3,-0.2,32.202093217689864
0.9,-0.3,-0.0,31.658847816743084
1.1,-0.4,-0.2,24.03545004401001
0.7,0.1,-0.1,31.950029332846803
0.9,-0.3,-0.2,26.46020911561398
0.7,-0.1,-0.2,32.42854924132447
0.9,-0.0,-0.2,26.332126330749603
0.7,-0.4,-0.2,34.96322623165956
0.7,-0.2,0.1,32.506722551028865
0.8,-0.1,0.1,30.44761527816245
1.0,0.0,-0.4,23.79120212277462
1.0,-0.2,-0.4,24.91447285309504
0.8,-0.2,-0.3,31.462593471601007
1.0,-0.0,-0.3,24.39416054098676
0.7,0.1,-0.2,32.41904214865809
0.9,0.1,0.1,29.41238998132332
1.0,-0.2,-0.2,27.37835570641875
1.0,-0.3,-0.0,28.01532504740605
0.9,-0.2,-0.2,27.34673336637925
0.9,-0.2,-0.3,27.90017774877285
1.2,-0.4,-0.4,22.10372020705585
0.8,0.1,0.0,31.16496395872505
0.7,-0.0,-0.3,33.27767173491772
0.7,-0.1,0.1,33.15488587119149
0.7,0.0,-0.1,35.646630172623816
0.7,-0.1,-0.0,35.60552370462737
1.1,-0.2,0.2,26.466146115705254
1.2,0.2,-0.1,23.949707084236763
1.1,-0.0,0.1,25.01277794047288
0.7,0.1,0.2,28.56564399298076
1.1,0.1,-0.3,22.763151222049625
0.8,-0.0,0.1,30.064668717488424
0.9,-0.4,-0.3,26.116983923234947
1.1,-0.3,-0.4,22.662189754884302
0.8,0.0,-0.2,30.81977714624415
1.2,-0.1,-0.2,24.14633409755041
1.2,-0.1,0.0,23.777232260189106
1.1,-0.0,-0.3,24.767717909714733
0.9,0.2,0.1,30.113214656984223
1.1,0.2,-0.1,23.91787903426904
1.0,-0.3,0.1,28.15776935109077
0.8,-0.1,-0.3,30.451154240467865
1.2,-0.3,-0.1,22.564181824446425
1.1,0.1,-0.2,23.90331425738064
1.2,-0.2,-0.3,21.850103323388463
0.8,-0.1,-0.2,35.58807118115108
0.8,-0.2,-0.1,31.63385047119027
1.1,0.1,0.1,26.867039481622665
0.7,-0.2,-0.2,32.06805542599389
0.9,0.1,-0.2,26.146763857969933
1.0,-0.2,0.0,26.79659136439316
0.7,-0.1,0.2,30.96399570151281
0.9,-0.2,0.1,28.944504785599992
0.8,-0.4,-0.1,33.32661199960497
0.8,0.2,0.1,28.759987554137805
1.1,-0.4,-0.3,22.450931178421964
0.9,0.0,0.1,30.391967118337
0.8,0.0,0.0,33.6108751024645
0.7,-0.1,-0.1,33.391836179245004
1.0,0.2,0.1,26.37802326474731
0.8,-0.4,-0.2,29.723437115155825
0.7,0.1,0.1,33.44333641890627
0.8,-0.3,-0.0,31.680442372824874
0.9,-0.1,0.1,31.99501149141265
1.2,-0.4,-0.1,24.39273969855926
1.2,-0.1,0.2,23.08263953844726
1.1,-0.2,0.0,23.69658339171149
0.8,0.1,-0.1,30.31731673291016
1.1,0.2,0.1,29.31026793654319
1.1,-0.1,0.2,28.380469695159327
1.0,-0.1,0.1,28.144727498133992
0.8,-0.3,0.1,30.67871433200485
1.0,0.2,-0.3,22.659728906012788
1.1,-0.3,0.1,26.56366081165488
0.8,-0.3,-0.3,30.60215371836781
1.1,-0.3,-0.2,24.04388404084456
0.8,0.2,-0.4,31.18091575102597
1.2,0.0,-0.1,23.10825763072927
0.8,-0.4,0.0,32.43878156629148
0.7,-0.2,-0.4,31.355916266376298
0.8,-0.1,0.2,31.17864243866085
0.8,0.1,0.1,28.63061048574729
0.9,-0.3,-0.1,29.23655653648937
1.2,0.1,0.2,24.239220331434502
0.7,-0.3,0.2,34.12915056796884
0.8,-0.3,0.2,35.56163534712776
0.7,-0.4,0.2,35.594730329175334
0.7,-0.2,0.2,32.76171520831696
0.7,-0.3,0.1,35.28344587989016
0.7,-0.3,0.3,31.73688554531928
0.9,-0.4,0.3,29.52104009723719
0.8,-0.4,0.2,32.03541211959396
0.7,-0.5,0.2,36.41098925464222
0.7,-0.4,0.1,39.01882006505923
0.7,-0.4,0.3,31.356598250151087
0.9,-0.4,-0.1,29.65673445462148
0.8,-0.4,0.1,34.22112842264529
0.7,-0.5,0.1,41.67472059062632
0.7,-0.4,0.0,36.91328748351652
0.9,-0.6,-0.2,29.43422000259864
0.8,-0.5,0.1,33.25755461722925
0.7,-0.6,0.1,39.15622125826778
0.7,-0.5,0.0,37.82282644313607
0.7,-0.6,0.0,38.93759625937594
0.9,-0.4,-0.0,30.00180749975813
0.7,-0.6,-0.1,34.72669098427034
0.7,-0.3,-0.0,35.686240209696635
0.7,-0.3,-0.2,29.907382426554367
0.7,-0.2,0.4,28.173543883901967
