c1,c2,c3,reward
1.0,0.0,0.0,48.945283880953774
0.9,0.0,0.0,43.43670595334294
1.1,0.0,0.0,43.573041018227954
1.0,-0.1,0.0,54.8678330908174
1.0,0.1,0.0,47.04635709491296
1.0,0.0,-0.1,40.36905339319568
1.0,0.0,0.1,48.56719538685314
0.9,-0.3,0.2,61.575930823749445
1.2,0.0,0.0,38.83426751679408
1.1,-0.1,0.0,52.2936928383169
1.1,0.1,0.0,55.426754315982336
1.1,0.0,-0.1,51.1364758336368
1.1,0.0,0.1,51.15856502169782
1.2,-0.1,0.0,53.23869766848652
1.1,-0.2,0.0,53.1392135633359
1.1,-0.1,-0.1,41.96682384917424
1.1,-0.1,0.1,52.1443578702341
1.2,-0.3,0.2,45.14859837250824
1.3,-0.2,0.2,38.41415466987517
1.2,-0.2,0.1,49.65781263149058
0.8,-0.4,0.2,51.91184782734599
1.2,0.2,0.2,45.85996091681022
0.8,0.1,0.2,48.937087068121706
1.2,-0.3,0.1,50.22670417147891
1.0,0.1,-0.1,46.48713687173797
1.2,-0.3,-0.2,46.40881324117244
0.9,-0.3,0.0,61.41930703007886
0.9,0.2,0.2,40.28932858007097
0.9,-0.2,0.0,59.14656464958094
0.9,-0.0,0.3,49.19956626875048
1.2,0.1,0.1,46.20282653710189
1.2,0.0,-0.2,41.67561436478498
1.2,-0.4,0.1,43.50096872608528
0.9,0.1,-0.2,55.2173481583571
1.3,-0.4,0.0,36.82481195865783
1.0,0.1,0.2,49.9759580824055
1.4,0.1,-0.3,30.934533764978564
0.8,-0.4,0.1,53.8884555562416
1.3,-0.0,-0.1,43.59353787910164
1.2,-0.0,-0.1,42.05488694304636
1.4,-0.0,-0.1,40.39743693547317
1.3,-0.1,-0.1,46.58284828366988
1.3,0.1,-0.1,37.712502288749626
1.3,-0.0,-0.2,43.293293866069
1.3,-0.0,0.0,40.924076577037646
1.5,-0.1,-0.1,38.3079193679
1.3,-0.2,-0.4,43.0414327849275
1.2,0.0,-0.3,41.80076762786162
1.5,-0.3,-0.3,39.05827808472281
1.4,-0.3,-0.3,41.66590005152885
1.5,-0.4,-0.3,39.75416593574932
1.5,-0.2,-0.3,40.52719188936153
1.5,-0.3,-0.4,39.63689807975768
1.5,-0.3,-0.2,38.04553623913503
1.3,-0.1,-0.4,38.55752563032822
1.4,-0.4,-0.3,42.7826423661318
1.5,-0.5,-0.3,39.20212524206036
1.5,-0.4,-0.4,45.18089086043016
1.5,-0.4,-0.2,35.86288901609573
1.3,-0.5,-0.5,42.5675927157856
1.3,-0.3,-0.3,45.98635618617095
1.2,-0.6,-0.2,52.49907835990084
1.4,-0.3,-0.2,40.57581691849537
1.5,-0.6,-0.2,35.28282443422478
1.2,-0.2,-0.5,39.9253784315331
1.5,-0.4,-0.0,33.436304181017285
1.3,-0.6,-0.5,47.72949556474514
1.5,-0.5,-0.2,32.4794799031537
1.5,-0.6,-0.5,37.375503019848274
1.2,-0.4,-0.1,48.08713999869291
1.5,-0.2,-0.0,35.96052910212812
1.5,-0.5,-0.0,32.93210635863482
1.4,-0.3,-0.6,37.97726440079533
1.2,-0.5,-0.1,46.96892676348075
1.4,-0.2,-0.1,38.994217874770186
1.4,-0.6,-0.2,41.225683597691145
1.5,-0.1,-0.4,35.84840907233578
1.5,-0.4,-0.1,41.76541205881793
1.4,-0.6,-0.5,43.36338581781786
1.5,-0.4,-0.6,36.229917553335454
1.5,-0.1,-0.5,39.09576367775392
1.2,-0.6,-0.3,54.190456711771816
1.5,-0.5,-0.5,37.15961451155452
1.3,-0.4,-0.1,42.88159936835941
1.5,-0.2,-0.5,38.44544019665725
1.4,-0.4,-0.1,39.70308960528752
1.3,-0.5,-0.3,47.08572955201132
1.5,-0.6,-0.1,34.36258593531115
1.4,-0.6,-0.1,35.62667271169662
1.2,-0.6,-0.0,42.423994586337066
1.4,-0.5,-0.3,44.25609020053973
1.3,-0.3,-0.1,46.93911650269263
1.5,-0.3,-0.0,37.756558837674525
1.5,-0.6,-0.3,34.01578716423279
1.5,-0.2,-0.1,35.51001712802347
1.4,-0.1,-0.2,41.69006517908483
1.3,-0.6,-0.0,41.17020928951574
1.5,-0.5,-0.1,33.87806929874791
1.3,-0.6,-0.1,44.37687490148488
1.3,-0.2,-0.3,41.63360082362762
1.5,-0.2,-0.6,33.60291329144125
1.3,-0.6,-0.3,44.66601366811653
1.2,-0.2,-0.6,42.67167524332276
1.4,-0.6,-0.6,43.73834069639648
1.4,-0.6,-0.4,38.76245960739022
1.5,-0.3,-0.5,41.90441183636888
1.5,-0.2,-0.4,38.49978177917697
1.5,-0.5,-0.4,42.00027756637051
1.5,-0.4,-0.5,40.069220068024045
1.3,-0.1,-0.2,45.57384394273859
1.5,-0.3,-0.1,40.56172057512418
1.4,-0.2,-0.3,39.75531714227841
1.2,-0.4,-0.0,51.72180069962307
1.1,-0.4,-0.0,50.85697402783406
1.2,-0.5,-0.0,44.630577060071936
1.2,-0.3,-0.0,44.61461026658462
1.3,-0.4,0.1,37.90336804077756
1.1,-0.2,-0.1,45.639523249628354
1.2,-0.1,0.2,44.910892787611694
1.4,-0.1,0.3,36.47813299718103
0.9,-0.3,-0.3,55.46091805930396
1.1,-0.6,0.2,42.66733743924248
0.9,-0.6,-0.1,59.4292841130454
1.0,-0.6,0.2,45.98523174772325
1.3,-0.1,0.1,42.40008022724979
0.9,-0.2,-0.1,54.31917182822682
1.1,-0.3,0.1,40.99536306567969
1.0,-0.6,-0.3,71.57682198851207
1.4,-0.2,-0.2,41.803463550792976
1.2,-0.4,0.2,41.80731710991829
1.3,-0.2,0.1,40.72888673559175
1.3,-0.6,0.1,40.400486752824605
1.4,-0.3,-0.0,37.769788759211615
1.0,-0.2,0.2,49.43151485667144
0.9,-0.5,0.3,49.56205346642528
1.0,-0.5,-0.2,59.20653186183143
1.0,-0.1,0.2,47.43529193585002
1.2,-0.1,-0.1,49.36264825902787
1.4,-0.4,-0.2,47.34907336255896
1.1,-0.5,0.1,42.94884496087652
1.3,-0.5,-0.1,45.84735731141228
1.3,-0.6,0.2,40.399962228479886
0.9,-0.6,-0.3,65.63792240683318
1.5,-0.6,0.2,34.28830096101635
1.4,-0.6,0.1,36.31514132715003
1.1,-0.4,-0.2,51.222287993361846
1.5,-0.6,0.1,35.736741187553854
1.4,-0.2,-0.0,36.54086159853059
1.2,-0.5,-0.3,50.82240646968736
1.2,-0.1,-0.2,41.69502407072815
1.0,-0.6,-0.1,57.77943381240454
1.1,-0.6,-0.1,52.08660128007263
1.0,-0.5,-0.1,64.58561839963365
1.0,-0.6,-0.2,71.34292969160542
1.0,-0.6,0.0,52.22077969957603
0.8,-0.4,-0.0,57.11178483363278
0.9,-0.6,-0.2,65.4453956641395
1.1,-0.6,-0.2,60.45194158017988
0.8,-0.6,-0.3,64.90086736405978
0.7,-0.6,-0.3,67.42946715382513
0.8,-0.5,-0.3,58.05476657357268
0.8,-0.6,-0.4,57.6899374336612
0.8,-0.6,-0.2,65.05570215665912
1.0,-0.4,-0.5,47.78832146786985
0.7,-0.5,-0.3,52.11405489586789
0.7,-0.6,-0.4,55.86133436284508
0.7,-0.6,-0.2,61.46797632095996
1.0,-0.6,-0.5,59.51992911798838
0.8,-0.6,-0.5,62.922189389671466
0.7,-0.5,-0.4,62.09665110058419
0.8,-0.5,-0.4,62.20867085014807
0.7,-0.4,-0.4,53.43702834460754
0.7,-0.5,-0.5,57.75774907880422
0.8,-0.6,-0.6,51.18354230385535
0.7,-0.6,-0.1,59.93096037720594
0.8,-0.5,-0.2,61.11485721055261
0.8,-0.5,-0.5,49.70624354219308
1.0,-0.4,-0.1,72.59323400022788
0.7,-0.2,-0.4,41.09090749043357
0.7,-0.4,-0.2,53.52820170626443
0.7,-0.4,-0.1,57.32388684321846
0.7,-0.6,-0.5,56.920424528459954
0.7,-0.4,-0.5,53.42031116688009
0.9,-0.6,-0.4,66.2270164429264
0.7,-0.6,-0.6,52.6170049411936
0.9,-0.5,-0.2,62.63298090002856
0.7,-0.3,-0.4,50.30224837518696
0.7,-0.3,-0.5,52.61013272189486
0.9,-0.5,-0.3,64.6725186492731
0.8,-0.3,-0.2,55.01790912986612
0.8,-0.2,-0.3,48.605724582808925
0.9,-0.3,-0.6,41.61575795129621
0.7,-0.5,-0.6,51.19747935299464
0.8,-0.2,-0.6,37.03985618447242
0.8,-0.4,-0.6,40.142115858791975
0.7,-0.4,-0.3,52.88604286880013
0.7,-0.3,-0.2,52.39656762838641
0.7,-0.2,-0.6,45.71624142282461
1.0,-0.6,-0.6,49.39452133959289
0.7,-0.3,-0.3,50.43876861478811
0.9,-0.2,-0.2,52.518299402458645
0.7,-0.3,-0.6,50.464899711811995
0.8,-0.2,-0.4,52.86773980112353
0.9,-0.3,-0.4,53.359417246118966
0.7,-0.2,-0.2,53.89121585980852
0.9,-0.6,-0.5,54.37303430704341
0.9,-0.4,-0.6,50.726188511058815
0.7,-0.4,-0.6,52.08240401365539
0.7,-0.2,-0.5,50.15519143316147
