c1,c2,c3,reward
1.0,0.0,0.0,-0.003752846043165
0.9,0.0,0.0,-0.0043937395764434
1.1,0.0,0.0,-0.0005569290919495
1.0,-0.1,0.0,0.0023689372939497
1.0,0.1,0.0,-0.003560613169895
1.0,0.0,-0.1,-4.904027254017749e-05
1.0,0.0,0.1,-0.0028064873270778
1.1,-0.2,-0.1,0.0040126173049216
1.0,-0.2,-0.1,-0.0010691161054128
1.2,-0.2,-0.1,0.0056298998956952
1.1,-0.3,-0.1,0.0033573174854165
1.1,-0.1,-0.1,0.0013427505107141
1.1,-0.2,-0.2,0.0016674243982843
1.1,-0.2,0.0,0.0032243062711707
1.0,0.0,-0.4,-0.0064379146579895
1.3,-0.2,-0.1,0.0073604883057541
1.2,-0.3,-0.1,0.0056890379835872
1.2,-0.1,-0.1,0.0017517151562971
1.2,-0.2,-0.2,0.0083879658770771
1.2,-0.2,0.0,0.0043924672144167
1.3,-0.0,-0.2,-0.003785376423329
1.3,-0.2,-0.2,0.005584229631817
1.2,-0.3,-0.2,0.0100168890333652
1.2,-0.1,-0.2,0.000596916135966
1.2,-0.2,-0.3,0.0051215732339063
1.0,-0.2,-0.4,-0.0012157510281396
1.1,-0.3,-0.2,0.0021890265235201
1.3,-0.3,-0.2,0.006757709593636
1.2,-0.4,-0.2,0.0041591139379762
1.2,-0.3,-0.3,0.0079939557387536
1.0,-0.3,-0.3,0.0042163822908828
1.1,-0.0,-0.1,-0.0013358775265825
1.2,-0.6,-0.5,0.0078553456117348
1.2,-0.0,-0.5,-0.0040938198972261
1.2,-0.1,-0.3,0.0014768926140092
1.3,-0.6,-0.0,0.008395064328712
1.4,-0.3,-0.1,0.0101549231305606
1.3,-0.3,-0.1,0.0043130074179792
1.5,-0.3,-0.1,0.0097159079298315
1.4,-0.4,-0.1,0.0091820942110613
1.4,-0.2,-0.1,0.0053766297236943
1.4,-0.3,-0.2,0.0105629839945624
1.4,-0.3,0.0,0.0050216980416152
1.5,-0.3,-0.3,0.0120131140744619
1.4,-0.3,-0.3,0.0109843319876171
1.5,-0.4,-0.3,0.0129295452694416
1.5,-0.2,-0.3,0.0093366475553906
1.5,-0.3,-0.4,0.0128066078362997
1.5,-0.3,-0.2,0.0116034118906873
1.2,-0.3,-0.5,0.0070543761640873
1.4,-0.4,-0.3,0.0116672811533601
1.5,-0.5,-0.3,0.0130477781887353
1.5,-0.4,-0.4,0.0153570770292805
1.5,-0.4,-0.2,0.0131339883575298
1.4,-0.2,-0.2,0.0086925982984178
1.4,-0.4,-0.4,0.008330708748213
1.5,-0.5,-0.4,0.01568932955655
1.5,-0.4,-0.5,0.0129689112040692
1.3,-0.2,-0.3,0.0017910661550929
1.4,-0.5,-0.4,0.0090866794510667
1.5,-0.6,-0.4,0.0126281509704984
1.5,-0.5,-0.5,0.0131682510288905
1.5,-0.6,-0.6,0.0088649283168222
1.5,-0.3,-0.6,0.0154799061881754
1.5,-0.6,-0.2,0.0114026069967108
1.4,-0.6,-0.5,0.0125002221529545
1.5,-0.4,-0.6,0.0126236955318814
1.3,-0.6,-0.3,0.0106839101871591
1.5,-0.2,-0.1,0.0076320131234657
1.5,-0.5,-0.2,0.0103847734109369
1.5,-0.2,-0.4,0.0097404947007938
1.2,-0.4,-0.3,0.0081346293841931
1.5,-0.2,-0.6,0.0078717040414252
1.3,-0.6,-0.2,0.0078312909860968
1.4,-0.2,-0.4,0.0091535059403996
1.5,-0.6,-0.5,0.0091661479366595
1.5,-0.5,-0.1,0.0119834224486442
1.2,-0.5,-0.6,0.0069614380881667
1.3,-0.5,-0.2,0.0097626824443024
1.4,-0.6,-0.2,0.0148720308373638
1.4,-0.5,-0.2,0.0100809036967997
1.4,-0.6,-0.3,0.0110317153708958
1.4,-0.6,-0.1,0.0089815693781632
1.1,-0.3,-0.5,0.0023974047490925
1.5,-0.6,0.0,0.0070436838866593
1.2,-0.4,-0.0,0.0069115130099191
1.4,-0.5,-0.3,0.0125075406385753
1.4,-0.3,0.1,0.0056175234864087
1.5,-0.6,-0.1,0.0106891181103507
1.3,-0.6,0.1,0.0037473149220096
1.4,-0.6,0.0,0.0080845769283771
1.1,-0.6,-0.3,0.0043578529474818
1.2,-0.4,-0.4,0.00680292862352
1.5,-0.5,0.1,0.0046363686081429
1.1,-0.6,-0.0,-0.0008065468825519
1.1,-0.6,0.1,0.0022235141288178
1.2,-0.6,0.1,0.0027258219287574
1.3,-0.6,-0.4,0.0113867098401097
1.2,-0.6,-0.3,0.0068419200889395
1.2,-0.5,-0.2,0.0059861370506743
1.2,-0.6,-0.2,0.0050562409583263
1.3,-0.4,-0.3,0.008806505980116
1.1,-0.4,-0.2,0.0073640918649594
1.5,-0.6,0.1,0.0039928323984451
1.5,-0.0,-0.0,0.0036823879536229
1.1,-0.3,0.0,0.0027090456468409
1.4,-0.5,-0.0,0.0080706364145044
1.0,-0.2,-0.3,0.0018635702598673
1.1,-0.6,-0.2,0.003027778396267
1.0,-0.4,0.1,0.0006588410210118
1.4,-0.6,-0.4,0.011541263246242
1.4,-0.0,-0.3,0.0006077991013286
1.1,-0.0,-0.2,-0.0044008591453145
1.3,-0.5,0.0,0.0068531942358594
1.1,-0.6,-0.1,0.0029792552801357
0.9,-0.5,-0.3,0.0049629251341937
0.9,-0.0,-0.2,-0.0024881922295955
0.9,-0.6,0.0,-0.0037941030790265
1.1,-0.6,-0.4,0.0040842238551533
1.2,-0.0,-0.3,-0.0043419802542867
0.9,-0.3,0.1,-0.0031050011361101
1.3,-0.3,-0.4,0.0095771998610806
1.1,-0.1,-0.5,0.0006806436941373
1.2,-0.5,0.0,0.0031966238738095
1.5,-0.0,-0.2,0.0065858758724237
1.3,-0.0,-0.3,-0.0013024938899794
0.9,-0.1,0.1,-0.0047378105617916
1.1,-0.4,-0.1,0.001597747637745
1.0,-0.1,-0.5,0.0003392072409349
1.4,-0.0,-0.2,0.0024872703078171
1.2,-0.3,-0.0,0.0024858569970465
0.9,-0.5,0.1,-0.0032325488261526
0.8,-0.5,0.1,-0.0072148337184165
1.0,-0.5,0.1,-0.0038511419068292
0.9,-0.6,0.1,-0.0070491760986679
0.9,-0.4,0.1,-0.0075137654940773
0.9,-0.5,0.0,-0.0060753998336282
0.9,-0.5,0.2,-0.0011142010529733
0.9,-0.2,0.2,-0.0038809649806102
0.7,-0.5,0.1,-0.0045806295269764
0.8,-0.6,0.1,-0.0058015777301625
0.8,-0.4,0.1,-0.0069358153680459
0.8,-0.5,0.0,-0.0047852485209975
0.8,-0.5,0.2,-0.0064676992201586
0.7,-0.5,-0.1,-0.0017592792404322
0.8,-0.4,0.3,-0.0114252920626951
1.0,-0.6,0.2,-0.0067479450029572
0.7,-0.6,0.2,-0.0097652194570392
0.8,-0.6,0.2,-0.0086304980994224
0.7,-0.5,0.2,-0.0105331990236056
0.7,-0.6,0.1,-0.0063285724188236
0.7,-0.6,0.3,-0.0143428118080383
1.0,-0.5,0.0,-0.0021812397791208
0.8,-0.6,0.3,-0.0109897688431745
0.7,-0.5,0.3,-0.0132133068363756
0.7,-0.6,0.4,-0.0112131420824277
0.9,-0.6,0.6,-0.0129778206632219
0.9,-0.6,0.4,-0.0090580275281182
0.7,-0.4,0.3,-0.0123268959988095
0.8,-0.5,0.4,-0.0116582383987739
1.0,-0.6,0.1,0.0006419034299424
0.7,-0.6,0.5,-0.0185468002808733
0.8,-0.6,0.5,-0.0142593939688153
0.7,-0.5,0.5,-0.0147920139826213
0.7,-0.6,0.6,-0.0178292449189379
0.8,-0.4,0.5,-0.0129944871193481
0.8,-0.5,0.6,-0.0170851893370426
0.8,-0.4,0.6,-0.0193140899727634
0.7,-0.3,0.2,-0.0098228057455488
0.8,-0.6,0.4,-0.0119741871881212
0.8,-0.6,0.6,-0.0187250975978011
0.9,-0.6,0.5,-0.0118190015241645
0.8,-0.5,0.5,-0.0139778531873633
1.0,-0.4,0.4,-0.0119149954571625
0.8,-0.4,0.4,-0.0116482412099819
0.7,-0.4,0.5,-0.015896367992363
0.7,-0.4,0.6,-0.0210283648513779
0.8,-0.5,0.3,-0.0110700630149444
0.7,-0.5,0.6,-0.021274547551838
0.9,-0.5,0.3,-0.0083891117971043
0.7,-0.3,0.6,-0.0198004397453365
0.7,-0.3,0.4,-0.016418513401929943
0.7,-0.4,0.4,-0.014975837849156116
0.7,-0.5,0.4,-0.01731957683644647
0.7,-0.2,0.3,-0.014234874395494394
0.8,-0.3,0.5,-0.01618947268989693
0.9,-0.4,0.3,-0.006806400848311472
1.0,-0.4,0.3,-0.010695511895207212
0.9,-0.3,0.3,-0.010603787106767914
0.9,-0.4,0.2,-0.01017487961009158
0.9,-0.4,0.4,-0.013591407062588556
0.8,-0.2,0.0,-0.005420700300297621
0.7,-0.2,0.1,-0.008816078577422958
0.9,-0.3,0.5,-0.015024074872622665
0.7,-0.3,0.5,-0.01719818737895334
1.1,-0.1,0.1,-0.001356542592901532
1.2,-0.1,0.2,-0.006461656480492381
0.8,-0.4,0.2,-0.00972960762795284
1.1,-0.4,0.1,0.0030842142637453884
1.2,-0.4,0.1,0.003679327488563326
1.1,-0.5,0.1,-0.000737294129952533
1.1,-0.3,0.1,-0.0009860738481677648
1.1,-0.4,0.0,0.0012625676102676114
1.1,-0.4,0.2,-0.00586495927737069
1.0,-0.3,0.0,-0.0012059198233142548
1.3,-0.5,0.4,-0.005084877076423083
1.3,-0.2,0.1,0.0016707012808803259
1.1,-0.1,-0.0,-0.0039027085512234327
1.3,-0.4,0.2,0.0003138923422429536
1.0,-0.4,-0.2,0.0013731572309242683
