c1,c2,c3,reward
1.0,0.0,0.0,0.0195101037813605
0.9,0.0,0.0,0.3363476232883968
1.1,0.0,0.0,-0.3493872059911057
1.0,-0.1,0.0,-0.1815320054858246
1.0,0.1,0.0,-0.2317502722958943
1.0,0.0,-0.1,0.1852850793612161
1.0,0.0,0.1,-0.2455904000705411
1.0,-0.2,-0.2,-0.0474802729628277
0.8,0.0,0.0,-0.4035250354074471
0.9,-0.1,0.0,0.0384405569675501
0.9,0.1,0.0,0.0128063300489547
0.9,0.0,-0.1,-0.3062791157458719
0.9,0.0,0.1,-0.2525822819492869
0.9,0.2,0.3,-0.2411090886920795
1.1,0.3,-0.2,-0.603778107410749
0.7,0.2,0.1,-0.4706828808831937
1.2,0.0,-0.2,-0.3541382298254806
0.7,0.1,-0.2,-0.2901255149311483
0.8,-0.1,0.1,-0.1721512782850875
0.9,-0.3,0.1,-0.0774815142904111
0.9,0.0,-0.2,-0.2264470674730295
0.9,-0.2,-0.0,0.0853053472703139
1.1,-0.3,0.2,-0.3678832878410479
1.1,0.1,-0.2,-0.2194645894073686
0.7,-0.0,-0.3,-0.237753350300006
0.9,-0.3,0.3,-0.0407603480385829
1.1,-0.1,0.2,-0.309102027435946
0.9,-0.1,0.1,0.0362373641141115
0.8,-0.2,-0.2,-0.2158439703271259
1.1,-0.1,-0.1,-0.1279462730000377
0.7,0.0,0.1,-0.2801212958391567
1.2,0.2,0.2,-0.4213992118273837
0.8,-0.2,-0.1,-0.2215420710615724
1.0,-0.2,0.1,-0.0381533991500692
0.7,-0.3,-0.2,-0.0535785419959361
1.0,-0.1,-0.2,-0.1650844913246142
0.9,-0.1,-0.3,-0.023432189651622
0.7,0.3,-0.3,-0.3570518762780019
0.8,-0.2,0.1,-0.0818040340457398
1.0,0.2,0.3,-0.0879345131086314
0.7,0.2,-0.1,-0.2751195661139394
1.0,0.3,-0.0,-0.3580433740714179
1.1,0.3,0.3,-0.3176659385091557
1.0,0.2,-0.2,-0.3972274045807418
0.7,-0.0,0.2,-0.082701060278645
1.1,0.0,-0.3,-0.2950824480348026
0.9,0.3,0.2,0.144081681310102
0.7,0.3,-0.1,-0.5358346725203169
0.7,-0.0,-0.2,-0.3689251800873774
0.7,-0.2,0.1,0.0495371842286921
0.7,-0.1,0.1,-0.2237807439480374
0.8,0.2,0.2,-0.4797235150190685
1.1,0.2,0.0,-0.7898984386505608
0.7,-0.1,-0.2,-0.1532069093922644
1.0,0.1,-0.2,-0.3346102040678004
1.0,-0.1,-0.1,0.2056832717341322
0.8,0.2,-0.1,-0.4523644666112352
1.0,-0.0,0.3,-0.1880209202288937
0.8,-0.1,0.0,-0.208315648620938
0.7,0.1,-0.1,-0.3934277934788449
1.1,-0.3,-0.1,-0.0181763049778876
0.7,0.3,0.3,-0.4053642658247435
0.8,0.0,-0.3,-0.1153614351499451
0.7,0.2,-0.0,-0.3715890463603885
0.9,-0.2,0.2,0.1519433628290865
0.8,0.2,0.1,-0.5294286983644193
1.2,-0.3,-0.1,-0.4119269794247157
0.9,-0.0,0.2,0.2979720428598084
1.2,0.2,-0.3,-0.5743115837511786
1.2,-0.2,0.2,-0.3505709617458457
1.1,0.0,0.1,-0.152953074908395
0.8,-0.2,0.3,-0.2429461769573972
1.1,-0.0,-0.2,-0.36576248275123
1.0,0.1,0.3,-0.2225699243407079
1.0,-0.3,-0.3,0.0110851620760473
0.8,0.3,0.0,-0.4358928295602352
1.1,0.1,-0.1,-0.2225768365711541
0.9,0.0,0.3,-0.472638962636996
1.0,-0.2,0.0,0.0461491901790365
1.0,-0.1,0.1,-0.2181436372004931
1.1,0.1,0.2,-0.0988008433098331
0.8,-0.3,-0.2,-0.050984256859366
0.8,-0.1,0.3,-0.1720343352292995
1.1,-0.3,0.1,-0.3068989048245029
1.0,-0.3,-0.2,0.052304411173194
0.9,0.2,0.2,-0.2729531109151162
1.0,0.1,-0.1,-0.1160277806067939
1.1,0.2,0.2,0.0587460827449272
0.9,0.3,-0.3,-0.3120906136838802
1.0,-0.3,0.3,-0.0545424384786021
0.9,0.3,-0.1,-0.3106371586323175
0.7,-0.2,-0.3,-0.2016386816553926
0.8,0.1,-0.0,-0.5366274036541011
1.0,0.3,-0.2,-0.5570698110527951
0.8,0.3,-0.3,-0.2787867440939127
1.1,-0.1,0.3,-0.0115470587419495
1.0,-0.2,0.3,0.2869212306251811
0.9,-0.2,0.3,0.1545035120226723
1.1,-0.2,0.3,-0.1164403011803788
1.0,-0.1,0.3,-0.0046114734515458
1.0,-0.2,0.2,-0.0985557199685084
1.0,-0.2,0.4,0.0186062681652278
1.1,-0.3,0.6,-0.0764485041760131
1.1,0.0,0.5,0.0290954280025281
1.3,0.1,0.2,-0.1086487304940567
0.8,-0.5,0.1,0.0042216658186033
1.1,-0.5,0.5,-0.2881784375075974
0.7,-0.1,0.5,-0.3361213166582823
0.9,-0.0,0.4,-0.0790528407141673
0.7,-0.1,0.3,-0.3729024209438129
0.9,-0.3,0.5,-0.2401886934754824
1.0,-0.5,0.2,-0.3620046697819355
0.9,-0.1,0.3,-0.1841267551471752
1.2,-0.1,0.3,-0.0610717350389307
0.7,-0.4,0.5,-0.3827445615017866
0.9,-0.1,0.2,-0.2736814563056859
1.1,0.1,0.5,-0.250364721855296
0.9,-0.4,0.4,-0.2792983009533227
1.2,0.0,0.1,-0.1975573635675196
0.8,-0.1,0.2,0.1269158965694146
1.2,-0.3,0.0,-0.0491121608559527
1.3,0.1,0.4,-0.1846646525731774
0.9,-0.1,0.5,-0.2099109400508919
1.2,-0.1,0.2,-0.3593642338140246
1.3,-0.5,0.4,0.1012778029102334
1.2,-0.4,0.2,-0.1557362301946662
1.3,-0.2,0.4,0.1403641511482662
1.0,-0.4,0.4,-0.2281190200843486
1.2,-0.1,0.6,-0.0118840614627537
1.2,-0.3,0.4,-0.0359486161922261
1.2,-0.4,0.1,-0.0863488109969468
1.3,-0.1,0.5,0.2110182618217314
1.1,-0.2,0.5,0.1779098883526642
1.0,-0.3,0.2,0.0582072491880117
0.7,-0.4,0.6,-0.2373719452198528
0.8,-0.0,0.2,-0.2643036376656988
1.0,-0.0,0.2,-0.1147408909017363
0.9,0.1,0.2,-0.4263887899643665
0.8,0.1,0.2,-0.3699948374603652
1.0,0.1,0.2,0.1397586201147986
0.9,0.1,0.1,0.0409297947008472
0.9,0.1,0.3,0.1974404979307136
0.7,0.4,0.5,-0.5865142158005273
0.7,0.1,0.2,-0.5058110094442811
0.8,0.1,0.1,-0.4532431949275008
0.8,0.1,0.3,-0.33078219660617
0.7,0.2,0.2,-0.4668374787449688
0.7,0.1,0.1,-0.4510319152527128
0.7,0.1,0.3,-0.3516926687994883
