c1,c2,c3,reward
1.0,0.0,0.0,-0.160945558113796
0.9,0.0,0.0,0.1717146878923045
1.1,0.0,0.0,0.0522671554291882
1.0,-0.1,0.0,0.5192059376338672
1.0,0.1,0.0,0.3073706176456986
1.0,0.0,-0.1,-0.2597767376978424
1.0,0.0,0.1,0.2525034738667255
1.3,0.2,0.2,0.0793640807562882
0.9,-0.1,0.0,0.1384235246581972
1.1,-0.1,0.0,0.4143572386665636
1.0,-0.2,0.0,-0.3034520838110029
1.0,-0.1,-0.1,-0.022630825996178
1.0,-0.1,0.1,-0.1613400212955414
0.8,-0.0,0.2,-0.4042670030314517
1.0,0.2,0.2,-0.3043388013573166
0.8,0.1,0.2,-0.2464907385164059
1.3,-0.0,-0.2,-0.1552708202955775
1.1,-0.2,-0.2,0.1803737935790275
1.0,0.2,0.3,-0.3720183342622432
1.2,-0.2,-0.1,-0.1744126212222134
0.9,0.1,0.2,-0.5238438539911057
0.9,-0.1,0.2,-0.4197270437782525
1.2,-0.1,0.1,-0.2245096123695114
1.3,0.1,0.1,-0.1187077719435874
0.7,0.0,-0.1,-0.4065614180832155
1.0,-0.2,0.1,-0.1750276128415514
0.8,0.1,0.1,-0.4884485625154071
1.3,-0.4,0.1,-0.2446736437228176
1.0,0.1,-0.3,0.1897945013248975
0.9,0.1,-0.3,-0.3853514610654662
1.1,0.1,-0.3,-0.2036148536161715
1.0,0.0,-0.3,0.4025515542990077
1.0,0.2,-0.3,-0.4048084915043027
1.0,0.1,-0.4,-0.1662279933174221
1.0,0.1,-0.2,-0.2678251842783141
1.0,-0.2,-0.5,-0.195401464213972
0.9,0.0,-0.3,-0.449622842021501
1.1,0.0,-0.3,-0.0140958973765812
1.0,-0.1,-0.3,0.1502757661959749
1.0,0.0,-0.4,-0.4118238650537351
1.0,0.0,-0.2,0.0276030220009618
0.7,0.1,-0.6,-0.3370072436548441
1.1,0.2,-0.3,-0.2492132359465535
1.2,-0.3,-0.2,-0.0688082489646327
1.1,0.0,-0.4,-0.3176702700348913
1.2,-0.1,-0.2,-0.0569375503354579
0.9,-0.2,-0.5,-0.211256797443957
1.2,-0.0,-0.3,-0.2763917463002114
0.8,-0.1,-0.1,-0.1837493413623455
1.3,0.0,-0.1,-0.0625297464188399
0.8,0.2,-0.3,-0.2116785072124992
1.0,0.3,-0.3,-0.3729450562539467
0.9,0.0,-0.1,-0.1010324055680155
1.0,-0.2,-0.2,-0.0114378301524372
0.8,-0.3,-0.2,-0.1479533749115244
0.8,0.1,-0.4,-0.3528619340252063
0.9,0.3,-0.5,-0.3241382776767904
0.8,0.2,-0.5,-0.1187109165476144
0.7,-0.1,-0.5,-0.4959792963106952
1.1,0.1,-0.1,-0.3901111529687644
1.0,-0.1,-0.4,-0.3047426468313022
0.8,0.2,-0.1,-0.4327297761071434
1.1,-0.2,-0.4,-0.0336559539728804
0.8,-0.1,-0.6,-0.3898619685396627
0.9,0.0,-0.2,-0.2927775450597333
1.0,-0.3,-0.1,0.0040987452547739
0.8,-0.2,-0.1,-0.3009994865220531
0.9,0.1,-0.1,-0.2599186435577039
0.9,-0.1,-0.6,-0.2728547421064147
1.1,0.1,-0.6,-0.3465585759879366
1.1,0.0,-0.6,0.0877064906140374
1.0,0.2,-0.0,0.069112472663868
1.2,-0.2,-0.6,-0.3170802408227023
1.2,-0.1,-0.4,-0.2379704047052696
0.7,-0.1,-0.2,-0.376035964821088
1.1,0.1,-0.5,-0.2120606651133203
0.7,-0.1,-0.4,-0.4132652307505394
1.1,0.2,-0.2,-0.1229857272965859
0.9,-0.1,-0.2,-0.0361960940037077
1.1,0.2,-0.0,-0.3300212304145469
1.1,0.0,-0.5,-0.352968967956031
0.9,-0.3,-0.3,0.1522916808925767
0.8,-0.1,-0.5,-0.313175445333656
1.2,0.0,-0.1,-0.2553502561142084
1.3,0.1,-0.2,-0.1497177752287654
1.3,-0.2,-0.4,-0.1776447734348256
0.9,-0.2,-0.3,-0.1205611677682585
