c1,c2,c3,reward
1.0,0.0,0.0,23.026049217353684
0.9,0.0,0.0,23.54149062581445
1.1,0.0,0.0,21.66099086528588
1.0,-0.1,0.0,22.861046639811825
1.0,0.1,0.0,21.288944407947128
1.0,0.0,-0.1,23.61801423016701
1.0,0.0,0.1,21.826206232206264
0.9,-0.2,0.1,25.905520500043387
1.0,-0.3,0.1,24.013601638582745
0.7,-0.1,0.1,24.65947278050396
1.0,0.3,0.3,16.911775867680905
1.0,-0.2,-0.0,25.51202605085632
1.1,-0.2,-0.0,22.827735464445595
1.2,-0.2,-0.0,21.471920199106915
1.1,-0.3,-0.0,21.0234696153026
1.1,-0.1,-0.0,23.163646546845165
1.1,-0.2,-0.1,24.69683444151212
1.1,-0.2,0.1,23.96611332196317
1.0,0.0,-0.2,22.3879685448522
1.3,-0.2,-0.0,21.191109155660364
1.2,-0.3,-0.0,22.92020002720511
1.2,-0.1,-0.0,22.036259329773493
1.2,-0.2,-0.1,22.7182283235998
1.2,-0.2,0.1,23.25727281535542
1.3,-0.1,0.3,21.63961564645094
1.4,-0.2,-0.0,18.930610260924965
1.3,-0.3,-0.0,20.73536138322069
1.3,-0.1,-0.0,21.6400507296729
1.3,-0.2,-0.1,21.534482729703715
1.3,-0.2,0.1,20.29866897116297
1.1,-0.5,-0.2,25.23526245645248
1.3,-0.4,0.1,19.219691320132096
1.5,-0.3,0.0,18.06601101168397
1.5,-0.1,0.0,18.84941851124705
1.4,0.0,0.2,18.78452779254004
1.4,-0.1,0.2,19.480995124964
1.3,-0.0,-0.0,20.052093753975893
1.5,-0.5,0.1,17.722061040660783
1.1,-0.2,0.2,21.129406277313706
1.3,-0.0,-0.2,17.86745941678243
1.5,-0.2,-0.2,17.39107260786207
1.5,-0.4,0.2,20.30838324354119
1.5,-0.2,0.1,17.845481522878163
1.1,0.0,0.1,19.737055833555846
1.5,-0.3,0.1,17.372534903027933
1.2,-0.4,0.2,20.99401671278586
1.2,-0.1,-0.1,20.99713722453893
1.2,-0.1,0.1,21.412711067867548
1.2,0.1,-0.0,19.86061802520156
1.5,0.0,0.2,16.51515234700067
1.2,-0.4,0.1,20.6210426565186
1.2,-0.1,-0.2,21.21708489427041
1.3,-0.1,-0.2,19.93997149997568
1.3,-0.3,0.3,20.298447590802475
1.3,-0.3,0.2,19.545947874494743
1.4,-0.1,-0.0,18.7110885627932
1.3,-0.5,-0.0,20.17529697130752
1.0,-0.4,0.1,23.990113227416288
1.5,-0.5,-0.1,18.64981686017615
1.1,-0.4,0.2,21.03162187277979
1.1,0.1,0.0,20.53742247024238
1.5,0.0,-0.3,15.89698387057571
1.5,-0.4,-0.0,17.723523470958714
1.2,0.0,0.2,22.33997404717632
1.5,-0.1,0.2,18.03320763492733
1.4,-0.1,-0.2,17.4597774932371
1.1,-0.1,-0.2,21.501852878888062
1.0,-0.3,-0.1,26.797428495153063
1.4,-0.1,-0.3,18.19855043568808
1.4,-0.3,0.2,19.023210920117485
