c1,c2,c3,reward
1.0,0.0,0.0,44.794735887815925
0.9,0.0,0.0,44.30437565693602
1.1,0.0,0.0,39.05360839408426
1.0,-0.1,0.0,45.76698828084615
1.0,0.1,0.0,39.15660445585424
1.0,0.0,-0.1,46.59532201036141
1.0,0.0,0.1,52.95773587825493
1.2,-0.2,0.4,37.12948815254622
0.9,0.0,0.1,48.402903929818095
1.1,0.0,0.1,50.23883638532288
1.0,-0.1,0.1,45.22712490861892
1.0,0.1,0.1,41.80218971753508
1.0,0.0,0.2,43.83178225075924
1.0,-0.2,-0.0,52.4464377979518
1.2,0.0,0.1,42.45566724282877
1.1,-0.1,0.1,46.02976860892586
1.1,0.1,0.1,40.13516313410939
1.1,0.0,0.2,42.16029747915965
1.2,-0.3,0.3,42.48763269150304
1.2,-0.1,-0.1,41.55568836668112
1.2,-0.3,0.1,36.23920677647311
1.1,-0.3,0.1,44.94863194249466
1.3,-0.3,0.1,31.89828474767956
1.2,-0.4,0.1,39.60508228457436
1.2,-0.2,0.1,40.52549516096065
1.2,-0.3,0.0,37.834205575915526
1.2,-0.3,0.2,41.11889143097032
1.4,-0.0,-0.1,30.133616717407094
1.0,-0.5,-0.1,45.22013595393076
0.9,-0.5,-0.1,51.61736211602955
1.1,-0.5,-0.1,46.20491156121611
1.0,-0.6,-0.1,44.51206924742968
1.0,-0.4,-0.1,42.46544643449836
1.0,-0.5,-0.2,46.86275428588844
1.0,-0.5,0.0,46.34502406085386
1.0,-0.4,0.2,46.48049068724788
1.1,-0.4,-0.2,42.34981142236614
0.7,-0.6,-0.0,65.15973135729786
1.2,-0.5,-0.1,39.65732000908745
1.3,-0.5,-0.1,42.815129126729225
1.2,-0.6,-0.1,43.58406244061959
1.2,-0.4,-0.1,37.00537673130692
1.2,-0.5,-0.2,37.4304542280572
1.2,-0.5,0.0,38.48472274544508
1.2,-0.6,0.0,42.029517671307545
1.4,-0.5,-0.1,34.33107063799769
1.3,-0.6,-0.1,41.25437076329596
1.3,-0.4,-0.1,34.95019139007671
1.3,-0.5,-0.2,40.721815706350405
1.3,-0.5,0.0,37.13661432006443
1.1,-0.3,0.0,45.42777497830178
1.0,-0.2,-0.1,55.03538181235292
1.5,-0.3,0.0,30.0250722577571
1.4,-0.5,-0.4,34.74059246745169
1.5,-0.6,-0.2,33.30294541827123
1.4,-0.4,0.1,34.9659805887304
1.4,-0.6,-0.1,44.76981099796852
1.5,-0.6,-0.1,32.0747193264278
1.4,-0.6,-0.2,37.392542503780696
1.4,-0.6,0.0,38.76721823674881
1.2,-0.4,-0.3,38.370488857538746
1.4,-0.6,0.1,37.769118165134216
1.3,-0.4,0.2,36.506393326751045
1.5,-0.5,-0.3,30.40809237742238
1.5,-0.3,-0.1,28.80877146129432
1.4,-0.3,-0.0,33.86717378674603
1.3,-0.6,-0.4,36.81285648405299
1.2,-0.4,0.2,41.53821078243344
1.1,-0.6,0.1,45.89863895888814
1.4,-0.6,-0.3,36.7083570687615
1.5,-0.6,0.1,36.52402008598119
1.5,-0.6,-0.4,28.946814276654145
1.3,-0.3,-0.0,36.01168938918248
1.5,-0.6,-0.0,34.22521870759944
1.5,-0.4,-0.3,27.8533297979348
1.4,-0.4,-0.3,33.82264282029082
1.1,-0.6,-0.3,42.32280154763656
1.4,-0.5,-0.2,36.89951470736442
1.5,-0.6,-0.3,33.49184736751947
1.3,-0.6,-0.5,34.325839546314
1.5,-0.4,-0.1,30.07488467420159
1.2,-0.6,-0.4,40.47400616333014
1.4,-0.6,-0.5,32.6542131342096
1.4,-0.6,-0.4,35.32039639631023
1.3,-0.6,-0.6,37.35907219347982
1.5,-0.6,-0.6,29.43115718499104
1.5,-0.4,-0.5,28.865579093246204
1.5,-0.6,-0.5,30.996574255010515
1.5,-0.4,-0.2,35.01920332101612
1.4,-0.4,-0.2,34.03130010809491
1.5,-0.5,-0.2,34.5267579600782
1.5,-0.3,-0.2,27.945966823580573
1.4,-0.5,-0.5,33.49113161186952
1.3,-0.1,0.1,40.59619732889253
1.3,-0.2,0.1,38.98581388098206
1.4,-0.4,-0.4,32.98058794399175
1.5,-0.2,-0.3,26.30454586833371
1.5,-0.5,-0.4,31.9296878383592
1.5,-0.1,0.0,26.29816042318452
1.5,-0.3,-0.3,29.394626487339284
1.4,-0.3,-0.4,31.44709359363618
1.3,-0.5,-0.4,34.32201949199132
1.3,-0.4,-0.3,37.666794350589264
1.4,-0.4,0.0,31.60847288584081
1.4,-0.1,-0.4,30.33105270115953
1.3,-0.4,-0.2,34.63057818711716
1.3,-0.5,-0.3,38.83996610512491
1.3,-0.4,0.1,33.396993935757145
1.3,-0.3,-0.4,34.57873921660539
1.5,-0.2,-0.4,28.922792241176168
1.2,-0.1,-0.5,34.56498202695196
1.2,-0.2,-0.2,38.66971466157239
1.4,-0.2,-0.4,28.686280483209256
1.4,-0.3,-0.3,30.307652488372764
1.5,-0.4,0.1,32.11014036114116
1.5,-0.2,0.0,29.1595935601316
1.3,-0.6,-0.2,42.15596405325309
1.4,-0.2,-0.1,30.544154742243023
1.3,-0.1,-0.5,32.8829380882238
1.4,-0.3,-0.2,31.9637143030576
1.2,-0.2,-0.4,34.94296795088954
1.5,-0.2,-0.1,27.005709222753413
1.5,-0.1,-0.2,26.88231495998843
1.5,-0.2,-0.5,29.9036258573935
1.3,-0.6,-0.3,43.89057379072783
1.5,-0.3,-0.4,31.67582357463714
1.2,-0.4,-0.2,38.46195957359315
1.5,-0.4,-0.4,29.972123642438763
1.3,-0.6,0.0,38.64389658396996
1.4,-0.5,0.0,40.07673514052094
1.5,-0.5,0.0,33.22594376368062
1.2,-0.6,-0.3,40.73434802393791
1.2,-0.6,0.2,38.798192576016206
1.2,-0.6,0.1,40.8507947230008
1.2,-0.6,-0.2,46.97119057842573
1.1,-0.6,-0.2,42.525219067257765
1.0,-0.6,-0.2,46.82406605124842
1.1,-0.5,-0.2,41.93240046876512
1.1,-0.6,-0.1,44.034422685429725
0.8,-0.3,-0.4,46.15312907424733
0.7,-0.3,-0.4,52.85330294571005
0.9,-0.3,-0.4,54.50425765599389
0.8,-0.4,-0.4,57.67780482948008
0.8,-0.2,-0.4,57.56890126906783
0.8,-0.3,-0.5,57.11148435149792
0.8,-0.3,-0.3,67.57932047237564
0.7,-0.3,-0.3,64.66706312725752
0.9,-0.3,-0.3,62.56018051520729
0.8,-0.4,-0.3,57.850987099130656
0.8,-0.2,-0.3,62.58513254291785
0.8,-0.3,-0.2,57.05690290124487
1.0,-0.3,-0.5,40.78914672483343
0.7,-0.4,-0.3,54.13072882218762
0.7,-0.2,-0.3,64.63855710498405
0.7,-0.3,-0.2,60.79206567863496
0.7,-0.4,-0.4,58.12680225763351
0.9,-0.5,-0.2,61.52664051361912
0.7,-0.0,-0.1,60.13056987917527
0.7,-0.6,-0.3,63.42633414387307
0.7,-0.2,-0.5,47.23377698136922
0.9,-0.0,-0.1,53.74514133211338
0.8,-0.6,-0.2,59.1460890159824
0.8,-0.4,-0.5,52.4619828029866
0.7,-0.2,-0.4,54.43621049506369
1.0,-0.2,-0.4,48.8208735348752
1.0,-0.3,-0.2,47.54543541666919
0.7,-0.0,-0.6,45.35411428840471
0.7,-0.1,-0.3,64.7941767869451
0.8,-0.1,-0.3,57.05083687764002
0.7,0.0,-0.3,55.32445709062121
0.7,-0.1,-0.4,52.64809069797492
0.7,-0.1,-0.2,67.58900261745521
1.0,-0.2,-0.6,34.494217659710614
