c1,c2,c3,reward
1.0,0.0,0.0,0.0188930689968865
0.9,0.0,0.0,0.0191639745967044
1.1,0.0,0.0,0.025173529639559
1.0,-0.1,0.0,0.022036263437056
1.0,0.1,0.0,0.0210064770658566
1.0,0.0,-0.1,0.0202126577580517
1.0,0.0,0.1,0.0239866926124267
1.3,0.3,0.1,0.0242948534354529
1.2,0.0,0.0,0.0235969253219578
1.1,-0.1,0.0,0.0248845099919611
1.1,0.1,0.0,0.019820191862042
1.1,0.0,-0.1,0.0231721011252959
1.1,0.0,0.1,0.0236508443367818
1.3,0.1,-0.1,0.0199947423422926
1.0,0.3,-0.1,0.0199380747998112
1.1,-0.3,-0.2,0.0228211029680538
1.3,-0.1,-0.2,0.0271002556321262
1.2,-0.1,-0.2,0.0199965555787375
1.4,-0.1,-0.2,0.0234109008799784
1.3,-0.2,-0.2,0.0276032104082815
1.3,0.0,-0.2,0.0203898135514542
1.3,-0.1,-0.3,0.0253736604269952
1.3,-0.1,-0.1,0.0258001394060261
1.1,-0.3,-0.0,0.0234745950071527
1.2,-0.2,-0.2,0.0228548110633256
1.4,-0.2,-0.2,0.0235042837447142
1.3,-0.3,-0.2,0.0268492308433177
1.3,-0.2,-0.3,0.0217790380325139
1.3,-0.2,-0.1,0.0234943560742409
1.5,-0.3,-0.2,0.0277221518958163
1.4,-0.3,-0.2,0.0275994541641844
1.5,-0.4,-0.2,0.0257952960766167
1.5,-0.2,-0.2,0.0242794385382599
1.5,-0.3,-0.3,0.0286258447632676
1.5,-0.3,-0.1,0.0241403911969565
1.4,-0.3,-0.3,0.0283373289543489
1.5,-0.4,-0.3,0.0293437572156713
1.5,-0.2,-0.3,0.0273136612453387
1.5,-0.3,-0.4,0.0261323144845542
1.5,-0.1,-0.3,0.0258266898613028
1.4,-0.4,-0.3,0.029120491113294
1.5,-0.5,-0.3,0.0291142254055254
1.5,-0.4,-0.4,0.0237043080999046
1.5,-0.2,-0.1,0.024060914179772
1.5,-0.6,-0.6,0.0288223970929803
1.3,-0.6,-0.6,0.0266918468407574
1.4,-0.2,-0.3,0.0264590643192955
1.3,-0.5,-0.3,0.0299489885528493
1.2,-0.5,-0.3,0.0237961868380205
1.4,-0.5,-0.3,0.0286235558592434
1.3,-0.6,-0.3,0.0282179176989307
1.3,-0.4,-0.3,0.0302773128183083
1.3,-0.5,-0.4,0.0253625769788491
1.3,-0.5,-0.2,0.0262985852309938
1.4,-0.4,-0.4,0.0289981791088255
1.2,-0.4,-0.3,0.0244831849495891
1.3,-0.3,-0.3,0.0313745133482495
1.3,-0.4,-0.4,0.025502893722779
1.3,-0.4,-0.2,0.0265657113143413
1.2,-0.3,-0.3,0.0276415142123696
1.3,-0.3,-0.4,0.0319592831255498
1.1,-0.1,-0.3,0.0263283838808478
