c1,c2,c3,reward
1.0,0.0,0.0,0.3472651190498192
0.9,0.0,0.0,0.3138491137360363
1.1,0.0,0.0,0.3595851899731506
1.0,-0.1,0.0,0.3742261760831999
1.0,0.1,0.0,0.2859928823752153
1.0,0.0,-0.1,0.2672016358558943
1.0,0.0,0.1,0.3241015652390954
1.3,0.1,0.3,0.3438136153088346
1.2,0.1,0.3,0.3769913723731842
1.4,0.1,0.3,0.3432606641743864
1.3,0.0,0.3,0.3216758460282806
1.3,0.2,0.3,0.3130282308897938
1.3,0.1,0.2,0.3235158591838507
1.3,0.1,0.4,0.3013756349224682
1.4,0.4,0.2,0.2685782932888189
1.5,0.1,0.3,0.2975370598176894
1.4,0.0,0.3,0.3212203498158532
1.4,0.2,0.3,0.2758153017864696
1.4,0.1,0.2,0.3664159795378021
1.4,0.1,0.4,0.3001146713098312
1.5,0.0,0.4,0.3114644933717865
1.5,0.1,0.2,0.3353505590734215
1.4,0.0,0.2,0.3901246581638323
1.4,0.2,0.2,0.2943836822736154
1.4,0.1,0.1,0.402977307176883
1.2,0.3,0.0,0.3121734874178333
1.3,0.1,0.1,0.3019661281167072
1.5,0.1,0.1,0.3486103473853206
1.4,0.0,0.1,0.3404668994670939
1.4,0.2,0.1,0.3461308178453598
1.4,0.1,0.0,0.3950102705454866
1.3,0.1,0.0,0.3789266502174998
1.5,0.1,0.0,0.3510864456103175
1.4,0.0,0.0,0.3127082300188599
1.4,0.2,0.0,0.3240447019221835
1.4,0.1,-0.1,0.3998612466903511
1.5,0.2,-0.1,0.3946412274534673
1.4,0.2,-0.1,0.3519038123041584
1.5,0.1,-0.1,0.2424570967003246
1.5,0.3,-0.1,0.2861094024671386
1.5,0.2,-0.2,0.3236586373050501
1.5,0.2,0.0,0.2927617819121088
1.2,0.1,-0.2,0.3326499052597366
1.3,-0.0,0.0,0.3177886637562248
1.5,0.1,-0.3,0.3352339997735963
1.5,0.2,0.1,0.3049656588576607
1.5,0.5,-0.4,0.2679488735978378
1.5,0.2,-0.3,0.2746373643980265
1.5,0.3,-0.4,0.2739483609576777
1.5,0.4,-0.3,0.3036910789428932
1.4,0.3,0.1,0.4490778785739037
1.3,0.3,0.1,0.3864797263706561
1.5,0.3,0.1,0.3397240501585171
1.4,0.4,0.1,0.3071583238925271
1.4,0.3,0.0,0.3490739814056348
1.4,0.3,0.2,0.3241266187783463
1.5,0.6,-0.1,0.2294206656321469
1.5,0.5,0.1,0.2493200864211284
1.5,0.4,0.4,0.2504983542384155
1.5,0.4,-0.2,0.2463436672813041
1.5,0.4,0.1,0.251079334216554
1.5,0.4,0.2,0.270275992022592
1.2,0.4,0.2,0.4104650606526798
1.4,0.0,-0.1,0.3769374564408533
1.5,0.5,0.3,0.2676472229129554
1.3,0.4,0.4,0.3589460871369461
1.1,0.3,0.1,0.3088480511619424
1.5,0.2,0.2,0.3305042914817329
1.4,0.5,0.2,0.2452789568552648
1.1,0.2,0.1,0.3541642342869433
1.2,0.4,0.3,0.3403744241405503
1.3,0.4,-0.0,0.2758449287660497
1.4,0.4,-0.1,0.3160452677834869
1.2,0.0,-0.1,0.3727768546795876
1.2,0.1,0.1,0.3877127738249426
1.4,0.6,-0.0,0.2374510125938377
1.3,0.6,0.1,0.3133064483183512
1.1,0.1,-0.1,0.3091933118167219
1.3,0.6,-0.1,0.2124429902610038
1.3,0.3,-0.1,0.3441281441773966
1.1,0.3,0.0,0.3265593603219175
1.5,0.5,-0.1,0.2411025957512804
1.5,0.3,0.4,0.3145836169393312
1.5,0.4,0.3,0.265074628728822
1.4,0.4,0.0,0.2952818858329925
1.2,0.4,-0.2,0.3100164269305925
1.3,0.4,-0.2,0.2604924949750883
1.5,0.5,0.2,0.2826862745974606
1.2,0.5,0.1,0.2386650124977726
1.5,0.3,0.2,0.3666067897692412
1.2,0.2,0.2,0.3885335331805372
1.1,0.4,-0.2,0.2435123056775779
1.1,0.4,0.1,0.3608626846637259
1.5,0.5,0.4,0.2538428737031956
1.1,0.5,0.2,0.3116813315427651
1.4,0.5,-0.0,0.2817491686103502
1.2,0.3,0.3,0.3459868709540672
1.1,0.0,0.3,0.3972306267306507
1.5,0.2,0.4,0.2904406567908226
1.2,0.1,0.4,0.3020768213839953
1.3,0.5,0.1,0.3723774853755616
1.3,0.5,0.2,0.3921762518378598
1.1,0.2,-0.2,0.2463741312887307
1.1,0.2,-0.0,0.2796781030624881
1.3,0.4,0.2,0.3924251541386945
1.1,0.4,0.0,0.2866761632252626
1.5,0.6,0.4,0.2636426361488722
1.3,0.5,-0.2,0.2292925514625573
1.5,0.6,0.3,0.2581155528796198
1.4,0.0,0.4,0.2255922249321068
1.2,0.2,0.4,0.3139172067103531
1.5,0.0,0.3,0.3165618811867141
1.2,0.5,-0.0,0.2938267453603709
1.4,0.5,0.3,0.3151690724476788
1.1,0.0,0.1,0.2934855654774631
1.5,0.5,-0.0,0.2292557229902579
1.2,0.4,-0.1,0.3003564203881952
1.3,0.4,-0.1,0.2519153821396817
1.5,0.0,0.2,0.3366229198874106
1.5,0.4,-0.1,0.2567044767040793
1.5,0.3,-0.2,0.2600406090664534
1.3,0.5,0.0,0.2594315760899072
1.3,0.0,-0.1,0.4266298169510409
1.3,-0.1,-0.1,0.4052614965232974
1.3,0.1,-0.1,0.3223284069910638
1.3,0.0,-0.2,0.3933427389552883
1.1,0.1,0.0,0.3838313498145509
1.2,-0.1,-0.1,0.4477939851383133
1.4,-0.1,-0.1,0.3283542531750117
1.3,-0.2,-0.1,0.4455925957131537
1.3,-0.1,-0.2,0.3873136558613784
1.3,-0.1,0.0,0.3620584778830564
1.1,-0.1,-0.2,0.3600524028599156
1.2,-0.2,-0.1,0.3695145163121084
1.4,-0.2,-0.1,0.3538734889908133
1.3,-0.3,-0.1,0.405137352952207
1.3,-0.2,-0.2,0.3167271331191668
1.3,-0.2,0.0,0.4967398741953159
1.5,-0.0,-0.3,0.3481776611697606
1.2,-0.3,-0.2,0.4073114421178391
1.5,-0.2,0.0,0.4510397253619663
1.2,-0.4,-0.1,0.4450190783119603
1.5,0.1,-0.4,0.3065968984889997
1.2,0.0,-0.3,0.3236191435625001
1.2,0.1,-0.3,0.3144876196445125
1.4,-0.1,-0.3,0.3834371564165151
1.2,-0.3,-0.1,0.4741159481818653
1.0,-0.2,0.1,0.3312265602308458
0.9,-0.2,0.1,0.2070044517669726
1.1,-0.2,0.1,0.3123107210322058
1.0,-0.3,0.1,0.3617892085172619
1.0,-0.1,0.1,0.4092150187957035
1.0,-0.2,0.0,0.3535500278996055
1.0,-0.2,0.2,0.3464621788416578
1.1,-0.6,-0.1,0.3975873829964727
0.9,-0.3,0.1,0.2986524633849977
1.1,-0.3,0.1,0.3878111268124219
1.0,-0.4,0.1,0.2350004194468557
1.0,-0.3,0.0,0.360870907887985
1.0,-0.3,0.2,0.3240304740157888
0.8,-0.3,0.1,0.332757215317753
0.9,-0.4,0.1,0.3344919094457741
0.9,-0.3,0.0,0.3550616084515006
0.9,-0.3,0.2,0.3062344746715105
0.7,-0.3,0.1,0.2702952837804567
0.8,-0.4,0.1,0.3526801649873323
0.8,-0.2,0.1,0.3294050651687058
0.8,-0.3,0.0,0.3724869752653786
0.8,-0.3,0.2,0.29862535956347
1.0,-0.6,0.2,0.2839778042153627
0.7,-0.4,0.1,0.2744835259029178
0.8,-0.5,0.1,0.3374918845981803
0.8,-0.4,0.0,0.3619008918008938
0.8,-0.4,0.2,0.273286094107538
0.7,-0.6,-0.1,0.3418041283641446
0.7,-0.4,0.0,0.3623513958185109
0.9,-0.4,0.0,0.4532622933659535
0.8,-0.5,0.0,0.3880672198668063
0.8,-0.4,-0.1,0.4002211818651902
1.1,-0.1,-0.1,0.4209587220293362
1.0,-0.4,0.0,0.3461222028390429
0.9,-0.5,0.0,0.3959239410785781
0.9,-0.4,-0.1,0.3614344217268871
1.2,-0.6,-0.0,0.3350388166784776
1.0,-0.4,-0.1,0.4246446260794218
0.9,-0.5,-0.1,0.4187982744842208
0.9,-0.3,-0.1,0.491556292805857
0.9,-0.4,-0.2,0.5028262749845327
0.7,-0.4,-0.4,0.3697835619734686
