c1,c2,c3,reward
1.0,0.0,0.0,29.42293309325958
0.9,0.0,0.0,30.617084694182523
1.1,0.0,0.0,28.41226844195892
1.0,-0.1,0.0,26.769254757056725
1.0,0.1,0.0,28.186152637829032
1.0,0.0,-0.1,30.50799141190253
1.0,0.0,0.1,28.16918231189423
0.9,0.2,0.0,31.0187286475905
0.9,0.1,0.0,30.140063656528007
1.1,0.1,0.0,30.20832234946673
1.0,0.2,0.0,27.896250537984457
1.0,0.1,-0.1,28.28841741149493
1.0,0.1,0.1,25.21296319640524
0.8,-0.0,-0.3,34.400273090124664
0.7,-0.1,-0.1,31.94079899365179
1.0,0.2,0.1,26.47220620314348
1.0,-0.0,0.3,27.55414145677876
1.0,0.0,-0.3,29.47500762646713
1.2,0.3,0.3,25.611102403868408
1.0,-0.1,0.1,31.47140172940353
1.3,0.3,0.2,21.55596182593941
1.2,0.3,0.2,22.96149122618814
1.4,0.3,0.2,24.013994591184428
1.3,0.2,0.2,24.610288868458007
1.3,0.4,0.2,20.265704103339985
1.3,0.3,0.1,24.06458045506779
1.3,0.3,0.3,23.629641442427392
1.5,0.3,0.2,22.60609066359457
1.2,0.2,0.1,26.36126908752181
1.1,0.1,0.2,28.073593981224043
1.5,0.4,0.4,21.39872585784157
1.3,0.0,0.4,25.105926264829726
1.0,0.4,0.4,24.71867876731813
1.3,0.3,0.0,25.081174743719664
1.4,0.4,0.3,22.790706703663474
1.2,0.1,0.4,24.36745809015501
1.1,0.0,0.1,27.595921440509063
1.1,0.4,0.5,22.800386848301795
1.3,0.2,0.3,23.73556964072446
1.1,0.3,0.3,24.84968649181166
1.1,0.5,-0.0,24.609742360896227
1.4,0.1,0.1,24.698091467910498
1.0,0.3,0.2,29.835461852838865
1.4,0.5,0.3,22.98204265531213
1.5,0.6,0.4,22.44602029893866
1.0,0.4,-0.0,27.60863523449209
1.2,0.4,0.4,22.79058211199825
1.1,0.3,0.1,24.46659254731594
1.1,0.1,0.1,26.963879984835547
1.1,0.0,0.2,29.603145716183207
1.3,0.2,0.4,26.808809606786657
1.4,0.0,0.4,22.96144883651168
1.2,0.5,0.3,20.13062614660157
1.5,0.2,0.0,23.312955677766794
1.5,0.1,0.2,23.04842257122105
1.4,0.6,0.2,22.772769386601293
1.2,0.1,0.5,26.18823206121575
1.2,0.4,-0.0,24.28036458431534
1.2,0.4,0.1,22.04319009100039
1.0,0.3,0.4,28.422140869535102
1.1,0.5,0.2,22.446323253877875
1.3,0.5,0.0,23.855329973796813
1.3,0.4,0.4,22.01996463173652
1.0,0.1,0.2,26.084647637017145
1.0,0.3,-0.1,28.65873242035003
1.4,0.5,0.1,25.215255797294144
1.3,0.5,-0.1,23.80814143915289
1.5,0.2,0.1,21.75830876859543
1.3,0.4,0.1,23.45925833712388
1.2,0.1,0.3,26.47448614787619
1.0,0.4,0.1,27.37680959754194
1.1,0.2,0.0,26.559962654415173
1.2,0.2,0.0,26.45523323310972
1.1,0.3,0.0,27.174828004894863
1.1,0.2,-0.1,27.09301510605008
1.1,0.2,0.1,26.43183797089735
1.4,0.0,-0.3,25.132831249850742
0.9,0.1,0.1,29.59258145814429
0.8,0.1,0.1,29.149138583184968
0.9,0.3,0.2,27.222581365140574
1.0,0.2,0.3,26.304351902861484
1.4,0.0,0.0,25.07210577465188
1.2,0.3,-0.2,25.8122813922282
0.9,0.3,-0.0,27.79334462352441
0.9,0.4,-0.3,28.81719127698323
1.2,0.1,0.0,26.22672555124589
1.3,0.1,0.3,25.03884558051922
1.4,0.2,0.3,25.04712514172241
0.9,0.1,0.2,26.550286464489297
0.9,0.1,0.3,26.84447302908287
1.3,0.2,0.1,23.08620751737746
1.1,0.2,-0.3,29.79100530988774
1.3,0.2,0.0,24.924783358475214
0.9,0.2,0.1,29.221059158469632
1.1,-0.1,0.2,28.18790143695256
1.2,-0.1,-0.3,26.990249674123845
0.9,0.2,0.3,25.24278883413556
1.1,0.2,-0.2,24.38126824903369
1.0,0.4,-0.2,28.04763758382796
0.8,0.3,-0.1,29.663568145238056
1.0,0.3,-0.2,29.63061069015757
1.1,0.2,0.3,26.65071235087464
0.8,0.2,-0.1,30.622860887858995
0.8,0.1,-0.0,28.76718400908077
1.0,0.2,-0.1,28.363481311686627
