c1,c2,c3,reward
1.0,0.0,0.0,-0.0003599869062654
0.9,0.0,0.0,-0.0003224932303674
1.1,0.0,0.0,-0.0004375812935381
1.0,-0.1,0.0,-0.0003811566102062
1.0,0.1,0.0,-0.0005644540266776
1.0,0.0,-0.1,-0.0004150224138901
1.0,0.0,0.1,-0.0003107962457019
1.3,-0.2,-0.2,-0.0005329886334418
1.2,0.0,0.0,-0.0005257786354478
1.1,-0.1,0.0,-0.0004296980394543
1.1,0.1,0.0,-0.0004317195606011
1.1,0.0,-0.1,-0.0005310589892754
1.1,0.0,0.1,-0.0004876749706336
1.0,0.2,-0.1,-0.0005305005860943
1.2,-0.1,0.2,-0.0004904730739768
1.0,-0.2,0.3,-0.000381340234793
1.0,0.3,-0.2,-0.0009123586822755
0.8,-0.1,-0.2,-0.0004057073848898
1.0,-0.2,-0.1,-0.0003367370966001
1.3,-0.1,-0.1,-0.0005070944289176
1.2,-0.1,-0.1,-0.0004997113643939
1.4,-0.1,-0.1,-0.0005376473721423
1.3,-0.2,-0.1,-0.0004550069301837
1.3,0.0,-0.1,-0.0005395756155628
1.3,-0.1,-0.2,-0.0005533446021331
1.3,-0.1,0.0,-0.0005643648529893
1.2,-0.1,0.1,-0.0004779290266798
1.0,0.1,-0.2,-0.0004140122139805
1.5,0.2,0.1,-0.0010625834288939
1.4,0.2,0.1,-0.0006583872436839
1.5,0.1,0.1,-0.0008735079942185
1.5,0.3,0.1,-0.0011679945713825
1.5,0.2,0.0,-0.000943173759217
1.5,0.2,0.2,-0.00084117815679
1.3,0.3,0.2,-0.0007119729883269
1.3,0.2,0.1,-0.0006238631750584
1.4,0.1,0.1,-0.000692869773092
1.4,0.3,0.1,-0.0008738407422547
1.4,0.2,0.0,-0.0006868035903376
1.4,0.2,0.2,-0.0008173924980504
1.5,0.1,0.4,-0.0007583133974732
1.5,0.0,0.3,-0.000829324432351
1.2,0.2,-0.2,-0.0008744609964648
1.4,0.5,0.1,-0.0015104537582121
1.4,-0.1,0.4,-0.000894406385454
1.5,0.1,0.2,-0.0008881993936555
1.2,0.3,0.2,-0.0005664199206849
1.3,0.0,0.2,-0.0006092818186505
1.3,0.5,-0.1,-0.0017465121344167
1.4,0.2,-0.2,-0.0011730384103751
1.4,0.3,0.2,-0.0007355663129693
1.5,0.4,0.1,-0.001307994533391
1.3,0.4,-0.0,-0.0010317640946255
1.1,0.3,0.2,-0.0007278142164234
1.4,0.3,-0.0,-0.000917257097054
1.1,0.3,0.0,-0.0007737937993132
1.4,0.1,0.2,-0.0007532200230851
1.1,0.1,0.2,-0.0003945707287832
1.1,0.4,-0.1,-0.0010052200667843
1.2,0.0,0.3,-0.0004726072869514
1.5,-0.1,-0.0,-0.0007813649829147
1.2,0.5,-0.2,-0.0013883387738772
1.2,0.4,0.1,-0.0006023801972387
1.1,0.4,0.1,-0.0007660167044034
1.3,0.4,0.1,-0.0007231422914595
1.2,0.3,0.1,-0.0005935917934528
1.2,0.5,0.1,-0.0009749553491838
1.2,0.4,0.0,-0.0009106769928148
1.2,0.4,0.2,-0.0006587474636683
1.3,0.3,-0.1,-0.0010089172491442
1.4,0.4,0.1,-0.001091979201419
1.3,0.3,0.1,-0.0009614584493201
1.3,0.5,0.1,-0.0010491388419205
1.3,0.4,0.2,-0.0007821384285427
1.5,0.6,0.1,-0.0019519116321792
1.1,0.5,0.4,-0.0008261695962448
1.3,0.1,0.0,-0.0006322769295352
1.5,0.2,0.3,-0.0008858249263767
1.2,0.1,0.1,-0.0005781649582614
1.1,0.5,-0.2,-0.0012738852576749
1.1,0.5,0.3,-0.0005872730139507
1.4,0.6,0.2,-0.0018475887628926
1.5,0.6,0.0,-0.0019777412037044
1.2,0.4,0.3,-0.0006525052886508
1.0,0.2,0.2,-0.0004442890357384
1.2,0.6,0.3,-0.0010433544379671
1.1,0.1,0.3,-0.0004621564146066
1.3,0.3,0.0,-0.0008170833408416
1.5,0.5,0.0,-0.0014954096653683
1.3,0.6,0.2,-0.0011029993588994
1.0,0.3,0.3,-0.0006255135214298
1.0,0.4,0.3,-0.0006832944202978
1.5,0.5,0.2,-0.0015795492595375
1.2,0.4,0.4,-0.0007841892469572
1.1,0.3,-0.2,-0.0008456568206981
1.5,0.2,-0.1,-0.0011390228999678
1.2,0.3,0.3,-0.0008043417002349
1.3,0.5,0.4,-0.0008319897172677
1.5,0.6,0.3,-0.0016925413231349
1.3,0.2,0.3,-0.0006580735218572
1.3,0.5,-0.0,-0.0016830000603904
1.0,0.6,0.3,-0.0009216890093626
1.1,0.6,0.1,-0.0012532926524772
1.0,0.6,0.0,-0.0010853161821865
1.2,0.6,-0.2,-0.0014888522248276
1.4,0.1,0.3,-0.0006852488826076
1.3,0.2,0.2,-0.0005974576584277
1.4,0.4,0.2,-0.0007611315916386
1.1,0.6,0.3,-0.0007710914412614
1.0,0.2,0.0,-0.0004440453455822
0.9,0.2,0.0,-0.0004335754697683
1.1,0.2,0.0,-0.0005932652559152
1.0,0.3,0.0,-0.0005721743113282
1.0,0.2,0.1,-0.0004291220929152
1.2,0.2,0.4,-0.0005446000861712
0.9,0.2,0.1,-0.0004005781945531
1.1,0.2,0.1,-0.0005301754043789
1.0,0.1,0.1,-0.0004807387183699
1.0,0.3,0.1,-0.000567577856568
0.8,0.0,-0.1,-0.0003636712774654
0.9,0.1,-0.1,-0.0004873618245239
1.2,0.2,-0.0,-0.0006991214870504
1.1,0.5,0.0,-0.0009723331084064
0.7,0.1,0.2,-0.0004596789848509
0.7,-0.0,0.1,-0.0003990479479008
1.2,-0.0,0.2,-0.0005184154538615
0.9,0.4,0.4,-0.0006681900499723
1.0,0.5,0.3,-0.0007249442446326
1.1,0.2,0.3,-0.00053431014584
0.9,-0.0,0.1,-0.00040284530086
1.1,0.1,-0.1,-0.0005624620214423
0.8,0.1,0.2,-0.0003797085109233
1.0,0.4,-0.0,-0.0005816627602076
0.8,0.3,0.4,-0.0005670236053163
0.7,0.3,0.3,-0.0006078156549528
0.8,0.3,-0.1,-0.0006489691046742
0.7,0.1,0.3,-0.0005571990534133
0.7,0.0,-0.0,-0.0003333029961965
1.3,0.1,0.1,-0.0006764755623809
0.9,0.0,0.2,-0.0004309941711723
0.9,0.5,-0.0,-0.0009403168042712
0.8,0.1,-0.2,-0.0005438960455915
0.8,0.2,-0.1,-0.0004385964968459
1.3,0.4,-0.1,-0.001561930507797
0.7,0.4,0.4,-0.0006345034380613
1.2,-0.2,-0.1,-0.0004343914551872
1.4,-0.2,-0.1,-0.0006053562268861
1.3,-0.3,-0.1,-0.0004841511869873
1.3,-0.2,0.0,-0.0004942309670942
1.5,0.0,-0.1,-0.0007414152539506
1.3,-0.5,-0.1,-0.000508960772032
1.4,0.0,-0.3,-0.000811201496796
1.5,-0.3,0.1,-0.0007610617455276
1.3,0.1,0.2,-0.0005380684553722
1.5,-0.3,-0.3,-0.0006627498286112
1.4,-0.3,-0.3,-0.0005476166665916
1.5,-0.4,-0.3,-0.0005598846596753
1.5,-0.2,-0.3,-0.0005470899415013
1.5,-0.3,-0.4,-0.000612662283942
1.5,-0.3,-0.2,-0.0005912483046428
1.2,-0.2,-0.3,-0.0005098964814386
1.4,-0.2,-0.3,-0.0005107950200937
1.5,-0.1,-0.3,-0.0006893573773779
1.5,-0.2,-0.4,-0.00071130392367
1.5,-0.2,-0.2,-0.0005820361591851
1.5,-0.4,-0.4,-0.0005917806050996
1.5,-0.2,-0.1,-0.0007372069145851
1.4,0.0,-0.5,-0.0006888885744933
1.5,-0.3,-0.1,-0.0006669640663715
1.5,-0.5,-0.4,-0.0005429962404925
1.4,-0.1,-0.4,-0.0007255956826537
1.5,0.1,-0.5,-0.000948672761005
1.5,-0.5,-0.3,-0.0006786340196822
1.5,-0.2,-0.0,-0.0007593577574945
1.5,-0.1,-0.2,-0.0005790025608953
1.5,-0.4,-0.5,-0.0006998435562924
1.2,-0.4,-0.5,-0.0005568560042001
1.5,-0.0,-0.2,-0.000707202787625
1.5,-0.5,-0.6,-0.0007219340131614
1.4,-0.1,-0.0,-0.0005763325008039
1.4,0.0,-0.4,-0.0008455238330013
1.3,0.1,-0.3,-0.0009964155498316
1.5,-0.4,-0.2,-0.0005241086444703
1.3,0.0,-0.3,-0.000786886062651
1.3,-0.2,-0.5,-0.0005648655025341
1.5,-0.5,-0.0,-0.0007359159270633
1.2,-0.3,-0.1,-0.0004198006885983
1.5,-0.2,-0.5,-0.0007099471595135
1.3,-0.4,-0.2,-0.0004748323516247
1.4,-0.5,-0.6,-0.000659817875525
1.5,0.0,-0.3,-0.0008388364844998
1.5,0.1,-0.1,-0.0009401777251031
1.3,-0.3,-0.5,-0.0005976896515043
1.3,-0.3,-0.3,-0.0004197327131599
1.3,-0.3,-0.6,-0.0006129691931042
1.5,-0.4,-0.1,-0.0005533363410422
1.5,-0.5,-0.1,-0.0007691843133912
1.2,-0.5,-0.6,-0.0005121002741455
1.1,-0.5,-0.6,-0.0004059240300479
1.3,-0.5,-0.6,-0.0005825487528151
1.2,-0.6,-0.6,-0.0004275813587179
1.2,-0.4,-0.6,-0.0005492042023681
1.2,-0.5,-0.5,-0.0004150377946896
1.0,-0.6,-0.6,-0.0003377959193648
0.9,-0.6,-0.6,-0.0002930711235875
1.1,-0.6,-0.6,-0.0003598412871122
1.0,-0.5,-0.6,-0.0004046184799814
1.0,-0.6,-0.5,-0.0003232414690344
0.7,-0.6,-0.5,-0.0003915454144285
0.8,-0.6,-0.5,-0.0002380305535711
0.7,-0.5,-0.5,-0.0003713495650629
0.7,-0.6,-0.6,-0.0002721562812753
0.7,-0.6,-0.4,-0.0002575929645226
0.8,-0.6,-0.4,-0.0002326226045944
0.7,-0.5,-0.4,-0.0002880348400942
0.7,-0.6,-0.3,-0.0002580750119324
0.7,-0.4,-0.6,-0.0004936510962163
0.7,-0.5,-0.2,-0.000321527061552
0.9,-0.6,-0.4,-0.0002364240807792
0.8,-0.6,-0.1,-0.0002764964704422
0.7,-0.5,-0.3,-0.0003285795497927
0.7,-0.3,-0.4,-0.0003502530683645
0.9,-0.5,-0.3,-0.0002177327098123
0.9,-0.4,-0.2,-0.000243312993133
0.8,-0.6,-0.6,-0.0003469408617779
0.7,-0.4,-0.5,-0.0004893766262896
0.7,-0.6,-0.2,-0.0002402889901695
0.7,-0.4,-0.1,-0.000335632074991
0.7,-0.4,-0.3,-0.0003448027317022
1.0,-0.6,-0.4,-0.0002329250900523
1.0,-0.4,-0.6,-0.0004451900369413
0.9,-0.4,-0.6,-0.0004685222352389
0.7,-0.3,-0.2,-0.000343843950768
0.9,-0.6,-0.2,-0.0002277840053704
0.8,-0.6,-0.3,-0.0002266340470129
0.8,-0.5,-0.2,-0.0002595365869003978
1.0,-0.4,-0.3,-0.0003074382364653501
1.0,-0.5,-0.3,-0.0002343363661459297
1.1,-0.5,-0.3,-0.00031325684330302093
1.0,-0.6,-0.3,-0.0002449396999920047
1.0,-0.5,-0.4,-0.0002889926096082499
1.0,-0.5,-0.2,-0.0002669729447406283
1.2,-0.5,-0.1,-0.0003951677447041379
1.2,-0.6,-0.4,-0.000368682002311034
1.1,-0.4,-0.4,-0.00036690000876556735
1.0,-0.6,-0.1,-0.00026959441262136184
0.9,-0.2,-0.4,-0.00040861939606153045
0.9,-0.3,-0.1,-0.0002977296053197973
0.9,-0.4,-0.0,-0.0002725186734081598
1.0,-0.4,-0.0,-0.0003001822678340222
0.8,-0.3,-0.3,-0.00040080238662548484
0.9,-0.5,-0.1,-0.00025993000253428784
1.2,-0.5,-0.4,-0.00037632800983831543
0.9,-0.5,-0.5,-0.0003212766544237583
1.0,-0.4,-0.2,-0.0003206572328576375
0.9,-0.6,-0.5,-0.00024277114021541222
0.9,-0.4,-0.5,-0.00034733011125741075
0.9,-0.4,-0.3,-0.0002766934491201554
1.1,-0.6,-0.0,-0.00041909459885555283
1.2,-0.4,-0.4,-0.0004529095445287402
1.1,-0.2,-0.0,-0.00039271106840967226
1.2,-0.4,-0.2,-0.0004129023638017677
1.3,-0.5,-0.2,-0.0005323301948211864
1.0,-0.5,-0.1,-0.00031445616922320767
1.1,-0.6,-0.1,-0.0003443084899961096
1.0,-0.4,-0.4,-0.0003733060966566647
0.9,-0.5,-0.4,-0.0002533258295400935
1.1,-0.3,-0.1,-0.00022088969922753573
1.0,-0.3,-0.1,-0.0003458678032176246
1.1,-0.4,-0.1,-0.00036872026200227313
1.1,-0.2,-0.1,-0.00031549931977387785
1.1,-0.3,-0.2,-0.0003722691825355879
1.1,-0.3,0.0,-0.00037780748565121696
1.1,-0.1,-0.1,-0.00038474810816131895
1.3,-0.5,0.2,-0.0006491979131502914
0.8,-0.4,-0.4,-0.0003035642342462246
1.2,-0.3,-0.2,-0.00043242737130443337
1.3,-0.4,0.2,-0.0007058728753050633
0.9,-0.2,-0.1,-0.000262136008648803
1.0,-0.1,-0.1,-0.0003520879767595891
0.9,-0.1,0.0,-0.0002835444016449889
1.0,-0.2,0.0,-0.00030517121622610394
1.0,-0.1,0.2,-0.000363803602141596
1.4,-0.5,0.1,-0.0007056056608361387
1.2,-0.2,-0.4,-0.0005146275225427695
0.9,-0.3,0.1,-0.0002766279126749544
0.9,-0.0,-0.4,-0.0005080726235987905
1.3,-0.1,-0.3,-0.000568413856452397
1.3,-0.4,-0.1,-0.0004418888417977237
