c1,c2,c3,reward
1.0,0.0,0.0,0.0101952263289175
0.9,0.0,0.0,0.0107649763949625
1.1,0.0,0.0,0.0085927332689526
1.0,-0.1,0.0,0.0098544542747126
1.0,0.1,0.0,0.0130933383042684
1.0,0.0,-0.1,0.0124161679462896
1.0,0.0,0.1,0.0091644537070532
1.2,0.4,0.1,0.0112376351625246
0.9,0.1,0.0,0.0121224015088934
1.1,0.1,0.0,0.0105668654073938
1.0,0.2,0.0,0.0127976642196684
1.0,0.1,-0.1,0.0141282702177637
1.0,0.1,0.1,0.0100678262471714
0.7,0.3,-0.4,0.0137454313450359
0.9,0.1,-0.1,0.0137337754799883
1.1,0.1,-0.1,0.0100321864365856
1.0,0.2,-0.1,0.0136725775328607
1.0,0.1,-0.2,0.0145511307261893
0.9,0.4,-0.3,0.0138659651672421
0.9,0.1,-0.2,0.0166625224844169
1.1,0.1,-0.2,0.00828523777975
1.0,0.0,-0.2,0.013502695114913
1.0,0.2,-0.2,0.0157225011335683
1.0,0.1,-0.3,0.013355891677583
0.7,-0.2,-0.1,0.0085629783361396
0.8,0.1,-0.2,0.0130362635276338
0.9,0.0,-0.2,0.0136364952468293
0.9,0.2,-0.2,0.0132751387137925
0.9,0.1,-0.3,0.0118289726360178
1.0,0.3,-0.2,0.015197340631098
0.8,0.4,0.1,0.0134419042148316
1.1,0.1,-0.4,0.0132547120148395
0.9,0.0,0.1,0.0068450604600812
1.0,0.1,-0.5,0.0120305407413157
0.7,0.4,-0.2,0.0120974534103699
0.9,0.1,-0.4,0.0148301272165107
1.1,-0.1,0.0,0.0073816247046999
0.7,-0.1,-0.4,0.0090054888220557
1.1,-0.0,-0.2,0.0111532360193295
0.7,0.3,-0.5,0.0141442230559364
0.8,-0.2,-0.4,0.0097341611974794
0.7,0.2,-0.2,0.0125935252195752
1.1,0.1,0.1,0.008529941342678
0.7,0.1,-0.2,0.0111715944396808
1.0,-0.1,-0.2,0.0111874289135384
1.0,-0.1,-0.3,0.0124611927225991
0.7,-0.0,-0.3,0.0123199880448905
0.7,0.1,0.0,0.0080659806503198
0.9,0.2,-0.1,0.0152595257491105
1.1,0.3,-0.0,0.0123588305943226
1.1,0.2,-0.0,0.0087761009059901
1.1,0.3,-0.1,0.0095217602503921
1.1,0.2,-0.2,0.012475083028844
0.8,0.4,-0.2,0.01381722317443
0.7,-0.1,-0.5,0.0102841830781994
1.1,-0.2,-0.3,0.0087374584877244
0.9,0.0,-0.1,0.0106988688987988
0.8,0.3,0.0,0.0090960846746931
1.1,0.2,-0.3,0.0108106648588468
0.8,0.2,-0.3,0.0119836754938725
0.9,0.2,0.0,0.0115487328151644
0.7,-0.2,0.0,0.0039539066032533
0.7,0.3,-0.3,0.0108269726669024
1.2,-0.0,0.1,0.007150064313441
1.0,-0.0,-0.4,0.0158171278742059
0.9,0.3,-0.1,0.0131384912090304
1.2,-0.1,-0.3,0.0098842209563565
1.0,0.0,-0.3,0.0138153512544158
0.7,0.0,-0.4,0.0113342329661181
0.7,0.2,-0.3,0.0123667630714797
0.8,-0.2,-0.3,0.0088102922455131
1.1,-0.1,-0.4,0.0101831884935823
0.9,0.3,-0.3,0.0142008341327635
1.1,-0.1,-0.1,0.0093873441087495
0.9,-0.1,-0.0,0.0094834551085618
0.7,0.4,0.1,0.0135343871981431
0.7,-0.1,-0.3,0.0122453314734058
0.8,0.3,-0.2,0.0114184666658921
1.1,0.4,0.1,0.0111034250404716
1.0,-0.1,-0.1,0.0095280459828663
0.7,-0.1,-0.2,0.0081935564131813
0.9,0.3,0.1,0.0128492565074204
0.8,-0.1,-0.4,0.0117360525472256
1.0,0.4,-0.3,0.0132708664730203
0.7,0.3,-0.2,0.009340032887138
0.9,-0.2,-0.1,0.0059689916749663
1.0,0.3,-0.3,0.0128352908465598
1.1,-0.1,-0.3,0.0114960077567509
0.8,0.1,-0.0,0.011638266333227
0.9,0.4,-0.4,0.0151728565530894
1.1,0.2,-0.4,0.0118524745317984
0.7,0.1,-0.3,0.0147834455656232
0.8,0.2,-0.2,0.0090700530672954
0.9,0.3,-0.2,0.0143091253495207
0.7,0.1,-0.1,0.0116382383273964
1.2,0.3,-0.1,0.0087451844692512
0.8,0.1,-0.1,0.0146819750568586
1.2,-0.2,-0.2,0.0083885206227438
0.7,0.2,-0.4,0.0145791425609391
0.9,0.3,-0.4,0.0133902760084932
0.8,0.2,-0.5,0.0160992304664824
0.9,0.3,0.0,0.013437469137349
0.9,-0.1,-0.3,0.0135852202217198
1.1,0.4,-0.2,0.0127291104974612
0.7,-0.1,-0.1,0.0064114480943839
1.2,0.3,-0.2,0.0096794050510947
0.8,0.0,-0.2,0.0133006756497648
1.1,0.3,-0.4,0.0125156918961976
1.0,0.4,-0.1,0.0118635813512409
0.8,0.4,-0.4,0.0170414383834948
1.0,0.4,-0.4,0.0141941051959918
0.9,0.5,-0.4,0.0154395193807463
0.9,0.4,-0.5,0.014567368169158
0.8,0.6,-0.5,0.0160574988911165
1.2,0.5,-0.1,0.0086961994562284
1.0,0.5,-0.4,0.0153866078979189
0.7,0.4,-0.3,0.0125216376168518
0.8,0.4,-0.3,0.0122280341395967
0.7,0.5,-0.3,0.0147574203581577
0.7,0.4,-0.4,0.016379165900403
0.7,0.6,-0.2,0.0160238301246855
0.7,0.6,-0.5,0.0153193082055323
0.9,0.6,-0.3,0.0160631792053318
0.9,0.2,-0.6,0.0168961895799382
0.7,0.3,-0.0,0.0109232788405087
0.7,0.5,-0.5,0.0136282464345093
0.7,0.4,-0.1,0.0142398255611504
0.8,0.6,-0.3,0.0138383782646167
