c1,c2,c3,reward
1.0,0.0,0.0,-0.002421231783451
0.9,0.0,0.0,-0.0013540175476261
1.1,0.0,0.0,-0.0009607704919494
1.0,-0.1,0.0,-0.0020312619789821
1.0,0.1,0.0,-0.000554099496771
1.0,0.0,-0.1,-0.0003118077659006
1.0,0.0,0.1,-0.0027848362702422
0.9,0.0,-0.1,0.0039978404396937
1.1,0.0,-0.1,-0.0027856771583706
1.0,-0.1,-0.1,-0.0007698235392839
1.0,0.1,-0.1,-0.0010693341178651
1.0,0.0,-0.2,0.0004162149720482
0.9,-0.0,-0.3,0.004491660246234
0.8,-0.0,-0.3,0.0040814852978131
1.0,-0.0,-0.3,0.0017208068183062
0.9,-0.1,-0.3,0.007473695038996
0.9,0.1,-0.3,0.0038511384205694
0.9,-0.0,-0.4,0.0039568284838885
0.9,-0.0,-0.2,0.0046700358227134
0.7,-0.3,-0.2,0.0006569130796846
0.8,-0.1,-0.3,0.0055924664156178
1.0,-0.1,-0.3,0.0037440355577023
0.9,-0.2,-0.3,0.005054258690102
0.9,-0.1,-0.4,0.0077712802132461
0.9,-0.1,-0.2,0.0035916811685062
0.8,0.0,-0.2,0.0042435111695891
0.8,-0.1,-0.4,0.0058547055468813
1.0,-0.1,-0.4,-0.0003531908094092
0.9,-0.2,-0.4,0.0045700535363145
0.9,-0.1,-0.5,0.0047573214350748
1.0,-0.0,-0.6,0.0035763266281206
1.0,0.1,-0.5,0.0040651704942219
1.2,-0.4,-0.1,-0.0033175074188931
0.8,0.1,-0.5,0.0049097412530077
0.8,0.2,-0.6,0.0033363019857966
1.0,-0.4,-0.3,0.0010054245083675
1.0,-0.2,-0.4,0.0006424691497416
1.1,-0.4,-0.6,0.0007175135735637
1.2,-0.1,-0.4,-0.0019280409412385
1.1,-0.1,-0.3,0.0002437361719964
1.1,0.0,-0.5,0.000853801959935
1.2,-0.2,-0.3,-0.0024564146775762
0.8,-0.2,-0.4,0.0021472430349475
1.2,-0.0,-0.5,-0.000719402042809
0.8,0.2,-0.1,0.0006057836023633
0.7,0.1,-0.1,0.0011416253675427
1.1,0.0,-0.6,0.0001304255501725
0.9,0.2,-0.6,0.0041817374831933
0.7,-0.1,-0.2,0.0015244492843426
1.1,0.1,-0.3,0.0003365351257646
1.0,0.1,-0.3,0.0034848149351187
1.2,-0.2,-0.2,-0.0031775316034358
0.7,0.2,-0.5,0.0035772891865641
0.9,-0.3,-0.5,0.004837610923554
0.7,-0.4,-0.1,0.0038841638413816
1.1,-0.2,-0.4,0.000742916257682
0.8,0.2,-0.3,0.0034979201799635
0.8,-0.2,-0.5,0.0041092035366206
0.7,0.0,-0.5,0.0045084495689091
1.0,-0.4,-0.6,0.0039951581858548
1.0,0.1,-0.2,0.0015235276943644
0.7,-0.1,-0.5,0.0057771736488225
0.9,-0.0,-0.6,0.0039470023631561
0.8,-0.4,-0.6,0.0018728198699029
1.2,-0.3,-0.4,-0.0021570383168923
1.0,-0.3,-0.4,-0.0022444393441121
0.7,-0.4,-0.2,0.0020574676747185
0.9,-0.0,-0.5,0.0033409633088715
1.1,-0.0,-0.3,-0.0024273953982853
1.0,0.2,-0.3,0.0007621121515523
1.1,-0.1,-0.2,0.0003777923825923
0.7,-0.2,-0.4,0.003417259291305
0.7,-0.3,-0.6,0.0022415516417093
0.8,0.1,-0.1,-0.0008671145073252
1.2,-0.0,-0.2,-0.0031339952921373
0.7,-0.3,-0.5,0.0031745776051
0.8,0.0,-0.6,0.0036718405861125
0.7,0.2,-0.3,0.001176317736709
0.7,-0.0,-0.6,0.0031065311418986
1.1,0.1,-0.5,-0.0013772684099794
1.1,-0.2,-0.2,-0.0021536924623665
0.7,0.1,-0.6,0.0070418305742355
0.7,0.1,-0.4,0.0049856352170502
0.8,0.1,-0.4,0.0041495229220331
1.0,-0.2,-0.5,0.000135298811864
0.8,-0.1,-0.5,0.0067800123761734
1.1,0.2,-0.4,-0.0014977933877157
0.7,0.2,-0.6,0.0054444669077172
1.0,0.1,-0.4,0.0021179969878886
1.0,-0.4,-0.2,0.000157321147981
1.0,0.2,-0.1,0.0035850940290285
0.7,-0.2,-0.6,0.0036404635335143
1.0,0.0,-0.4,0.0030491343262971
0.8,-0.3,-0.6,0.0043746411000246
0.8,-0.2,-0.2,0.0066381197491415
0.7,-0.4,-0.5,0.0040436352305707
0.7,0.2,-0.1,0.001251727579027
0.7,0.0,-0.3,0.0003656267136205
1.0,-0.1,-0.2,0.0038916561265512
1.0,-0.3,-0.2,-0.0009920460440084
0.8,-0.3,-0.5,0.0044322620594682
0.9,-0.3,-0.2,0.0033171969964577
0.9,0.1,-0.5,0.0068858388775072
