c1,c2,c3,reward
1.0,0.0,0.0,-0.0283598466347026
0.9,0.0,0.0,-0.0256282104425682
1.1,0.0,0.0,-0.0306845701645169
1.0,-0.1,0.0,-0.0282609757858246
1.0,0.1,0.0,-0.0289094109013552
1.0,0.0,-0.1,-0.0279082283865
1.0,0.0,0.1,-0.0301875875062843
0.8,-0.1,0.1,-0.0244433207435752
1.2,0.0,0.0,-0.0372431525839592
1.1,-0.1,0.0,-0.034541321105304
1.1,0.1,0.0,-0.0316012771893226
1.1,0.0,-0.1,-0.032242578468892
1.1,0.0,0.1,-0.0315876172809193
0.8,0.2,0.2,-0.0227995437212098
1.1,-0.2,-0.1,-0.034290582927543
0.9,0.1,-0.2,-0.0255781671522478
1.3,0.0,0.1,-0.0384043806958742
1.1,-0.0,-0.2,-0.030331219955848
1.4,0.2,0.1,-0.0426136938798728
0.9,0.1,0.2,-0.0263429088797927
0.8,0.1,0.2,-0.0236569976386134
1.0,0.1,0.2,-0.0316294659281857
0.9,0.0,0.2,-0.0270254136067257
0.9,0.2,0.2,-0.0251591929632175
0.9,0.1,0.1,-0.0234332408745672
0.9,0.1,0.3,-0.0268051577799622
0.9,-0.1,0.5,-0.0284992479638411
0.8,-0.1,0.5,-0.0277384105707189
1.0,-0.1,0.5,-0.0326835809223068
0.9,-0.2,0.5,-0.030565343303649
0.9,0.0,0.5,-0.0299793358782195
0.9,-0.1,0.4,-0.0283635937639375
0.9,-0.1,0.6,-0.0285134361853051
0.7,-0.3,0.6,-0.0345489024222807
0.8,-0.1,0.6,-0.0336477156079526
1.0,-0.1,0.6,-0.0312265060411303
0.9,-0.2,0.6,-0.0318957732580419
0.9,0.0,0.6,-0.0291061089753688
1.0,-0.2,0.4,-0.031571916237111
1.0,0.1,0.4,-0.0300481402814034
0.9,0.2,0.4,-0.02949943328009
0.7,0.1,0.3,-0.0258791412541814
0.8,-0.3,0.6,-0.0326825838939804
1.0,-0.2,0.6,-0.0323195401543788
1.1,-0.2,0.6,-0.033422072918215
1.0,-0.3,0.6,-0.0334139188996595
1.0,-0.2,0.5,-0.0307503906475204
1.3,0.1,0.4,-0.0371398109119749
1.2,-0.0,0.6,-0.0374763476997951
1.1,-0.5,0.6,-0.0378331401962963
0.7,0.0,0.6,-0.0305839029757062
0.8,-0.4,0.6,-0.0334086558579924
0.9,-0.3,0.6,-0.031877878003512
1.2,-0.1,0.6,-0.0364184847080503
1.1,-0.1,0.6,-0.0337727218677923
1.3,-0.1,0.6,-0.0384807102980834
1.2,-0.2,0.6,-0.0361691546304777
1.2,-0.1,0.5,-0.0393360642732605
1.5,-0.3,0.4,-0.0437390819061322
1.4,-0.1,0.6,-0.0408711102487877
1.3,-0.2,0.6,-0.0388570371136197
1.3,0.0,0.6,-0.0387877649193253
1.3,-0.1,0.5,-0.0376139817277474
1.0,-0.3,0.3,-0.0327733972648876
1.5,-0.1,0.4,-0.0409739419654776
1.3,-0.4,0.6,-0.0397987916378453
1.5,-0.2,0.6,-0.0403701450830203
1.5,0.1,0.5,-0.0424949575600793
1.3,0.1,0.6,-0.0397075147465985
1.5,-0.2,0.3,-0.0432133847683598
1.2,-0.3,0.3,-0.0363664784557181
1.4,0.2,0.4,-0.0429838618186719
1.5,-0.4,0.5,-0.0444467660788492
1.2,0.2,0.6,-0.0396318636474196
1.0,-0.4,0.6,-0.0329721860260391
1.4,-0.4,0.6,-0.0425254685916213
1.5,-0.0,0.4,-0.0437834006334761
1.2,0.1,0.3,-0.0392972809603319
1.2,0.1,0.6,-0.0378501463913833
1.5,-0.2,0.5,-0.0411364734612611
1.5,-0.1,0.6,-0.0411893284190355
1.2,-0.4,0.6,-0.0353975110371208
1.4,-0.0,0.6,-0.0405525991459223
1.5,-0.0,0.6,-0.0442715116758299
1.4,0.1,0.6,-0.0425423402430891
1.4,-0.0,0.5,-0.0385491330219808
1.4,0.2,0.6,-0.0416735840758214
1.5,0.3,0.5,-0.0449062612806347
1.4,0.3,0.5,-0.0455189314475724
1.5,0.2,0.5,-0.0443254590480746
1.5,0.4,0.5,-0.0454153147922256
1.5,0.3,0.4,-0.0465036724055502
1.5,0.3,0.6,-0.0443938597919338
1.5,0.4,0.6,-0.0465195718460185
1.3,0.0,0.3,-0.0386347956895482
1.3,0.0,0.4,-0.0363318750563948
1.2,0.3,0.4,-0.0392210953612889
1.5,0.4,0.3,-0.0450934643951419
1.4,0.5,0.6,-0.0428829256405492
1.5,0.5,0.6,-0.0458874457052261
1.5,0.1,0.4,-0.0454305237359888
1.5,0.4,0.4,-0.0438075796689571
1.5,0.2,0.6,-0.0449019174835678
1.4,0.0,0.4,-0.0397504513422818
1.3,0.2,0.5,-0.042439118538779
1.5,0.6,0.5,-0.045106129814821
1.3,0.4,0.3,-0.0405790953028327
1.3,0.3,0.5,-0.0400573159107139
1.5,0.1,0.2,-0.0449570653027736
1.4,0.3,0.6,-0.0454446726703243
1.5,0.2,0.4,-0.0435659435775153
1.4,0.6,0.4,-0.0414692112075265
1.5,0.4,0.2,-0.0430913631720768
1.5,0.1,0.6,-0.0431579234967173
1.3,0.4,0.5,-0.0401121384632145
1.5,0.2,0.2,-0.0441005039669768
1.2,0.4,0.6,-0.0401150330311201
1.5,0.2,0.3,-0.043895895874874
1.2,0.3,0.2,-0.0372323350143506
1.2,0.5,0.6,-0.0395713055971004
1.3,0.5,0.6,-0.0424707274593967
1.2,0.6,0.4,-0.0372390378999663
1.3,0.5,0.2,-0.0396446635695029
1.5,0.5,0.3,-0.0438278042910651
1.4,0.4,0.6,-0.0444789815954552
1.5,0.3,0.3,-0.0452853132284343
1.4,0.5,0.4,-0.0440225156559577
1.5,0.1,0.3,-0.0464061793053191
1.5,0.3,0.2,-0.0482722966611809
1.5,0.0,0.5,-0.0436338782127389
1.5,0.0,0.3,-0.0444424280509673
1.5,0.5,0.2,-0.0435119956120692
1.3,0.4,0.4,-0.0397471804168118
1.4,0.5,0.5,-0.0444148935983714
1.4,0.5,0.3,-0.0424292934113867
1.2,-0.3,0.6,-0.0357833573651374
1.2,-0.2,0.5,-0.0351534481189352
1.3,-0.3,0.6,-0.0377416382229736
1.4,-0.1,0.5,-0.0395999222658326
1.0,-0.4,0.5,-0.0304380879704588
1.4,0.1,0.3,-0.0432323720875406
1.5,-0.3,0.6,-0.0438805702553728
1.0,0.0,0.6,-0.0308035966327994
1.2,-0.5,0.6,-0.0369248321601435
1.3,-0.2,0.5,-0.038031172024008
1.4,-0.2,0.4,-0.0424162925611839
1.1,-0.0,0.3,-0.0330185969102786
1.3,-0.3,0.4,-0.0386374284029358
1.0,-0.3,0.4,-0.0334070140605753
0.9,-0.5,0.5,-0.0298128402994966
1.4,-0.2,0.3,-0.0415300466854257
1.4,-0.5,0.6,-0.0428568130989232
1.4,-0.3,0.6,-0.0417911456177082
1.0,0.1,0.5,-0.0336308925047896
1.2,-0.4,0.5,-0.0365578516933966
1.4,-0.5,0.4,-0.0411389412578876
1.1,0.0,0.5,-0.0366038543055509
1.1,-0.5,0.4,-0.0343531096563602
1.0,-0.5,0.4,-0.0312181320296407
1.2,-0.5,0.4,-0.0363357874952645
1.1,-0.6,0.4,-0.0324100995744595
1.1,-0.4,0.4,-0.032603181053297
1.1,-0.5,0.3,-0.0327809751868809
1.1,-0.5,0.5,-0.032825848623689
1.0,-0.4,0.2,-0.0324956013550825
0.9,-0.5,0.4,-0.027146956257418
1.0,-0.6,0.4,-0.0313513273817726
1.0,-0.4,0.4,-0.0285668217215338
1.0,-0.5,0.3,-0.0322723769941699
1.0,-0.5,0.5,-0.032540145110474
0.8,-0.5,0.4,-0.0264690639976474
0.9,-0.6,0.4,-0.0284117287659093
0.9,-0.4,0.4,-0.0291537598318324
0.9,-0.5,0.3,-0.029772505682688
0.7,-0.5,0.4,-0.0255529216053686
0.8,-0.6,0.4,-0.0265615872326758
0.8,-0.4,0.4,-0.0266450553955019
0.8,-0.5,0.3,-0.0256935278200328
0.8,-0.5,0.5,-0.0301205573973295
0.8,-0.6,0.2,-0.0237072645014822
0.7,-0.6,0.2,-0.0213713411980741
0.9,-0.6,0.2,-0.0279631238359522
0.8,-0.5,0.2,-0.0234328258826065
0.8,-0.6,0.1,-0.023236929800711
0.8,-0.6,0.3,-0.0252782296046878
0.7,-0.4,0.3,-0.0235108442221163
0.7,-0.5,0.2,-0.0228778067992932
0.7,-0.6,0.1,-0.020806869879165
0.7,-0.6,0.3,-0.0232748132497409
1.0,-0.6,0.3,-0.0309630886568285
0.7,-0.5,0.1,-0.0231745145039185
0.7,-0.6,0.0,-0.0220608480128716
0.9,-0.6,0.1,-0.0284468400717543
0.7,-0.6,0.4,-0.0244812034240525
1.0,-0.6,0.2,-0.0321648406348896
0.8,-0.4,-0.1,-0.0251296562618858
0.9,-0.6,-0.0,-0.0282402807754268
0.9,-0.5,-0.2,-0.0283828942827405
0.7,-0.4,-0.2,-0.0240333988059953
0.7,-0.6,-0.2,-0.0249841763003671
0.9,-0.4,-0.1,-0.0295015246494079
0.9,-0.6,0.3,-0.0283149346214591
0.7,-0.6,-0.1,-0.0246085710327457
1.0,-0.6,-0.0,-0.0293774045016884
0.9,-0.6,-0.1,-0.0279424243837272
0.8,-0.5,-0.1,-0.0244061834870506
0.7,-0.4,0.1,-0.0227446442665579
0.7,-0.5,-0.1,-0.0227212851824637
0.7,-0.5,-0.0,-0.0222858110153401
0.7,-0.3,0.1,-0.020861097944801
1.0,-0.6,0.1,-0.029744189244138
0.7,-0.3,0.0,-0.0212513125511796
0.7,-0.5,-0.2,-0.0236835879194852
1.0,-0.5,-0.1,-0.032137039190226
0.7,-0.3,0.2,-0.0221303829657407
0.7,-0.4,0.0,-0.0221063436112168
0.8,-0.6,-0.0,-0.02399734535685075
0.8,-0.6,-0.1,-0.02549752267728664
0.9,-0.4,0.2,-0.030229977473186554
1.0,-0.3,0.1,-0.030735960137483375
0.7,-0.5,0.3,-0.023984697312192934
0.7,-0.4,0.2,-0.02269890496890059
0.8,-0.4,0.2,-0.026667031718618717
0.7,-0.2,-0.1,-0.021704422697686382
0.9,-0.4,-0.0,-0.028359019408885407
0.9,-0.3,0.3,-0.03230214964366922
0.9,-0.2,0.2,-0.027998234680860244
0.7,-0.1,-0.0,-0.0206985127578922
1.0,-0.4,0.3,-0.031017171489214596
0.7,-0.2,0.4,-0.027382055025355487
0.7,-0.3,0.4,-0.026986676836597827
0.7,-0.2,0.1,-0.020919909026490963
0.8,-0.5,0.1,-0.026140815132907055
0.7,-0.6,0.5,-0.026422738858401823
1.0,-0.5,0.1,-0.031017869961371267
0.7,-0.4,0.5,-0.02853003007073354
0.9,-0.4,0.5,-0.030578184867076235
0.8,-0.3,0.2,-0.027767871731294577
0.9,-0.5,0.1,-0.02968056550884405
1.0,-0.2,0.2,-0.03240118179063659
0.9,-0.6,0.5,-0.029964861741063546
