c1,c2,c3,reward
1.0,0.0,0.0,-0.0001051273724825
0.9,0.0,0.0,-8.70762867091489e-05
1.1,0.0,0.0,-0.0001665822324814
1.0,-0.1,0.0,-9.992766233217095e-05
1.0,0.1,0.0,-0.0001339875677692
1.0,0.0,-0.1,-0.0001550290485775
1.0,0.0,0.1,-9.582180065838272e-05
0.9,-0.1,-0.0,-8.351661722649995e-05
1.2,0.0,0.0,-0.0001751900191536
1.1,-0.1,0.0,-0.0001241225264364
1.1,0.1,0.0,-0.0002169521587411
1.1,0.0,-0.1,-0.0001953130276363
1.1,0.0,0.1,-0.0001919956829515
1.0,0.2,-0.1,-0.0002147256389393
1.3,0.0,0.0,-0.000240226493554
1.2,-0.1,0.0,-0.0001540745605557
1.2,0.1,0.0,-0.0003020445049302
1.2,0.0,-0.1,-0.0002818494406619
1.2,0.0,0.1,-0.0002636602594533
1.5,-0.1,-0.1,-0.0002367625337869
1.4,-0.1,-0.1,-0.0002170850120576
1.5,-0.2,-0.1,-0.0001287228760032
1.5,0.0,-0.1,-0.0002256613956364
1.5,-0.1,-0.2,-0.0001592400383931
1.5,-0.1,0.0,-0.0002307609000843
1.3,-0.3,-0.3,-0.0001764420413988
1.4,0.0,-0.1,-0.0001846708159993
1.5,0.1,-0.1,-0.0002007535535851
1.5,0.0,-0.2,-0.0001349294683592
1.5,0.0,0.0,-0.0002802964512254
1.3,-0.2,0.1,-0.0002105983796239
1.4,0.3,0.2,-0.0002806263691052
1.4,0.1,-0.0,-0.0002578567656806
1.5,0.0,-0.3,-0.0001015619120628
1.5,0.2,-0.1,-0.0001216141391841
1.4,0.2,-0.1,-0.0001937543520626
1.5,0.3,-0.1,-0.0001281411574618
1.5,0.2,-0.2,-0.0001217132261906
1.5,0.2,0.0,-0.0001577146257488
1.4,0.3,-0.1,-0.000193353580398
1.5,0.4,-0.1,-0.0001389167736866
1.5,0.3,-0.2,-7.537927941185124e-05
1.5,0.3,0.0,-0.0001560056753473
1.5,0.1,-0.3,-0.0001206045960342
1.4,0.4,-0.1,-0.000205346065973
1.5,0.5,-0.1,-0.0001255070048325
1.5,0.4,-0.2,-0.000108003351612
1.5,0.4,0.0,-0.0001542696616276
1.4,0.5,-0.1,-0.0002015429449554
1.5,0.6,-0.1,-0.0001536548053201
1.5,0.5,-0.2,-0.000127256703596
1.5,0.5,0.0,-0.0001556784239016
1.5,0.4,0.2,-0.0001515552703663
1.4,0.4,0.2,-0.0002503449898842
1.5,0.3,0.2,-0.0001986654199756
1.5,0.5,0.2,-0.0001507792451355
1.5,0.4,0.1,-0.0001150671695913
1.5,0.4,0.3,-0.0001923555041861
1.5,0.6,0.0,-0.000172029428168
1.4,0.5,0.2,-0.0002790171471881
1.5,0.6,0.2,-0.0001679813664596
1.5,0.5,0.1,-0.0001310220998725
1.5,0.5,0.3,-0.0001814589469699
1.5,0.6,0.5,-0.000148273245044
1.4,0.6,0.5,-0.0001754754111273
1.5,0.5,0.5,-0.0001350339864797
1.5,0.6,0.4,-0.0001513633224303
1.5,0.6,0.6,-0.0001642173985951
1.5,0.4,0.6,-0.0001610592718947
1.4,0.6,0.6,-0.0001505469214309
1.5,0.5,0.6,-0.0002392713830897
1.2,0.6,0.4,-0.0002630848915361
1.5,0.3,0.6,-0.0001845081729704
1.4,0.4,0.6,-0.0002472654716175
1.5,0.6,0.3,-0.0001438682782281
1.2,0.3,0.6,-0.000160438391171
1.5,0.4,0.4,-0.0001569176473173
1.3,0.5,0.6,-0.0002594395295388
1.3,0.6,0.6,-0.0002497802353927
1.4,0.5,0.6,-0.0001538273155505
1.3,0.5,0.5,-0.000287752949121
1.5,0.5,0.4,-0.0001096028867115
1.4,0.5,0.4,-0.000256458629088
1.5,0.3,0.4,-0.0001858398190032
1.3,0.6,0.5,-0.0002132963711764
1.5,0.3,0.3,-0.0002134054759749
1.4,0.6,0.2,-0.0001192423538465
1.2,0.6,0.6,-0.0002716281562865
1.3,0.4,0.4,-0.0002189448202323
1.2,0.2,0.6,-9.643457667487986e-05
1.3,0.6,0.2,-0.0001550364874266
1.2,0.3,0.4,-0.0002262502658006
1.5,0.3,0.5,-0.0001961778785694
1.2,0.5,0.3,-0.0001711704737956
1.2,0.6,0.2,-0.0002294718665039
1.4,0.6,0.4,-0.0002140142537494
1.2,0.6,0.1,-0.0001532905509433
1.4,0.5,0.5,-0.0002560438838196
1.4,0.3,-0.2,-0.0001639714009458
1.5,0.3,-0.3,-9.552698350731864e-05
1.4,0.4,0.1,-0.0002622891694855
1.3,0.6,-0.2,-0.0001063050457116
1.3,0.5,-0.4,-5.295512474588554e-05
1.2,0.5,-0.2,-0.0001909723076261
1.3,0.2,-0.5,-0.0001163427071204
1.3,0.3,-0.5,-0.000126852359467
1.3,0.3,-0.2,-0.0001800823027738
1.4,0.6,-0.1,-0.0001116879452814
1.5,0.1,0.0,-0.00025151891716
1.5,0.2,-0.3,-0.0001065184551587
1.3,0.4,-0.1,-0.0001902054636286
1.3,0.2,-0.0,-0.0002655703552368
1.5,0.5,-0.4,-0.000169404261352
1.2,0.2,-0.0,-0.000256138895337
1.5,0.2,0.1,-0.0002007089559019
1.2,0.4,-0.5,-0.000133336707304
1.4,0.6,-0.2,-0.0001181355740368
1.5,0.1,-0.2,-0.0001156273161032
1.3,0.3,0.1,-0.0002145871047501
1.5,0.4,-0.5,-0.0002001049947668
1.4,0.1,-0.1,-0.0003351592644555
1.2,0.3,-0.2,-0.00014836465073
1.3,0.5,0.4,-0.0001612570224401
1.2,0.5,0.4,-0.0002539998104422
1.3,0.6,0.4,-0.0002061208960556
1.3,0.5,0.3,-0.0002166270393444
1.5,0.4,0.5,-0.0001580515735637
1.3,0.4,0.6,-0.0002057158128929
1.1,0.6,0.5,-0.000224369326794
1.3,0.6,0.3,-0.0002426343103938
1.2,0.3,0.3,-0.0002900500074868
1.1,0.3,0.3,-0.0001528654293159
1.3,0.3,0.3,-0.0001739870021976
1.2,0.2,0.3,-0.0002585289785001
1.2,0.4,0.3,-0.0001811262772236
1.2,0.3,0.2,-0.0001577108263877
1.1,0.3,-0.1,-0.0001986379144158
1.0,0.3,-0.1,-9.317448817524328e-05
1.2,0.3,-0.1,-0.0001873485141848
1.1,0.2,-0.1,-0.0002219242613335
1.1,0.4,-0.1,-0.0001248943079902
1.1,0.3,-0.2,-0.0001187233001916
1.1,0.3,0.0,-0.0002265054757695
1.0,0.5,0.2,-0.000118903331163
0.9,0.3,-0.1,-0.0001099711128002
1.0,0.4,-0.1,-8.51952531764165e-05
1.0,0.3,-0.2,-6.648488676939558e-05
1.0,0.3,0.0,-0.0001548601594855
1.2,0.3,-0.3,-0.0001811286807973
0.9,0.3,-0.2,-8.283230117568908e-05
1.0,0.2,-0.2,-0.0001918610406843
1.0,0.4,-0.2,-0.0001245469353834
1.0,0.3,-0.3,-0.0001795062832019
1.1,0.2,-0.0,-0.0001566056271398
1.3,0.4,-0.2,-0.0002319682634297
1.0,0.1,0.1,-9.550411917234308e-05
1.2,0.2,-0.2,-0.0002111356625874
0.7,0.5,0.1,-0.0001071630659163
0.8,0.2,-0.4,-0.0001456656899019
0.7,0.2,-0.4,-8.207971147947269e-05
0.9,0.2,-0.4,-0.0002057419055087
0.8,0.1,-0.4,-0.0001596249399355
0.8,0.3,-0.4,-6.24627645899185e-05
0.8,0.2,-0.5,-0.000105831384504
0.8,0.2,-0.3,-8.181132285516275e-05
0.7,0.1,-0.4,-0.0001235962549961
0.7,0.3,-0.4,-5.803339547996692e-05
0.7,0.2,-0.5,-0.0001627284670441
0.7,0.2,-0.3,-6.960149788545574e-05
0.9,0.4,-0.4,-6.933314135537686e-05
0.7,0.4,-0.4,-0.0001072919945789
0.7,0.3,-0.5,-0.0001084029659991
0.7,0.3,-0.3,-0.0001237665284672
0.7,0.4,-0.3,-3.195226663826913e-05
0.8,0.4,-0.3,-4.871860202074562e-05
0.7,0.5,-0.3,-2.479123715407117e-05
0.7,0.4,-0.2,-1.52490153824125e-05
0.7,0.6,-0.6,-8.910302969123737e-05
1.0,0.3,-0.5,-0.0001056097126572
0.7,0.3,-0.1,-7.958994899933933e-05
0.7,0.6,-0.2,-3.436339726636695e-05
0.7,0.6,-0.5,-3.2655327161206544e-05
0.7,0.6,-0.1,-3.413941318684117e-05
0.8,0.5,-0.1,-3.790041613501971e-05
0.8,0.2,-0.0,-3.934299092453949e-05
0.9,0.6,-0.2,-4.988933390326609e-05
0.8,0.3,-0.5,-7.925112311455878e-05
0.7,0.2,-0.1,-8.159007949440102e-05
0.7,0.1,-0.0,-5.759765880575579e-05
0.8,0.6,-0.2,-4.851640020275665e-05
0.7,0.4,-0.1,-4.396327064563478e-05
0.7,0.3,-0.2,-4.268890225799084e-05
0.7,0.5,-0.1,-3.231234152947284e-05
0.8,0.5,-0.5,-7.552346313528835e-05
0.8,0.6,-0.3,-7.330047161029154e-05
0.8,0.4,-0.6,-9.396384676432171e-05
0.7,0.5,-0.4,-2.008260737653985e-05
0.8,0.5,-0.4,-5.242397767327592e-05
0.7,0.6,-0.4,-3.9345028755856654e-05
0.7,0.5,-0.5,-6.455640961056046e-05
0.8,0.6,-0.4,-6.444985393123252e-05
0.7,0.6,-0.3,-6.860993757675388e-05
0.8,0.6,-0.1,-5.7448771999050416e-05
0.8,0.6,-0.6,-0.0001149951538277
0.7,0.5,-0.6,-8.383449135914038e-05
1.0,0.6,-0.5,-2.919208538756634e-05
0.9,0.6,-0.4,-0.0001145206460035
0.9,0.3,-0.3,-4.9831760730498354e-05
0.9,0.5,-0.6,-5.920889493148558e-05
0.9,0.4,-0.6,-0.00012055869843581208
0.9,0.4,-0.3,-4.882921423571323e-05
1.0,0.6,-0.6,-8.178418781738984e-05
0.9,0.6,-0.3,-3.1776035717289575e-05
1.0,0.6,-0.3,-4.796398285438221e-05
0.9,0.5,-0.3,-2.633193836658505e-05
1.0,0.5,-0.6,-0.00010217059723528084
0.8,0.5,-0.3,-4.5492797770089e-05
1.0,0.5,-0.3,-7.498170620424393e-05
0.9,0.5,-0.4,-3.8688128621098655e-05
0.9,0.5,-0.2,-1.054332303402237e-05
1.0,0.5,-0.1,-6.471883578730765e-05
0.8,0.5,-0.2,-3.12066542454062e-05
1.0,0.5,-0.2,-6.845895463562275e-05
0.9,0.4,-0.2,-3.362941513641991e-05
0.9,0.5,-0.1,-5.457952838996728e-05
0.8,0.4,0.0,-2.5480269008978606e-05
1.1,0.4,-0.4,-8.540327492890902e-05
1.2,0.3,0.0,-0.0002548362063185496
0.8,0.6,0.1,-7.458566591948858e-05
1.1,0.6,-0.2,-7.274316979723862e-05
0.8,0.3,-0.3,-2.6906594447334987e-05
1.1,0.4,-0.2,-0.0001823258028167401
0.9,0.3,-0.4,-0.00011432876839422316
0.9,0.5,0.1,-5.964952970048257e-05
0.8,0.4,-0.1,-3.6738695304263654e-05
0.9,0.3,0.1,-5.262323105197962e-05
