c1,c2,c3,reward
1.0,0.0,0.0,0.0115778972858803
0.9,0.0,0.0,0.0072780725246519
1.1,0.0,0.0,0.0105324429589965
1.0,-0.1,0.0,0.0104450758662838
1.0,0.1,0.0,0.0063318202140368
1.0,0.0,-0.1,0.0071753961982989
1.0,0.0,0.1,0.0073698391412019
0.8,0.2,-0.1,0.0039786265153663
1.1,-0.0,-0.1,0.0098167493429308
1.0,-0.3,-0.1,0.0097972713747978
1.0,0.1,0.1,0.0082632801878738
1.0,0.1,-0.1,0.0112341920696633
1.1,-0.2,0.1,0.0110209307899745
0.9,0.0,-0.3,0.0110900758095787
0.7,-0.3,-0.1,0.0069981273891422
0.8,-0.1,-0.1,0.0049142337035953
1.3,0.2,-0.2,0.0089045293141917
1.0,0.1,-0.2,0.0118065390807467
0.9,0.1,-0.2,0.0106079150402554
1.1,0.1,-0.2,0.0122530885361706
1.0,0.0,-0.2,0.0152763538812326
1.0,0.2,-0.2,0.012227371099086
1.0,0.1,-0.3,0.014176057437789
1.2,-0.3,-0.0,0.0145926365135893
0.9,0.0,-0.2,0.0095385309620402
1.1,0.0,-0.2,0.0136030944245462
1.0,-0.1,-0.2,0.0147945752312877
1.0,0.0,-0.3,0.01448110228748
0.8,0.3,0.1,0.0007405889230641
0.8,-0.3,-0.2,0.0079594837459612
1.0,-0.3,-0.3,0.0153407471444512
0.9,-0.3,-0.3,0.0108608732211485
1.1,-0.3,-0.3,0.0134448128446939
1.0,-0.4,-0.3,0.0105328618388181
1.0,-0.2,-0.3,0.0147322866705462
1.0,-0.3,-0.4,0.0144920141045566
1.0,-0.3,-0.2,0.0086876925475844
0.8,-0.4,-0.1,0.0080030010535923
0.8,-0.3,-0.4,0.0111446185528423
1.3,-0.4,-0.5,0.0130800198641504
1.1,-0.5,-0.0,0.010921651430773
0.8,-0.0,-0.5,0.0129176318545711
1.1,-0.3,-0.1,0.0078422640564662
1.3,-0.3,-0.1,0.0129003935280487
0.9,-0.2,-0.2,0.0108898619461909
1.1,-0.6,-0.1,0.0128721045391074
0.8,-0.1,-0.6,0.0130292087616325
1.0,-0.3,-0.0,0.0098542026171989
1.1,-0.6,-0.5,0.0141214356534823
1.3,-0.2,-0.2,0.0125134762945273
0.8,-0.1,-0.3,0.0104716504162865
0.9,-0.1,-0.6,0.0150742316936489
0.8,-0.2,-0.5,0.0112906628203031
1.2,-0.4,-0.1,0.0131036163933001
1.3,-0.1,-0.0,0.0120137173460236
0.7,-0.5,-0.1,0.0079725621871949
0.8,-0.5,-0.5,0.0147257644119284
1.1,-0.5,-0.4,0.0146150864542629
