,SP_500,Optimized Portfolio
2019-04-01,1.0,1.0
2019-05-01,1.039313,1.0320376832500728
2019-06-01,0.9709490694859999,0.9918707765857432
2019-07-01,1.0378765888456698,1.0383705527966987
2019-08-01,1.0515018327040357,1.050835026398794
2019-09-01,1.0324780615467544,1.0615237123399495
2019-10-01,1.050217067122189,1.0523203016291154
2019-11-01,1.0716751022376296,1.0683051915766562
2019-12-01,1.1081624244435142,1.100422947323775
2020-01-01,1.1398447881583542,1.11240844467373
2020-02-01,1.1379891208432324,1.1429542978821967
2020-03-01,1.0422728558891081,1.0574498870135167
2020-04-01,0.9118647184331188,0.9622053757470304
2020-05-01,1.0275292867780492,1.033299924592824
2020-06-01,1.0740578679419328,1.0907986161074024
2020-07-01,1.0938076440176492,1.1112453269276128
2020-08-01,1.1540775390106657,1.1830943015318804
2020-09-01,1.234937981781448,1.2718752276272092
2020-10-01,1.1864938346321254,1.242698409816788
2020-11-01,1.153668296203193,1.1961841455231843
2020-12-01,1.2777407067866615,1.3305326800274129
2021-01-01,1.325171719563289,1.3817120241770282
2021-02-01,1.3104132821225127,1.3146837810158303
2021-03-01,1.3446032750663712,1.283749271667917
2021-04-01,1.4016668934569128,1.3024428042187823
2021-05-01,1.4751492803463913,1.3270850876912883
2021-06-01,1.483243424447652,1.3106557744105065
2021-07-01,1.516192193878332,1.355018335071731
2021-08-01,1.5506825339046764,1.3537039671965159
2021-09-01,1.595636820562573,1.3753519357459685
2021-10-01,1.5197339726452321,1.3173120839812138
2021-11-01,1.6248144584498143,1.3534588744086724
2021-12-01,1.6112732547530937,1.3286093693217875
2022-01-01,1.6815457152126403,1.371314084159704
2022-02-01,1.5931216337781837,1.291064784018999
2022-03-01,1.543159746221266,1.2768114289733479
2022-04-01,1.5983631998228396,1.2994850920293257
2022-05-01,1.4577759678560223,1.228845082289244
2022-06-01,1.4578532299823188,1.2539644351780845
2022-07-01,1.3355101869222026,1.1262852465677062
2022-08-01,1.457196533113806,1.1694547535609472
2022-09-01,1.395353112248456,1.1313422230554462
2022-10-01,1.265032712976899,1.0542525642144143
2022-11-01,1.3660620205333731,1.1111960591895937
2022-12-01,1.4394919523231033,1.13717417745926
2023-01-01,1.3546036724026576,1.0943027110345431
2023-02-01,1.4382545129845388,1.1142605855735161
2023-03-01,1.4006988111414864,1.093880759452583
2023-04-01,1.4497961058696178,1.104132611464947
2023-05-01,1.4710240204517608,1.12326684216699
2023-06-01,1.4746751020705222,1.1741998447064097
2023-07-01,1.5701278720773428,1.2203410633156662
2023-08-01,1.6190200838859592,1.2634164759387296
2023-09-01,1.5903375240798356,1.2402959544777192
2023-10-01,1.5128578702441902,1.201776249280029
2023-11-01,1.4796052542562228,1.1393079200346332
2023-12-01,1.6115549712255384,1.2070052634906183
2024-01-01,1.6828324360478728,1.220833983645167
2024-02-01,1.7095827404512896,1.2464279265843392
2024-03-01,1.7980040693701704,1.3117837780305168
2024-04-01,1.8537763575979636,1.3482515331571014
2024-05-01,1.7766314544765245,1.3128868955688704
2024-06-01,1.861947073551942,1.364911753511414
2024-07-01,1.9265007785919877,1.424873719998125
2024-08-01,1.9483106939064274,1.385394930319951
2024-09-01,1.9928003686017806,1.4066288269155076
2024-10-01,2.0330489576464306,1.42716653393911
2024-11-01,2.012927872112604,1.4294217820357802
2024-12-01,2.128270652112528,1.4658215997090007
2025-01-01,2.075085168516236,1.4545395101270542
2025-02-01,2.130814489688168,1.4919766064805249
2025-03-01,2.1037641711523634,1.4510964482595496
2025-04-01,1.9805860845213918,1.3643659043779541
2025-05-01,1.9634140891158094,1.3739133632842204
2025-06-01,2.086804612803345,1.4428333716580655
2025-07-01,2.1875705899668247,1.4999532958523814
2025-08-01,2.2379535785485642,1.5247276551552154
2025-09-01,2.283875388942462,1.4943674968748744
2025-10-01,2.358688639029051,1.5446943742843555
2025-11-01,2.414913646666298,1.5722590552035354
2025-12-01,2.419622668086798,1.571960325753557
2026-01-01,2.414417960200982,1.5806051432419612
2026-02-01,2.4500011671754365,1.5814926670269205
2026-03-01,2.428828273871234,1.5805912165548326
2026-04-01,2.3026052560961796,1.5164395720349761
