,SP_500,Optimized Portfolio
2019-04-01,1.0,1.0
2019-05-01,1.039313,1.0273518377655206
2019-06-01,0.9709490694859999,0.982775041535211
2019-07-01,1.0378765888456698,1.0277113764889916
2019-08-01,1.0515018327040357,1.0415072869582969
2019-09-01,1.0324780615467544,1.0522308659008908
2019-10-01,1.050217067122189,1.0431080241101967
2019-11-01,1.0716751022376296,1.0575498856046472
2019-12-01,1.1081624244435142,1.0933084494802474
2020-01-01,1.1398447881583542,1.1094566213156276
2020-02-01,1.1379891208432324,1.1368895752311596
2020-03-01,1.0422728558891081,1.055022156744296
2020-04-01,0.9118647184331188,1.0032838702291382
2020-05-01,1.0275292867780492,1.0771911691666478
2020-06-01,1.0740578679419328,1.1338679973748664
2020-07-01,1.0938076440176492,1.1640017573155033
2020-08-01,1.1540775390106657,1.2470577101278821
2020-09-01,1.234937981781448,1.3618442360680243
2020-10-01,1.1864938346321254,1.3055929610600971
2020-11-01,1.153668296203193,1.2479681566687113
2020-12-01,1.2777407067866615,1.391581069246763
2021-01-01,1.325171719563289,1.4680375846292955
2021-02-01,1.3104132821225127,1.388251390938127
2021-03-01,1.3446032750663712,1.355585835461415
2021-04-01,1.4016668934569128,1.3594589055224238
2021-05-01,1.4751492803463913,1.3843451819089396
2021-06-01,1.483243424447652,1.3702525477638074
2021-07-01,1.516192193878332,1.4059150767968953
2021-08-01,1.5506825339046764,1.3895642844932352
2021-09-01,1.595636820562573,1.4219940076566897
2021-10-01,1.5197339726452321,1.3494723135089006
2021-11-01,1.6248144584498143,1.3869663081719295
2021-12-01,1.6112732547530937,1.357645840529731
2022-01-01,1.6815457152126403,1.3852852167517273
2022-02-01,1.5931216337781837,1.340485092673196
2022-03-01,1.543159746221266,1.3193322379168757
2022-04-01,1.5983631998228396,1.3478804531780313
2022-05-01,1.4577759678560223,1.2028619953276984
2022-06-01,1.4578532299823188,1.232675106542536
2022-07-01,1.3355101869222026,1.1131919085593358
2022-08-01,1.457196533113806,1.1630946946680343
2022-09-01,1.395353112248456,1.1274574732368987
2022-10-01,1.265032712976899,1.0388565575221338
2022-11-01,1.3660620205333731,1.1080535879293933
2022-12-01,1.4394919523231033,1.136155906882311
2023-01-01,1.3546036724026576,1.0933228289416987
2023-02-01,1.4382545129845388,1.1146039089156636
2023-03-01,1.4006988111414864,1.0925362526907232
2023-04-01,1.4497961058696178,1.0991343355963399
2023-05-01,1.4710240204517608,1.1199801828764435
2023-06-01,1.4746751020705222,1.0987117590992443
2023-07-01,1.5701278720773428,1.1442491498303595
2023-08-01,1.6190200838859592,1.1676594485652458
2023-09-01,1.5903375240798356,1.1544648967716322
2023-10-01,1.5128578702441902,1.0765616054998723
2023-11-01,1.4796052542562228,1.0370087322999506
2023-12-01,1.6115549712255384,1.1024139746337953
2024-01-01,1.6828324360478728,1.1069021501173477
2024-02-01,1.7095827404512896,1.1423935207365643
2024-03-01,1.7980040693701704,1.1966683531819045
2024-04-01,1.8537763575979636,1.2316171786704064
2024-05-01,1.7766314544765245,1.1993118601448578
2024-06-01,1.861947073551942,1.2450183135473045
2024-07-01,1.9265007785919877,1.3025911462078108
2024-08-01,1.9483106939064274,1.2722037164434763
2024-09-01,1.9928003686017806,1.3141448335344887
2024-10-01,2.0330489576464306,1.3308850634357927
2024-11-01,2.012927872112604,1.3258424876199113
2024-12-01,2.128270652112528,1.3934030532076347
2025-01-01,2.075085168516236,1.346027349513401
2025-02-01,2.130814489688168,1.3759952666764939
2025-03-01,2.1037641711523634,1.3325138165315673
2025-04-01,1.9805860845213918,1.23873149437184
2025-05-01,1.9634140891158094,1.2565469241595288
2025-06-01,2.086804612803345,1.3243690848562686
2025-07-01,2.1875705899668247,1.3766463656131993
2025-08-01,2.2379535785485642,1.401038003921523
2025-09-01,2.283875388942462,1.3678352548549406
2025-10-01,2.358688639029051,1.4007362596815531
2025-11-01,2.414913646666298,1.4258534881249174
2025-12-01,2.419622668086798,1.40985541185058
2026-01-01,2.414417960200982,1.3889221301326273
2026-02-01,2.4500011671754365,1.3743384475842797
2026-03-01,2.428828273871234,1.3735550748762582
2026-04-01,2.3026052560961796,1.3161792623369846
