c1,c2,c3,reward
1.0,0.0,0.0,-0.0149856660412756
0.9,0.0,0.0,-0.0141551927483656
1.1,0.0,0.0,-0.0194244409334252
1.0,-0.1,0.0,-0.0152844459714957
1.0,0.1,0.0,-0.0174869678289974
1.0,0.0,-0.1,-0.0181193797776131
1.0,0.0,0.1,-0.0161291550785479
0.8,0.2,0.2,-0.0082653679925781
0.7,0.2,0.2,-0.0102076260763811
0.9,0.2,0.2,-0.009333986640529
0.8,0.1,0.2,-0.0084252713605774
0.8,0.3,0.2,-0.0082740854801888
0.8,0.2,0.1,-0.0125143178359827
0.8,0.2,0.3,-0.0052056583699282
0.7,0.3,0.4,-0.0049927341616805
0.7,0.3,0.2,-0.0114263643017234
0.9,0.3,0.2,-0.0109509824532211
0.8,0.4,0.2,-0.0110334193822818
0.8,0.3,0.1,-0.0098860747287461
0.8,0.3,0.3,-0.0064524583825358
0.7,0.2,0.4,-0.0026266660940453
0.8,0.2,0.4,-0.0031062686714037
0.7,0.1,0.4,-0.0019725839431131
0.7,0.2,0.3,-0.007456998694449
0.7,0.2,0.5,-0.0009764645124347
0.7,0.4,0.6,0.0015397803542193
0.8,0.4,0.6,0.0001529852620563
0.7,0.3,0.6,0.0017623095749982
0.7,0.5,0.6,0.0006528589902257
0.7,0.4,0.5,-0.0020934570028634
0.7,0.4,0.4,-0.0047636785557131
0.9,0.5,0.6,0.0006167857308784
0.8,0.5,0.6,0.0002385816983269
1.0,0.5,0.6,-0.0007117054568341
0.9,0.4,0.6,0.0001929931902888
0.9,0.6,0.6,-0.0010079651982705
0.9,0.5,0.5,-0.001829046395726
1.2,0.6,0.4,-0.0002790610692251
1.1,0.5,0.6,-0.0013299768080481
1.0,0.4,0.6,-0.0010275391210902
1.0,0.6,0.6,-0.001712541234401
1.0,0.5,0.5,-0.0036913447633964
1.3,0.6,0.4,-0.0086624111567947
1.1,0.3,0.3,-0.0044696850554712
1.2,0.2,0.5,-0.0095815226786436
0.8,0.6,0.3,-0.0114733678780906
0.9,0.6,0.3,-0.0055631508649592
