c1,c2,c3,reward
1.0,0.0,0.0,-0.0784853230961497
0.9,0.0,0.0,-0.075829624056617
1.1,0.0,0.0,-0.0877334809300008
1.0,-0.1,0.0,-0.0855483169325205
1.0,0.1,0.0,-0.0837462520119242
1.0,0.0,-0.1,-0.0809113977207269
1.0,0.0,0.1,-0.0817810502179866
0.9,-0.2,0.1,-0.0891039837712243
0.8,0.1,0.1,-0.0876740242507544
0.8,-0.2,-0.0,-0.1082470768660098
0.8,0.0,-0.2,-0.0750764000727297
1.0,0.1,-0.1,-0.0802242371196155
0.9,0.1,-0.1,-0.082548768302689
1.1,0.1,-0.1,-0.1039182676327776
1.0,0.2,-0.1,-0.0769090762567554
1.0,0.1,-0.2,-0.0745152569117958
0.8,-0.1,-0.2,-0.0696063379798912
1.2,0.2,-0.1,-0.0988536762866571
1.0,0.4,0.1,-0.1348900970096054
1.2,0.4,0.2,-0.1250262259688279
0.8,0.3,0.2,-0.1154102796260734
0.9,0.2,0.2,-0.1076434890778939
0.8,0.0,0.2,-0.0798296095198721
1.1,0.3,-0.1,-0.1186479949735
0.9,-0.0,0.1,-0.0918431226779076
1.2,0.3,0.2,-0.1370905230465998
0.8,0.2,-0.1,-0.0842723030046604
1.3,0.1,-0.2,-0.102938397660164
0.8,0.1,-0.1,-0.1024207826606105
1.1,0.3,-0.2,-0.0984442381467689
0.7,-0.0,-0.1,-0.0658506637532212
1.1,0.3,0.0,-0.0983303363665724
1.1,-0.1,-0.1,-0.0836209037938989
0.8,-0.1,-0.3,-0.0878639058483758
1.2,0.3,-0.2,-0.1226579161445793
1.1,0.0,-0.3,-0.0863304793015477
0.7,-0.1,-0.4,-0.0668271962809072
0.8,-0.1,-0.4,-0.0588871692113525
0.7,-0.2,-0.4,-0.0692825757831645
0.7,0.0,-0.4,-0.0954865702320572
0.7,-0.1,-0.5,-0.0676487075541179
0.7,-0.1,-0.3,-0.0615060808177986
0.8,-0.2,-0.6,-0.0734013039023348
0.9,-0.1,-0.4,-0.0594638938259229
0.8,-0.2,-0.4,-0.0547153235750777
0.8,0.0,-0.4,-0.0740110559812324
0.8,-0.1,-0.5,-0.0570004219761185
1.0,-0.2,-0.3,-0.0740617489665434
0.9,-0.1,-0.6,-0.0574335436367914
1.0,0.1,-0.6,-0.0860107699424995
0.7,0.0,-0.5,-0.0675609234082948
0.7,0.1,-0.6,-0.077017615596207
0.8,0.1,-0.6,-0.068201381842665
0.7,-0.0,-0.6,-0.0785600742885071
0.9,-0.3,-0.2,-0.0630114412487561
0.8,-0.3,-0.2,-0.0728324594015689
1.0,-0.3,-0.2,-0.0805846847818345
0.9,-0.4,-0.2,-0.0485792813872791
0.9,-0.2,-0.2,-0.08145108553766
0.9,-0.3,-0.3,-0.0671335211744922
0.9,-0.3,-0.1,-0.0817465189617585
1.2,-0.5,-0.4,-0.1060091910853358
0.8,-0.4,-0.2,-0.0757745549949172
1.0,-0.4,-0.2,-0.0827564465620807
0.9,-0.5,-0.2,-0.060322555006652
0.9,-0.4,-0.3,-0.0524425624679412
0.9,-0.4,-0.1,-0.0914094096849763
0.8,-0.6,-0.3,-0.084906968804509
0.8,-0.6,-0.2,-0.0786762955139517
0.9,-0.5,-0.0,-0.0917281086389992
0.7,-0.6,0.1,-0.1015007396612083
1.1,-0.3,-0.2,-0.0743313891004726
1.1,-0.3,-0.3,-0.0791686231182365
0.7,-0.3,-0.2,-0.0926918864285363
1.2,-0.4,-0.3,-0.0982487100593982
1.2,-0.4,-0.5,-0.1018650019033046
1.2,-0.4,0.1,-0.1034006890401582
0.7,-0.4,-0.2,-0.0921487735647243
0.8,-0.3,-0.4,-0.0507301266719687
1.1,-0.6,-0.2,-0.1057474925895773
1.1,-0.4,0.1,-0.1071968318483267
1.1,-0.2,-0.1,-0.0834068704830069
0.8,-0.3,-0.3,-0.0815952794332004
1.2,-0.2,0.0,-0.0844838116651414
1.1,-0.3,-0.0,-0.1060548321149705
1.1,-0.2,-0.5,-0.0724362732202446
1.0,-0.5,0.0,-0.0786516700184878
0.9,-0.1,-0.3,-0.070246402034382
1.1,-0.5,-0.4,-0.0971209468887024
0.7,-0.3,-0.1,-0.1035533638270871
0.7,-0.6,-0.1,-0.0850630095990837
1.0,-0.6,-0.1,-0.0880999682265965
0.7,-0.3,0.1,-0.1247189016055745
0.8,-0.6,-0.4,-0.0855784966072857
0.9,-0.6,0.0,-0.093181220896848
1.1,-0.5,-0.2,-0.0778793317159796
0.9,-0.2,-0.0,-0.0913889484186293
0.8,-0.1,0.1,-0.0864385045673459
0.7,-0.6,-0.3,-0.1064027257132978
1.1,-0.6,-0.4,-0.106507631841339
1.1,-0.4,-0.1,-0.0807001516618836
0.7,-0.2,-0.2,-0.0934440137411248
0.8,-0.3,-0.5,-0.069023860844933
