date,objective,start_index
2024-03-31,max_return,12
2024-03-31,sharpe,88
2024-03-31,sortino,132
2024-03-31,volatility,151
2024-03-31,downside_vol,215
2024-04-30,max_return,1
2024-04-30,sharpe,74
2024-04-30,sortino,142
2024-04-30,volatility,170
2024-04-30,downside_vol,243
2024-05-31,max_return,1
2024-05-31,sharpe,72
2024-05-31,sortino,85
2024-05-31,volatility,126
2024-05-31,downside_vol,193
2024-06-30,max_return,1
2024-06-30,sharpe,70
2024-06-30,sortino,145
2024-06-30,volatility,215
2024-06-30,downside_vol,244
2024-07-31,max_return,1
2024-07-31,sharpe,74
2024-07-31,sortino,86
2024-07-31,volatility,118
2024-07-31,downside_vol,209
2024-08-31,max_return,1
2024-08-31,sharpe,68
2024-08-31,sortino,110
2024-08-31,volatility,162
2024-08-31,downside_vol,180
2024-09-30,max_return,1
2024-09-30,sharpe,132
2024-09-30,sortino,140
2024-09-30,volatility,148
2024-09-30,downside_vol,203
2024-10-31,max_return,1
2024-10-31,sharpe,83
2024-10-31,sortino,91
2024-10-31,volatility,96
2024-10-31,downside_vol,156
2024-11-30,max_return,1
2024-11-30,sharpe,116
2024-11-30,sortino,142
2024-11-30,volatility,170
2024-11-30,downside_vol,252
2024-12-31,max_return,1
2024-12-31,sharpe,79
2024-12-31,sortino,96
2024-12-31,volatility,136
2024-12-31,downside_vol,208
2025-01-31,max_return,1
2025-01-31,sharpe,63
2025-01-31,sortino,94
2025-01-31,volatility,117
2025-01-31,downside_vol,143
2025-02-28,max_return,1
2025-02-28,sharpe,48
2025-02-28,sortino,113
2025-02-28,volatility,134
2025-02-28,downside_vol,159
2025-03-31,max_return,1
2025-03-31,sharpe,53
2025-03-31,sortino,118
2025-03-31,volatility,143
2025-03-31,downside_vol,197
2025-04-30,max_return,1
2025-04-30,sharpe,57
2025-04-30,sortino,88
2025-04-30,volatility,139
2025-04-30,downside_vol,149
2025-05-31,max_return,1
2025-05-31,sharpe,98
2025-05-31,sortino,122
2025-05-31,volatility,141
2025-05-31,downside_vol,150
2025-06-30,max_return,1
2025-06-30,sharpe,63
2025-06-30,sortino,124
2025-06-30,volatility,137
2025-06-30,downside_vol,211
2025-07-31,max_return,1
2025-07-31,sharpe,115
2025-07-31,sortino,132
2025-07-31,volatility,149
2025-07-31,downside_vol,168
2025-08-31,max_return,1
2025-08-31,sharpe,61
2025-08-31,sortino,88
2025-08-31,volatility,111
2025-08-31,downside_vol,163
2025-09-30,max_return,1
2025-09-30,sharpe,71
2025-09-30,sortino,126
2025-09-30,volatility,138
2025-09-30,downside_vol,143
2025-10-31,max_return,1
2025-10-31,sharpe,52
2025-10-31,sortino,76
2025-10-31,volatility,113
2025-10-31,downside_vol,137
2025-11-30,max_return,1
2025-11-30,sharpe,49
2025-11-30,sortino,107
2025-11-30,volatility,115
2025-11-30,downside_vol,146
2025-12-31,max_return,1
2025-12-31,sharpe,79
2025-12-31,sortino,93
2025-12-31,volatility,130
2025-12-31,downside_vol,187
2026-01-31,max_return,1
2026-01-31,sharpe,105
2026-01-31,sortino,166
2026-01-31,volatility,191
2026-01-31,downside_vol,211
2026-02-28,max_return,1
2026-02-28,sharpe,79
2026-02-28,sortino,91
2026-02-28,volatility,104
2026-02-28,downside_vol,161
2026-03-31,max_return,268
2026-03-31,sharpe,272
2026-03-31,sortino,277
2026-03-31,volatility,287
2026-03-31,downside_vol,345
