c1,c2,c3,reward
1.0,0.0,0.0,-0.0292551942188572
0.9,0.0,0.0,-0.0255362027980397
1.1,0.0,0.0,-0.0332458496192769
1.0,-0.1,0.0,-0.0292129764165304
1.0,0.1,0.0,-0.0280826361228865
1.0,0.0,-0.1,-0.0288159756139313
1.0,0.0,0.1,-0.0284823973416962
1.2,-0.3,-0.3,-0.037480078950898
0.8,0.0,0.0,-0.0255800078513364
0.9,-0.1,0.0,-0.0283683788964364
0.9,0.1,0.0,-0.0274480407686616
0.9,0.0,-0.1,-0.026181328226436
0.9,0.0,0.1,-0.0286223293385954
0.8,-0.1,0.0,-0.0230093704541672
0.9,-0.2,0.0,-0.0286450563671836
0.9,-0.1,-0.1,-0.0272924557740024
0.9,-0.1,0.1,-0.0229440487539626
1.0,-0.5,0.1,-0.028928775345002
0.8,-0.2,0.0,-0.0244600351362447
1.0,-0.2,0.0,-0.0294092635180375
0.9,-0.3,0.0,-0.024670143634115
0.9,-0.2,-0.1,-0.0275870491800579
0.9,-0.2,0.1,-0.02668289877952
0.7,-0.1,-0.1,-0.0228438522031591
0.9,-0.4,-0.1,-0.0262020367108946
0.8,-0.4,-0.0,-0.0250445235989628
1.0,-0.1,-0.3,-0.0341440124738375
0.7,-0.5,-0.0,-0.0191856081151336
0.8,0.1,-0.2,-0.0246669641260965
0.8,-0.3,-0.1,-0.0260584854238035
0.7,-0.4,0.2,-0.0208300654605334
0.7,-0.0,0.3,-0.0261262901160738
1.1,-0.3,0.1,-0.0329866606698536
0.9,0.1,0.1,-0.0259897849947704
1.0,-0.2,-0.1,-0.0293049745650886
0.9,-0.2,0.3,-0.0278146767628572
0.7,0.1,0.0,-0.0226395724782952
0.7,-0.3,0.1,-0.0209162833327878
1.2,-0.2,-0.1,-0.0370418594409142
0.7,-0.0,0.1,-0.0259464160849936
0.9,0.1,0.2,-0.027993288037105
0.7,0.0,-0.0,-0.0240588497557788
1.0,-0.3,0.3,-0.0322145025265485
0.9,-0.3,0.3,-0.0284701874681552
1.1,-0.3,0.3,-0.0349868974073772
1.0,-0.4,0.3,-0.0341463942761841
1.0,-0.2,0.3,-0.0309952334632752
1.0,-0.3,0.2,-0.0297735988062295
1.0,-0.3,0.4,-0.0317923406561384
0.9,-0.5,0.1,-0.0278150899983984
0.9,-0.4,0.3,-0.0305994159887861
1.1,-0.4,0.3,-0.036010272216174
1.0,-0.5,0.3,-0.0326458472858201
1.0,-0.4,0.2,-0.0312297550314402
1.0,-0.4,0.4,-0.0370939421569167
1.1,-0.6,0.6,-0.0348503067752791
0.9,-0.4,0.4,-0.0318869058626902
1.1,-0.4,0.4,-0.0358683119208985
1.0,-0.5,0.4,-0.0318958926286854
1.0,-0.4,0.5,-0.0335022870568148
1.2,-0.6,0.4,-0.0339385674120313
0.9,-0.5,0.3,-0.0319933079450209
1.1,-0.4,0.5,-0.0372503661625698
0.8,-0.5,0.2,-0.0240820686655549
1.0,-0.6,0.2,-0.0279852977473028
1.1,-0.1,0.6,-0.0339995401663538
0.9,-0.3,0.1,-0.0255637391384828
1.0,-0.6,0.1,-0.0272329270696457
1.2,-0.6,0.3,-0.0333996520087524
1.2,-0.6,0.6,-0.0397913084886529
1.3,-0.6,0.6,-0.0406380078761394
1.2,-0.5,0.6,-0.0419520354914104
1.2,-0.6,0.5,-0.0363199007452652
1.4,-0.5,0.6,-0.0439278250723085
1.1,-0.5,0.6,-0.0374343196462968
1.3,-0.5,0.6,-0.0420936502483803
1.2,-0.4,0.6,-0.0411691030769233
1.2,-0.5,0.5,-0.0381370769446276
1.4,-0.6,0.4,-0.043944547094387
1.3,-0.4,0.6,-0.0401298255574795
1.3,-0.5,0.5,-0.0412642165466611
1.4,-0.5,0.4,-0.0428482147836971
1.3,-0.3,0.3,-0.0384990826103905
1.0,-0.5,0.6,-0.0360228021144618
1.5,-0.6,0.5,-0.0458074342513363
1.1,-0.2,0.6,-0.037176678488689
1.5,-0.6,0.6,-0.0470670768063502
1.1,-0.4,0.6,-0.0372000033802384
1.5,-0.4,0.6,-0.044473947183666
1.4,-0.4,0.6,-0.0456370826494332
1.5,-0.5,0.6,-0.0445645569183792
1.5,-0.3,0.6,-0.0484446319836287
1.5,-0.4,0.5,-0.0434004902235966
1.3,-0.3,0.6,-0.0416302190541405
1.5,-0.5,0.4,-0.0425590746182223
1.5,-0.6,0.4,-0.0447546515215779
1.5,-0.4,0.4,-0.0429120770051468
1.5,-0.5,0.5,-0.0464058453351508
1.5,-0.2,0.6,-0.0478091410502027
1.4,-0.2,0.6,-0.044675501513415
1.2,-0.4,0.4,-0.0399031035751433
1.4,-0.6,0.6,-0.0426771816125064
1.3,-0.6,0.3,-0.0361283527975172
1.5,-0.3,0.4,-0.0458695028264371
1.4,-0.2,0.4,-0.0462826324784291
1.4,-0.4,0.5,-0.0442619591712817
1.2,-0.2,0.6,-0.0369283417232794
1.3,-0.2,0.6,-0.0417997272088332
1.2,-0.3,0.6,-0.0393776727315732
1.2,-0.1,0.6,-0.0383189330245703
