c1,c2,c3,reward
1.0,0.0,0.0,-0.169890542623052
0.9,0.0,0.0,-0.13071534923986353
1.1,0.0,0.0,-0.169154335609057
1.0,-0.1,0.0,-0.1396869210672977
1.0,0.1,0.0,-0.15391769942089165
1.0,0.0,-0.1,-0.1481328792739352
1.0,0.0,0.1,-0.11763161820801098
0.9,-0.1,0.0,-0.1105215153204825
0.8,-0.1,0.0,-0.10608316399200522
0.9,-0.2,0.0,-0.1046310102756693
0.9,-0.1,-0.1,-0.1539638315227316
0.9,-0.1,0.1,-0.09085362080874339
0.9,0.1,-0.1,-0.17621644862411476
0.8,-0.1,0.1,-0.08227622141228537
1.0,-0.1,0.1,-0.10825930704086066
0.9,-0.2,0.1,-0.09236457352596625
0.9,0.0,0.1,-0.10665157509195031
0.9,-0.1,0.2,-0.08938716909301835
0.7,-0.1,-0.0,-0.08796941763839737
0.7,-0.1,0.1,-0.06232656557012913
0.8,-0.2,0.1,-0.07100985258349686
0.8,0.0,0.1,-0.12518367703476715
0.8,-0.1,0.2,-0.07272706146960788
1.0,0.0,0.2,-0.11119967060351921
0.7,-0.2,0.1,-0.04995120243584334
0.7,0.0,0.1,-0.08110844442388686
0.7,-0.1,0.2,-0.05129827805657299
0.7,0.1,0.2,-0.07289085178790855
0.7,-0.3,0.1,-0.04699462329296217
0.7,-0.2,0.0,-0.07191014654637669
0.7,-0.2,0.2,-0.050552341269966126
0.8,-0.3,0.4,-0.046229758957563
0.7,-0.3,0.4,-0.030030479795650877
0.9,-0.3,0.4,-0.0555478056836357
0.8,-0.4,0.4,-0.0449513564391995
0.8,-0.2,0.4,-0.05984173496083267
0.8,-0.3,0.3,-0.0557411737346174
0.8,-0.3,0.5,-0.04279336072257452
0.7,-0.0,0.6,-0.042368187625054
0.7,-0.4,0.4,-0.026792918786086937
0.7,-0.2,0.4,-0.04492391574255709
0.7,-0.3,0.3,-0.032850990801394024
0.7,-0.3,0.5,-0.03657194173295887
0.7,-0.4,0.2,-0.03988111845848233
0.7,-0.5,0.4,-0.025585424568918387
0.7,-0.4,0.3,-0.03743967327590817
0.7,-0.4,0.5,-0.031316165208423084
0.7,-0.6,0.4,-0.02878299622951458
0.8,-0.5,0.4,-0.03948114769464417
0.7,-0.5,0.3,-0.03112981076765526
0.7,-0.5,0.5,-0.02985375055290988
1.0,-0.3,0.6,-0.0649268145847668
0.8,-0.2,0.3,-0.06608572932916426
0.9,-0.6,0.6,-0.030793292681399617
0.7,-0.4,0.6,-0.035404190224482435
0.8,-0.5,0.6,-0.04196906343769305
0.7,-0.5,0.1,-0.034324853717066534
0.8,-0.6,0.1,-0.0488193336236737
0.7,-0.3,0.6,-0.034821112935312745
0.9,-0.5,0.6,-0.03728158589761495
0.7,-0.3,0.2,-0.04285814527286665
0.8,-0.6,0.2,-0.04557607685354676
0.9,-0.4,0.3,-0.048653748709742
1.0,-0.6,0.1,-0.08832185946900431
0.7,-0.6,0.6,-0.03331558196099385
0.9,-0.3,0.6,-0.055880161547265106
0.8,-0.5,0.3,-0.041705464995690195
0.7,-0.6,0.3,-0.023509669874130425
0.8,-0.6,0.3,-0.0438657149247665
0.7,-0.6,0.2,-0.02676887767751348
0.7,-0.6,0.5,-0.028322437357323958
0.9,-0.6,0.1,-0.06344819770302797
0.8,-0.6,0.5,-0.02865296547019914
0.9,-0.4,0.4,-0.05520935440241454
0.7,-0.6,0.1,-0.035157017854517296
0.7,-0.5,0.2,-0.03164713985234348
0.9,-0.6,0.3,-0.05338169896874936
0.7,-0.6,0.0,-0.03887536978125072
0.7,-0.4,0.1,-0.040646653394210655
1.0,-0.5,0.1,-0.07581661359948792
0.8,-0.4,0.0,-0.05946350895969052
0.9,-0.6,0.2,-0.06276169234503505
0.9,-0.3,0.2,-0.06828187276958524
0.9,-0.4,0.6,-0.0545865200707988
0.8,-0.6,0.0,-0.04745746820571048
1.0,-0.6,0.4,-0.04641838765059411
