Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2006,BHARTIARTL,CIPLA,HCLTECH,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INFY,ITC,LT,M&M,MARUTI,ONGC,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,BPCL,HDFCBANK,GAIL,AMBUJACEM,TATAPOWER,ACC,BHEL,VEDL,PNB,RANB,RELINFRA,WIPRO,SIEMENS,SAIL,RCOM,SUZLON,ABB,GRASIM,TATACOMM,NATIONALUM,ZEEL,SATYAMCOMP,DRREDDY,GLAXO,BAJAJ-AUTO,MTNL,HINDPETRO,IPCL,DABUR,ORIENTBANK,JETAIRWAYS
2007,BHARTIARTL,CIPLA,HCLTECH,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INFY,ITC,LT,M&M,MARUTI,ONGC,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,BPCL,HDFCBANK,GAIL,AMBUJACEM,TATAPOWER,ACC,BHEL,VEDL,PNB,RANB,RELINFRA,WIPRO,SIEMENS,STLTECH,SAIL,RCOM,SUZLON,ABB,GRASIM,TATACOMM,NATIONALUM,RPL,ZEEL,SATYAMCOMP,DRREDDY,GLAXO,BAJAJ-AUTO,MTNL,HINDPETRO,IPCL,DABUR
2008,BHARTIARTL,CIPLA,HCLTECH,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INFY,ITC,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,BPCL,HDFCBANK,GAIL,AMBUJACEM,TATAPOWER,ACC,BHEL,VEDL,PNB,CAIRN,DLF,RANB,RELINFRA,WIPRO,SIEMENS,STLTECH,SAIL,RCOM,SUZLON,UNITECH,IDEA,ABB,GRASIM,TATACOMM,NATIONALUM,RPL,ZEEL,SATYAMCOMP,DRREDDY
2009,AXISBANK,BHARTIARTL,CIPLA,HCLTECH,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INFY,ITC,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,BPCL,HDFCBANK,GAIL,AMBUJACEM,TATAPOWER,ACC,BHEL,VEDL,PNB,CAIRN,JINDALSTEL,DLF,RANB,RELINFRA,WIPRO,SIEMENS,STLTECH,SAIL,RPOWER,RCOM,RELCAPITAL,SUZLON,UNITECH,IDEA,ABB,GRASIM,TATACOMM,NATIONALUM
2010,AXISBANK,BHARTIARTL,CIPLA,HCLTECH,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INFY,ITC,KOTAKBANK,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,BPCL,HDFCBANK,GAIL,AMBUJACEM,TATAPOWER,ACC,BHEL,VEDL,PNB,CAIRN,IDFCFIRSTB,JINDALSTEL,DLF,RANB,JPASSOCIAT,RELINFRA,WIPRO,SIEMENS,STLTECH,SAIL,RPOWER,RCOM,RELCAPITAL,SUZLON,UNITECH,IDEA,ABB
2011,AXISBANK,BAJAJ-AUTO,BHARTIARTL,CIPLA,DRREDDY,HCLTECH,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INFY,ITC,KOTAKBANK,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,BPCL,HDFCBANK,GAIL,AMBUJACEM,TATAPOWER,ACC,GRASIM,BHEL,VEDL,PNB,CAIRN,IDFCFIRSTB,JINDALSTEL,DLF,RANB,JPASSOCIAT,RELINFRA,WIPRO,SIEMENS,STLTECH,SAIL,RPOWER,RCOM,RELCAPITAL,
2012,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BHARTIARTL,CIPLA,COALINDIA,DRREDDY,HCLTECH,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INFY,ITC,KOTAKBANK,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,BPCL,HDFCBANK,GAIL,AMBUJACEM,TATAPOWER,BANKBARODA,ACC,GRASIM,BHEL,VEDL,PNB,CAIRN,IDFCFIRSTB,JINDALSTEL,DLF,RANB,JPASSOCIAT,RELINFRA,WIPRO,SIEMENS,STLTECH,SAIL,
2013,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BHARTIARTL,CIPLA,COALINDIA,DRREDDY,HCLTECH,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,ULTRACEMCO,BPCL,HDFCBANK,GAIL,LUPIN,AMBUJACEM,TATAPOWER,BANKBARODA,ACC,GRASIM,BHEL,VEDL,PNB,CAIRN,NMDC,IDFCFIRSTB,JINDALSTEL,DLF,RANB,JPASSOCIAT,RELINFRA,
2014,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BHARTIARTL,CIPLA,COALINDIA,DRREDDY,HCLTECH,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,ULTRACEMCO,WIPRO,BPCL,HDFCBANK,GAIL,LUPIN,AMBUJACEM,TATAPOWER,BANKBARODA,ACC,GRASIM,BHEL,VEDL,PNB,CAIRN,NMDC,IDFCFIRSTB,JINDALSTEL,DLF,UNITDSPR,
2015,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BHARTIARTL,CIPLA,COALINDIA,DRREDDY,HCLTECH,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,ULTRACEMCO,WIPRO,BPCL,HDFCBANK,GAIL,ZEEL,YESBANK,LUPIN,BOSCHLTD,AMBUJACEM,TATAPOWER,BANKBARODA,ACC,GRASIM,IDEA,BHEL,VEDL,PNB,CAIRN,NMDC,
