c1,c2,c3,reward,return,std,lambda,Sortino (MAR)
1.0,0.0,0.0,-0.1094509532090592,1.4424455789467645,0.1129898188344608,100.0,3.113771497710494
0.9,0.0,0.0,-0.095275633157846,1.4907786119875404,0.1105327653698683,100.0,3.519082068109907
1.1,0.0,0.0,-0.02515747569974,1.5650964170518646,0.1075894799113213,100.0,3.4179921414551133
1.0,-0.1,0.0,-0.1012490802809816,1.4467995690083173,0.1036493850440035,100.0,3.347755593428876
1.0,0.1,0.0,-0.0457278301963273,1.565992088796312,0.1064803380147282,100.0,3.944289024040036
1.0,0.0,-0.1,-0.0526025914561167,1.5338216436434366,0.108863678393849,100.0,3.7001531242985735
1.0,0.0,0.1,-0.0833654952690505,1.4626339245182636,0.1122830738150375,100.0,3.262831392721835
1.2,0.0,0.0,-0.0176981586517818,1.633498288077105,0.1157575465711216,100.0,3.721574923875204
1.1,-0.1,0.0,-0.0424850928032171,1.5647910149078388,0.1054697751539123,100.0,3.971422263856045
1.1,0.1,0.0,-0.02824260856869,1.6383909906146417,0.1140199180342381,100.0,4.2013423919774135
1.1,0.0,-0.1,-0.0863172380557198,1.4757260282344562,0.1143190341368354,100.0,3.08133507694936
1.1,0.0,0.1,-0.0715445476831208,1.4889719285343817,0.1138637486985534,100.0,3.127804715927156
1.1,0.1,-0.1,-0.0833474430582053,1.518106356142138,0.1098706825360638,100.0,3.429954780437884
1.3,0.0,0.0,-0.100356378411299,1.520267364699584,0.1395816546815865,100.0,2.4838309976384245
1.2,-0.1,0.0,-0.0425204305030906,1.577324409843805,0.1181529445225988,100.0,3.254120939742224
1.2,0.1,0.0,-0.0030081060611235,1.6823652628950871,0.1114216833898875,100.0,3.6133142376150182
1.2,0.0,-0.1,-0.0536222634349361,1.555388116752903,0.1178030159294169,100.0,3.101534248839358
1.2,0.0,0.1,-0.0629263908834353,1.5355064568127537,0.1210619801318033,100.0,2.951625344781999
1.3,0.1,-0.0,-0.0661373483966696,1.5727610657158206,0.1272250026978164,100.0,2.9058649070012863
1.2,0.2,0.0,-0.0159925722203093,1.6552676880887578,0.1154005497756698,100.0,3.5570423405220404
1.2,0.1,-0.1,-0.0416039736900609,1.5812019902447376,0.1127173816108009,100.0,3.111480669088139
1.2,0.1,0.1,-0.0553531409235691,1.6224956081053334,0.1212931951597962,100.0,3.341624154204046
0.9,0.1,0.2,-0.05486535652724661,1.5302392059576995,0.11983157800919765,100.0,3.547689170366235
