c1,c2,c3,reward
1.0,0.0,0.0,1.0474645503360285
0.9,0.0,0.0,1.0725310434972448
1.2,0.0,0.0,0.9377097922363544
1.0,0.2,0.0,0.9215196653493268
1.0,0.0,0.2,0.9485153713526197
1.1,0.0,0.0,0.9958101333544628
0.9,0.2,0.0,1.0222822161822858
0.9,0.0,0.2,1.0001164319332758
0.9,0.0,0.1,1.064902658117083
1.1,0.2,0.0,0.8547086679318701
0.9,0.1,0.1,0.983346901084649
1.1,0.0,0.1,0.9309495635367486
1.1,0.1,0.0,0.9755708253557164
1.0,0.0,0.1,1.0018129067141577
1.0,0.1,0.1,0.9955530518356894
0.9,0.1,0.2,0.9558858716214887
0.9,0.1,0.0,0.9836704586521215
0.9,0.2,0.2,0.8861783569067334
0.9,0.2,0.1,0.9081194908609306
1.0,0.1,0.0,0.9117369654111308
1.0,0.2,0.2,0.8096187566819155
1.1,0.1,0.2,0.855387977700444
1.0,0.2,0.1,0.8543101505441881
1.1,0.0,0.2,0.8934770121896201
1.1,0.1,0.1,0.918358998130406
1.0,0.1,0.2,0.8836891741923015
1.1,0.2,0.1,0.8393101121223824
1.2,0.1,0.0,0.8799837259354114
1.2,0.0,0.1,0.8146580980872447
1.2,0.1,0.1,0.8806854990787063
1.1,0.2,0.2,0.9375179824651044
1.2,0.2,0.0,0.8865373986338784
1.2,0.2,0.2,0.8744757535167128
1.2,0.2,0.1,0.8481536411023084
1.2,0.1,0.2,0.8893157453628203
1.2,0.0,0.2,0.8838112405472343
