c1,c2,c3,reward
1.0,0.0,0.0,0.9074272073383416
0.9,0.0,0.0,0.9895586562279972
1.2,0.0,0.0,0.8990502990503937
1.0,0.2,0.0,0.8595255421431065
1.0,0.0,0.2,1.150173935822143
0.9,0.0,0.2,1.0781188045870953
1.2,0.0,0.2,0.974572398406192
1.0,0.2,0.2,0.895164870937495
1.0,0.0,0.1,0.9015607708444264
1.0,0.0,0.4,0.9511107943233378
1.2,0.0,0.3,0.9826459922362306
1.1,0.0,0.3,1.0638242533229283
1.1,0.0,0.1,1.071219750937647
1.1,0.1,0.1,1.040672172770421
1.0,0.1,0.1,0.8404667889520816
1.1,0.2,0.2,0.870886501903694
0.9,0.0,0.3,0.926732532422498
0.9,0.1,0.4,0.942975894763594
1.2,0.1,0.3,1.0719684993072247
1.0,0.1,0.3,1.089956892925873
1.1,0.2,0.3,0.9073516401179887
0.9,0.0,0.1,1.0068846639326727
1.1,0.0,0.0,0.9262204402460856
1.1,0.2,0.0,0.9603806849955246
1.1,0.0,0.2,1.0387240235001616
0.9,0.2,0.3,1.063139652558669
0.9,0.1,0.3,0.9700583070724366
1.1,0.2,0.1,0.868312840530897
1.1,0.0,0.4,0.9840530932979048
0.9,0.0,0.4,0.9499899188321308
1.0,0.0,0.3,0.9884989269873028
1.1,0.1,0.2,0.8902115502805721
0.9,0.1,0.0,1.106470214469147
1.2,0.0,0.4,1.109253969423373
0.9,0.1,0.2,0.8647533126386497
1.2,0.1,0.2,0.9071204614927424
1.2,0.2,0.3,0.982928051262483
0.9,0.2,0.1,0.9610356433834276
1.2,0.2,0.4,0.92093968244734
1.0,0.1,0.2,0.9840422903432562
1.1,0.1,0.4,0.9632588366050544
1.2,0.0,0.1,0.9299788614925474
1.2,0.2,0.2,0.8329660645654822
0.9,0.2,0.4,0.9064384528533206
1.0,0.1,0.4,0.8788121675505342
1.0,0.1,0.0,0.8592169795265133
0.9,0.1,0.1,1.136362628027189
1.2,0.1,0.0,0.977779650992238
1.0,0.2,0.3,0.7913518518095536
0.9,0.2,0.0,1.0483308628688457
0.9,0.2,0.2,0.8081953680739091
1.1,0.1,0.3,1.0500962667881952
1.2,0.2,0.1,0.9373399577605352
1.2,0.1,0.1,0.7961508729345795
1.0,0.2,0.1,0.872755052308699
1.2,0.1,0.4,1.0233762850326065
1.2,0.2,0.0,0.889308999186873
1.1,0.1,0.0,0.924887181940716
1.0,0.2,0.4,0.895723562494459
1.0,0.7,0.7,0.8360538336577577
0.9,0.7,0.7,0.8044443740087782
1.2,0.7,0.7,0.7182032028217235
1.0,0.6,0.7,0.8927350962475566
1.0,0.9,0.7,0.7261742996376309
1.0,0.7,0.6,0.9124313236162741
1.0,0.7,0.9,0.6020916004906802
0.9,0.7,0.6,0.9299925972651826
1.2,0.7,0.6,0.8265204856419747
1.0,0.6,0.6,0.9406247801299894
1.0,0.9,0.6,0.741937129956695
1.0,0.7,0.5,0.8960848086729957
1.0,0.7,0.8,0.7184726721193783
0.9,0.6,0.6,0.9537596642213425
1.2,0.6,0.6,0.7844177636441526
1.0,0.5,0.6,0.9418652946072539
1.0,0.8,0.6,0.7804864028802074
1.0,0.6,0.5,0.9846020049418049
1.0,0.6,0.8,0.7597774949113174
0.9,0.6,0.5,0.9601890197127599
