c1,c2,c3,reward
1.0,0.0,0.0,0.9898811056415772
0.9,0.0,0.0,1.1025396579428517
1.2,0.0,0.0,0.8412264927051285
1.0,0.2,0.0,0.9539822895525552
1.0,0.0,0.2,0.9499054582957176
1.1,0.0,0.0,0.8980990808997433
0.9,0.2,0.0,1.057877460691336
0.9,0.0,0.2,1.0511801034670711
0.9,0.1,0.0,1.077089252634061
0.9,0.0,0.1,1.065784581457912
0.9,0.2,0.1,1.0555168470632448
1.1,0.1,0.0,0.9066746240592513
1.0,0.2,0.2,0.9440790212174612
1.0,0.0,0.1,0.9599364046697504
0.9,0.1,0.1,1.0092927307489514
0.9,0.1,0.2,1.0406299345031091
1.1,0.0,0.1,0.8861803482567018
1.0,0.1,0.0,1.0030485774505706
1.0,0.1,0.2,0.9190474827041454
1.1,0.0,0.2,0.8841719103065073
1.1,0.2,0.2,0.8706899927485937
0.9,0.2,0.2,1.0506390010555349
1.1,0.2,0.0,0.87778600682292
1.0,0.2,0.1,0.9198404219488894
1.0,0.1,0.1,0.9599575917475802
1.1,0.1,0.2,0.8676105683789107
1.1,0.1,0.1,0.8643463531868952
1.1,0.2,0.1,0.90610836652118
1.2,0.0,0.2,0.8155375913027352
1.2,0.0,0.1,0.8266228311959891
1.2,0.2,0.0,0.8115666202735015
1.2,0.1,0.1,0.8008615613142037
1.2,0.1,0.0,0.8375319670198393
1.2,0.2,0.1,0.7829870692288282
1.2,0.1,0.2,0.8217638522435958
1.2,0.2,0.2,0.7856377671803013
1.0,0.7,0.7,0.7675218092752426
0.9,0.7,0.7,0.8143258110063081
1.2,0.7,0.7,0.6852566641624018
1.0,0.6,0.7,0.7825664450138854
1.0,0.9,0.7,0.7364934567480683
1.0,0.7,0.6,0.7999780021557058
1.0,0.7,0.9,0.689840871948958
1.1,0.7,0.7,0.7245760654841258
0.9,0.6,0.7,0.8316495707668975
0.9,0.9,0.7,0.7787156131712305
0.9,0.7,0.6,0.853070745738959
0.9,0.7,0.9,0.7400792422698229
1.1,0.7,0.6,0.7519223500828144
0.9,0.6,0.6,0.8727114894182113
0.9,0.9,0.6,0.8129249694821179
0.9,0.7,0.5,0.8913240326978744
0.9,0.7,0.8,0.7611649134000784
1.1,0.7,0.5,0.7631412614418144
0.9,0.6,0.5,0.9134092044344482
0.9,0.9,0.5,0.83000503374681
0.9,0.7,0.4,0.9098842389941558
1.1,0.6,0.5,0.762886651030557
0.9,0.5,0.5,0.9349303166148843
0.9,0.8,0.5,0.8689283107965696
0.9,0.6,0.4,0.9338857868962844
1.1,0.5,0.5,0.7936674696697922
0.9,0.4,0.5,0.9370448709915057
0.9,0.5,0.4,0.9380270103553441
0.9,0.5,0.7,0.8485104408572517
1.1,0.5,0.4,0.80388001317318
0.9,0.4,0.4,0.9400724814915025
0.9,0.5,0.3,0.9949550172700028
0.9,0.5,0.6,0.8917863975542473
1.1,0.5,0.3,0.8277517936263603
0.9,0.4,0.3,0.999292879310286
0.9,0.7,0.3,0.9430508811699821
0.9,0.5,0.2,1.027723407643849
1.1,0.5,0.2,0.8482558233537422
0.9,0.4,0.2,1.0332463692178633
0.9,0.7,0.2,0.9322977937422688
0.9,0.5,0.1,1.0325089670089447
1.1,0.4,0.2,0.8655931191426158
0.9,0.3,0.2,1.058406876767124
0.9,0.6,0.2,0.9798739555473087
0.9,0.4,0.1,1.0600696118830804
1.1,0.4,0.1,0.9006636552365324
0.9,0.3,0.1,1.0634938024712484
0.9,0.6,0.1,1.0248170836272732
0.9,0.4,0.0,1.0777605596486108
1.1,0.4,0.0,0.894089365366171
0.9,0.3,0.0,1.081775528541205
0.9,0.6,0.0,1.0413390776237246
1.1,0.3,0.0,0.872908408016998
0.9,0.5,0.0,1.0494090212494058
1.0,0.5,0.2,0.8927828455755055
1.0,0.3,0.0,1.001574883898174
1.1,0.5,0.0,0.8806505518856377
1.0,0.5,0.1,0.9462514373397727
1.0,0.4,0.0,1.0083251441480916
1.0,0.4,0.1,0.971456803719056
1.0,0.4,0.2,0.9354330811270719
1.1,0.3,0.1,0.8859818621381125
1.0,0.5,0.0,0.9395845228582561
1.0,0.3,0.2,0.9636846002132096
1.1,0.3,0.2,0.9215577365703219
1.0,0.3,0.1,0.9989749889113959
1.1,0.5,0.1,0.878024275480413
