Ticker,Status
BIIB,SUCCESS
GEN,SUCCESS
XTO,NO_DATA
CITGQ,NO_DATA
CMX,NO_DATA
FSL/B,NO_DATA
FSH,NO_DATA
MTB,SUCCESS
VLO,SUCCESS
TPR,SUCCESS
HSP,NO_DATA
RF,SUCCESS
MYL,NO_DATA
TFCFA,NO_DATA
ETFC,NO_DATA
GILD,SUCCESS
SOV,NO_DATA
LEN,SUCCESS
MUR,SUCCESS
PSA,SUCCESS
VNO,SUCCESS
TSN,SUCCESS
CVH,NO_DATA
DHI,SUCCESS
STZ,SUCCESS
NOV,SUCCESS
AMP,SUCCESS
GNW,SUCCESS
WFTIQ,NO_DATA
SSP,SUCCESS
PDCO,NO_DATA
AMZN,SUCCESS
SHLDQ,NO_DATA
VRSN,SUCCESS
HAR,NO_DATA
KIM,SUCCESS
LM,NO_DATA
BRL,NO_DATA
CELG,NO_DATA
WFM,NO_DATA
CHKAQ,NO_DATA
DFODQ,NO_DATA
EL,SUCCESS
BXP,SUCCESS
WU,SUCCESS
CTSH,SUCCESS
CNX,SUCCESS
BTUUQ,NO_DATA
GOOGL,SUCCESS
VIAB,NO_DATA
CBRE,SUCCESS
FIS,SUCCESS
TNL,SUCCESS
WINMQ,NO_DATA
JNPR,NO_DATA
TEX,SUCCESS
CME,SUCCESS
MDLZ,SUCCESS
JEF,SUCCESS
HST,SUCCESS
NBL,NO_DATA
PCP,NO_DATA
ANDV,NO_DATA
VAR,NO_DATA
GHC,SUCCESS
TEG,NO_DATA
EXPD,SUCCESS
RRC,SUCCESS
AVB,SUCCESS
TIE,NO_DATA
ANF,SUCCESS
AMT,SUCCESS
RL,SUCCESS
CHRW,SUCCESS
AKAM,SUCCESS
HCBK,NO_DATA
COV,NO_DATA
SUNEQ,NO_DATA
GME,SUCCESS
ICE,SUCCESS
AIZ,SUCCESS
TDC,SUCCESS
EXPE,SUCCESS
VALPQ,NO_DATA
DFS,NO_DATA
MTW,SUCCESS
SITC,SUCCESS
ACAS,NO_DATA
GGP,NO_DATA
MCHP,SUCCESS
