c1,c2,c3,reward,Lambda,MAR
1.0,0.1,-0.6,0.005100878261191308,100.0,-0.002678947556550808
0.9,-0.1,-0.6,-0.0058315936842284755,100.0,-0.0031525848048366443
1.1,-0.1,-0.1,-0.014261826794715302,100.0,-0.0018946985948692712
1.3,-0.0,-0.1,-0.021061306440966987,100.0,-0.0026742725510286013
1.3,0.2,-0.3,-0.005041623436000048,100.0,-0.002771014462311934
1.2,-0.0,-0.5,-0.0074887979596208,100.0,-0.0028065719810672443
1.3,0.2,-0.4,-0.02838343304413777,100.0,-0.0030056840231321496
1.3,0.0,-0.4,-0.001121573334989199,100.0,-0.002764660088006237
1.2,-0.1,-0.6,-0.0136728197266629,100.0,-0.0028652906449046387
1.2,0.2,-0.4,-0.019720141659221174,100.0,-0.002910040789490389
