c1,c2,c3,reward,Lambda,MAR
1.1,-0.1,-0.3,-0.03636209057171788,100.0,-2.5440700168104305e-06
1.2,0.1,-0.6,0.07945717706694704,100.0,-1.1706653172757696e-05
1.0,-0.1,-0.3,-0.009163687480740743,100.0,-4.81287656474245e-06
1.1,0.1,-0.5,0.034718169974183026,100.0,-7.72054157521292e-06
1.1,0.3,-0.6,0.08255476657865539,100.0,-6.659390918828036e-06
1.2,0.2,-0.4,0.054852058866607545,100.0,-4.570014964429624e-06
1.2,0.2,-0.5,0.09421456156523585,100.0,-4.943460254457894e-06
1.3,0.0,-0.6,0.05056068419550797,100.0,-2.5824595022860503e-06
1.2,0.1,-0.4,0.05601398545184067,100.0,-8.35162447262951e-06
1.2,0.1,-0.5,0.08800069295133953,100.0,-4.362455055762044e-06
