mktrf,smb,hml,rf,dateff
0.027700,0.007300,0.017800,0.00140,2019-12-31
-0.001100,-0.031300,-0.062500,0.00130,2020-01-31
-0.081300,0.010700,-0.038000,0.00120,2020-02-28
-0.133900,-0.047900,-0.138800,0.00130,2020-03-31
0.136500,0.024500,-0.013400,0.00000,2020-04-30
0.055800,0.024900,-0.048500,0.00010,2020-05-29
0.024600,0.026900,-0.022300,0.00010,2020-06-30
0.057700,-0.023000,-0.014400,0.00010,2020-07-31
0.076300,-0.002800,-0.028800,0.00010,2020-08-31
-0.036300,-0.000300,-0.026500,0.00010,2020-09-30
-0.021000,0.042700,0.043100,0.00010,2020-10-30
0.124700,0.057200,0.021500,0.00010,2020-11-30
0.046300,0.047900,-0.013400,0.00010,2020-12-31
-0.000300,0.075000,0.028500,0.00010,2021-01-29
0.027800,0.020700,0.071000,0.00000,2021-02-26
0.030800,-0.022800,0.072700,0.00000,2021-03-31
0.049300,-0.032000,-0.009500,0.00000,2021-04-30
0.002900,-0.002700,0.071300,0.00000,2021-05-28
0.027500,0.016000,-0.077500,0.00000,2021-06-30
0.012700,-0.039400,-0.018100,0.00000,2021-07-30
0.029100,-0.004600,-0.001000,0.00000,2021-08-31
-0.043700,0.006700,0.051000,0.00000,2021-09-30
0.066500,-0.023700,-0.004500,0.00000,2021-10-29
-0.015500,-0.013200,-0.004100,0.00000,2021-11-30
0.031000,-0.016400,0.032200,0.00010,2021-12-31
-0.062500,-0.059600,0.128000,0.00000,2022-01-31
-0.022900,0.021900,0.031000,0.00000,2022-02-28
0.030600,-0.016600,-0.017600,0.00010,2022-03-31
-0.094600,-0.013800,0.061700,0.00010,2022-04-29
-0.003400,-0.019600,0.085900,0.00030,2022-05-31
-0.084400,0.021800,-0.061000,0.00060,2022-06-30
0.095700,0.028000,-0.040300,0.00080,2022-07-29
-0.037700,0.014000,0.002900,0.00190,2022-08-31
-0.093500,-0.008200,0.000200,0.00190,2022-09-30
0.078300,0.000700,0.080600,0.00230,2022-10-31
0.046100,-0.035100,0.014100,0.00290,2022-11-30
-0.064100,-0.006900,0.013400,0.00330,2022-12-30
0.066400,0.050100,-0.040000,0.00350,2023-01-31
-0.025900,0.011700,-0.008300,0.00340,2023-02-28
0.025100,-0.055100,-0.088700,0.00360,2023-03-31
0.006100,-0.033600,-0.000500,0.00350,2023-04-28
0.003500,0.016000,-0.077400,0.00360,2023-05-31
0.064700,0.015500,-0.002000,0.00400,2023-06-30
0.032100,0.020500,0.041100,0.00450,2023-07-31
-0.023900,-0.032000,-0.010800,0.00450,2023-08-31
-0.052400,-0.024900,0.014500,0.00430,2023-09-29
-0.031800,-0.038800,0.001900,0.00470,2023-10-31
0.088300,-0.000300,0.016600,0.00440,2023-11-30
0.048700,0.063600,0.049200,0.00430,2023-12-29
0.007000,-0.050200,-0.024700,0.00470,2024-01-31
0.050700,-0.002200,-0.035200,0.00420,2024-02-29
0.028300,-0.025100,0.042200,0.00430,2024-03-28
-0.046700,-0.023900,-0.005200,0.00470,2024-04-30
0.043400,0.007800,-0.016700,0.00440,2024-05-31
0.027700,-0.030600,-0.033100,0.00410,2024-06-28
0.012400,0.068000,0.057400,0.00450,2024-07-31
0.016100,-0.035500,-0.011300,0.00480,2024-08-30
0.017400,-0.001700,-0.025900,0.00400,2024-09-30
-0.009700,-0.010100,0.008900,0.00390,2024-10-31
0.065100,0.046300,-0.000500,0.00400,2024-11-29
-0.031700,-0.027300,-0.029500,0.00370,2024-12-31
