NVDA,NVIDIA CORP,Information Technology,Equity,"40,234,150,831.36",6.85,"40,234,150,831.36.1","283,498,808.00",141.92,United States,NASDAQ,USD,1.00,USD.1,-,Year,Month
MSFT,MICROSOFT CORP,Information Technology,Equity,"39,918,963,713.20",6.79,"39,918,963,713.20","86,056,360.00",463.87,United States,NASDAQ,USD,1.0,USD,-,2017,6
AAPL,APPLE INC,Information Technology,Equity,"35,269,799,883.82",6.0,"35,269,799,883.82","173,897,051.00",202.82,United States,NASDAQ,USD,1.0,USD,-,2017,6
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"22,626,519,039.74",3.85,"22,626,519,039.74","109,185,538.00",207.23,United States,NASDAQ,USD,1.0,USD,-,2017,6
META,META PLATFORMS INC CLASS A,Communication,Equity,"17,439,756,771.70",2.97,"17,439,756,771.70","25,350,326.00",687.95,United States,NASDAQ,USD,1.0,USD,-,2017,6
AVGO,BROADCOM INC,Information Technology,Equity,"14,166,502,086.32",2.41,"14,166,502,086.32","54,261,154.00",261.08,United States,NASDAQ,USD,1.0,USD,-,2017,6
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"11,347,327,367.95",1.93,"11,347,327,367.95","67,523,519.00",168.05,United States,NASDAQ,USD,1.0,USD,-,2017,6
TSLA,TESLA INC,Consumer Discretionary,Equity,"10,756,544,913.65",1.83,"10,756,544,913.65","32,394,353.00",332.05,United States,NASDAQ,USD,1.0,USD,-,2017,6
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"10,418,257,477.00",1.77,"10,418,257,477.00","21,218,447.00",491.00,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
GOOG,ALPHABET INC CLASS C,Communication,Equity,"9,269,899,087.15",1.58,"9,269,899,087.15","54,725,185.00",169.39,United States,NASDAQ,USD,1.0,USD,-,2017,6
JPM,JPMORGAN CHASE & CO,Financials,Equity,"8,552,289,605.86",1.46,"8,552,289,605.86","32,368,063.00",264.22,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
V,VISA INC CLASS A,Financials,Equity,"7,341,594,480.00",1.25,"7,341,594,480.00","19,949,985.00",368.00,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
LLY,ELI LILLY,Health Care,Equity,"6,985,284,843.84",1.19,"6,985,284,843.84","9,121,076.00",765.84,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
NFLX,NETFLIX INC,Communication,Equity,"6,138,637,643.52",1.04,"6,138,637,643.52","4,951,872.00","1,239.66",United States,NASDAQ,USD,1.0,USD,-,2017,6
MA,MASTERCARD INC CLASS A,Financials,Equity,"5,507,013,499.47",0.94,"5,507,013,499.47","9,427,719.00",584.13,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"5,404,157,442.74",0.92,"5,404,157,442.74","5,138,546.00","1,051.69",United States,NASDAQ,USD,1.0,USD,-,2017,6
XOM,EXXON MOBIL CORP,Energy,Equity,"5,154,991,832.10",0.88,"5,154,991,832.10","50,390,927.00",102.30,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
WMT,WALMART INC,Consumer Staples,Equity,"4,989,087,761.50",0.85,"4,989,087,761.50","50,217,290.00",99.35,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"4,504,587,125.85",0.77,"4,504,587,125.85","27,144,243.00",165.95,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"4,282,311,762.40",0.73,"4,282,311,762.40","11,499,226.00",372.40,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"4,270,367,653.28",0.73,"4,270,367,653.28","27,870,824.00",153.22,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
ABBV,ABBVIE INC,Health Care,Equity,"3,828,482,113.40",0.65,"3,828,482,113.40","20,436,010.00",187.34,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
BAC,BANK OF AMERICA CORP,Financials,Equity,"3,400,225,362.52",0.58,"3,400,225,362.52","76,650,707.00",44.36,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"3,251,736,194.64",0.55,"3,251,736,194.64","17,999,204.00",180.66,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"3,200,013,022.08",0.54,"3,200,013,022.08","10,653,216.00",300.38,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
KO,COCA-COLA,Consumer Staples,Equity,"3,198,816,888.93",0.54,"3,198,816,888.93","44,820,189.00",71.37,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
ORCL,ORACLE CORP,Information Technology,Equity,"3,156,761,835.10",0.54,"3,156,761,835.10","18,779,071.00",168.10,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
GE,GE AEROSPACE,Industrials,Equity,"3,117,067,591.68",0.53,"3,117,067,591.68","12,424,536.00",250.88,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"3,084,988,568.56",0.52,"3,084,988,568.56","23,728,856.00",130.01,United States,NASDAQ,USD,1.0,USD,-,2017,6
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"2,968,689,552.97",0.51,"2,968,689,552.97","46,104,823.00",64.39,United States,NASDAQ,USD,1.0,USD,-,2017,6
CRM,SALESFORCE INC,Information Technology,Equity,"2,915,529,108.17",0.5,"2,915,529,108.17","11,078,501.00",263.17,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
WFC,WELLS FARGO,Financials,Equity,"2,869,909,572.80",0.49,"2,869,909,572.80","38,072,560.00",75.38,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"2,842,105,900.48",0.48,"2,842,105,900.48","10,703,924.00",265.52,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
ABT,ABBOTT LABORATORIES,Health Care,Equity,"2,669,600,131.20",0.45,"2,669,600,131.20","20,078,220.00",132.96,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
CVX,CHEVRON CORP,Energy,Equity,"2,657,693,406.27",0.45,"2,657,693,406.27","19,346,971.00",137.37,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
LIN,LINDE PLC,Materials,Equity,"2,611,415,502.30",0.44,"2,611,415,502.30","5,511,990.00",473.77,United States,NASDAQ,USD,1.0,USD,-,2017,6
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"2,584,639,528.38",0.44,"2,584,639,528.38","8,295,534.00",311.57,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
INTU,INTUIT INC,Information Technology,Equity,"2,484,759,621.85",0.42,"2,484,759,621.85","3,240,385.00",766.81,United States,NASDAQ,USD,1.0,USD,-,2017,6
NOW,SERVICENOW INC,Information Technology,Equity,"2,415,106,396.50",0.41,"2,415,106,396.50","2,384,725.00","1,012.74",United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
DIS,WALT DISNEY,Communication,Equity,"2,375,032,581.09",0.4,"2,375,032,581.09","20,927,241.00",113.49,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"2,303,684,604.15",0.39,"2,303,684,604.15","4,128,837.00",557.95,United States,NASDAQ,USD,1.0,USD,-,2017,6
MRK,MERCK & CO INC,Health Care,Equity,"2,292,005,065.05",0.39,"2,292,005,065.05","29,283,315.00",78.27,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"2,290,920,777.60",0.39,"2,290,920,777.60","7,240,584.00",316.40,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
T,AT&T INC,Communication,Equity,"2,273,486,204.16",0.39,"2,273,486,204.16","83,095,256.00",27.36,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"2,224,409,373.34",0.38,"2,224,409,373.34","18,758,723.00",118.58,United States,NASDAQ,USD,1.0,USD,-,2017,6
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"2,164,472,953.31",0.37,"2,164,472,953.31","3,612,211.00",599.21,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
RTX,RTX CORP,Industrials,Equity,"2,136,533,689.95",0.36,"2,136,533,689.95","15,420,669.00",138.55,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"2,128,036,479.00",0.36,"2,128,036,479.00","382,947.00","5,557.00",United States,NASDAQ,USD,1.0,USD,-,2017,6
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"2,107,168,047.84",0.36,"2,107,168,047.84","48,731,916.00",43.24,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
PEP,PEPSICO INC,Consumer Staples,Equity,"2,091,581,703.12",0.36,"2,091,581,703.12","15,876,588.00",131.74,United States,NASDAQ,USD,1.0,USD,-,2017,6
ADBE,ADOBE INC,Information Technology,Equity,"2,085,726,430.62",0.35,"2,085,726,430.62","5,039,082.00",413.91,United States,NASDAQ,USD,1.0,USD,-,2017,6
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,"2,018,039,555.55",0.34,"2,018,039,555.55","24,182,619.00",83.45,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"2,009,821,473.28",0.34,"2,009,821,473.28","10,538,074.00",190.72,United States,NASDAQ,USD,1.0,USD,-,2017,6
CAT,CATERPILLAR INC,Industrials,Equity,"1,932,683,595.52",0.33,"1,932,683,595.52","5,532,544.00",349.33,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
PGR,PROGRESSIVE CORP,Financials,Equity,"1,913,459,104.76",0.33,"1,913,459,104.76","6,781,228.00",282.17,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
QCOM,QUALCOMM INC,Information Technology,Equity,"1,908,330,821.65",0.32,"1,908,330,821.65","12,803,293.00",149.05,United States,NASDAQ,USD,1.0,USD,-,2017,6
AXP,AMERICAN EXPRESS,Financials,Equity,"1,901,312,370.96",0.32,"1,901,312,370.96","6,424,872.00",295.93,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
SPGI,S&P GLOBAL INC,Financials,Equity,"1,874,025,162.66",0.32,"1,874,025,162.66","3,646,389.00",513.94,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
BA,BOEING,Industrials,Equity,"1,840,640,782.26",0.31,"1,840,640,782.26","8,683,087.00",211.98,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
MS,MORGAN STANLEY,Financials,Equity,"1,835,773,964.64",0.31,"1,835,773,964.64","14,324,079.00",128.16,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"1,787,286,189.32",0.3,"1,787,286,189.32","4,427,702.00",403.66,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
AMGN,AMGEN INC,Health Care,Equity,"1,784,822,772.78",0.3,"1,784,822,772.78","6,218,678.00",287.01,United States,NASDAQ,USD,1.0,USD,-,2017,6
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"1,747,586,295.82",0.3,"1,747,586,295.82","17,061,274.00",102.43,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
SCHW,CHARLES SCHWAB CORP,Financials,Equity,"1,725,718,484.88",0.29,"1,725,718,484.88","19,727,006.00",87.48,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"1,712,047,083.20",0.29,"1,712,047,083.20","7,527,136.00",227.45,United States,NASDAQ,USD,1.0,USD,-,2017,6
BLK,BLACKROCK INC,Financials,Equity,"1,666,680,482.93",0.28,"1,666,680,482.93","1,685,269.00",988.97,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
TJX,TJX INC,Consumer Discretionary,Equity,"1,666,623,320.46",0.28,"1,666,623,320.46","13,013,378.00",128.07,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
NEE,NEXTERA ENERGY INC,Utilities,Equity,"1,663,500,527.76",0.28,"1,663,500,527.76","23,805,102.00",69.88,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
C,CITIGROUP INC,Financials,Equity,"1,660,137,161.60",0.28,"1,660,137,161.60","21,729,544.00",76.40,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
GILD,GILEAD SCIENCES INC,Health Care,Equity,"1,572,822,927.42",0.27,"1,572,822,927.42","14,426,921.00",109.02,United States,NASDAQ,USD,1.0,USD,-,2017,6
GEV,GE VERNOVA INC,Industrials,Equity,"1,558,965,675.63",0.27,"1,558,965,675.63","3,193,751.00",488.13,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
UNP,UNION PACIFIC CORP,Industrials,Equity,"1,545,081,949.32",0.26,"1,545,081,949.32","6,995,436.00",220.87,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,"1,536,438,987.49",0.26,"1,536,438,987.49","4,709,969.00",326.21,United States,NASDAQ,USD,1.0,USD,-,2017,6
PFE,PFIZER INC,Health Care,Equity,"1,534,426,218.95",0.26,"1,534,426,218.95","65,601,805.00",23.39,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"1,523,443,755.27",0.26,"1,523,443,755.27","9,408,039.00",161.93,United States,NASDAQ,USD,1.0,USD,-,2017,6
SYK,STRYKER CORP,Health Care,Equity,"1,520,751,780.10",0.26,"1,520,751,780.10","3,975,302.00",382.55,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"1,503,660,249.84",0.26,"1,503,660,249.84","43,660,286.00",34.44,United States,NASDAQ,USD,1.0,USD,-,2017,6
ETN,EATON PLC,Industrials,Equity,"1,496,361,562.80",0.25,"1,496,361,562.80","4,574,910.00",327.08,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"1,492,861,642.62",0.25,"1,492,861,642.62","6,536,458.00",228.39,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
DE,DEERE,Industrials,Equity,"1,488,923,179.38",0.25,"1,488,923,179.38","2,932,221.00",507.78,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,"1,487,417,881.59",0.25,"1,487,417,881.59","7,664,337.00",194.07,United States,NASDAQ,USD,1.0,USD,-,2017,6
DHR,DANAHER CORP,Health Care,Equity,"1,430,506,164.24",0.24,"1,430,506,164.24","7,408,878.00",193.08,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
COF,CAPITAL ONE FINANCIAL CORP,Financials,Equity,"1,421,994,580.56",0.24,"1,421,994,580.56","7,373,196.00",192.86,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
TMUS,T MOBILE US INC,Communication,Equity,"1,343,133,267.80",0.23,"1,343,133,267.80","5,551,055.00",241.96,United States,NASDAQ,USD,1.0,USD,-,2017,6
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,"1,331,700,224.75",0.23,"1,331,700,224.75","12,897,823.00",103.25,United States,NASDAQ,USD,1.0,USD,-,2017,6
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"1,325,425,109.25",0.23,"1,325,425,109.25","2,972,805.00",445.85,United States,NASDAQ,USD,1.0,USD,-,2017,6
MMC,MARSH & MCLENNAN INC,Financials,Equity,"1,320,797,976.96",0.22,"1,320,797,976.96","5,685,253.00",232.32,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,"1,313,253,679.68",0.22,"1,313,253,679.68","2,851,428.00",460.56,United States,NASDAQ,USD,1.0,USD,-,2017,6
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,"1,288,551,729.92",0.22,"1,288,551,729.92","14,019,712.00",91.91,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
