DATE,vwretd,sprtrn,spindx
1999-01-29,0.038447,0.041009,1279.64
1999-02-26,-0.038083,-0.032283,1238.33
1999-03-31,0.037925,0.038794,1286.37
1999-04-30,0.049092,0.037944,1335.18
1999-05-28,-0.020708,-0.024970,1301.84
1999-06-30,0.050823,0.054438,1372.71
1999-07-30,-0.030833,-0.032046,1328.72
1999-08-31,-0.009918,-0.006254,1320.41
1999-09-30,-0.022669,-0.028552,1282.71
1999-10-29,0.062107,0.062539,1362.93
1999-11-30,0.036822,0.019062,1388.91
1999-12-31,0.083745,0.057844,1469.25
2000-01-31,-0.039622,-0.050904,1394.46
2000-02-29,0.031760,-0.020108,1366.42
2000-03-31,0.053499,0.096720,1498.58
2000-04-28,-0.059519,-0.030796,1452.43
2000-05-31,-0.038863,-0.021915,1420.60
2000-06-30,0.051576,0.023934,1454.60
2000-07-31,-0.017679,-0.016341,1430.83
2000-08-31,0.074984,0.060699,1517.68
2000-09-29,-0.051154,-0.053483,1436.51
2000-10-31,-0.024480,-0.004949,1429.40
2000-11-30,-0.102365,-0.080069,1314.95
2000-12-29,0.020450,0.004053,1320.28
2001-01-31,0.039573,0.034637,1366.01
2001-02-28,-0.099084,-0.092291,1239.94
2001-03-30,-0.070408,-0.064205,1160.33
2001-04-30,0.083834,0.076814,1249.46
2001-05-31,0.010442,0.005090,1255.82
2001-06-29,-0.017561,-0.025004,1224.42
2001-07-31,-0.018284,-0.010772,1211.23
2001-08-31,-0.058980,-0.064108,1133.58
2001-09-28,-0.091497,-0.081723,1040.94
2001-10-31,0.027847,0.018099,1059.78
2001-11-30,0.078789,0.075176,1139.45
2001-12-31,0.017854,0.007574,1148.08
2002-01-31,-0.015966,-0.015574,1130.20
2002-02-28,-0.021700,-0.020766,1106.73
2002-03-28,0.044698,0.036739,1147.39
2002-04-30,-0.049600,-0.061418,1076.92
2002-05-31,-0.010510,-0.009081,1067.14
2002-06-28,-0.070259,-0.072465,989.81
2002-07-31,-0.081125,-0.078995,911.62
2002-08-30,0.007949,0.004881,916.07
2002-09-30,-0.099923,-0.110013,815.29
2002-10-31,0.074940,0.086436,885.76
2002-11-29,0.061282,0.057070,936.31
2002-12-31,-0.053334,-0.060333,879.82
2003-01-31,-0.023367,-0.027415,855.70
2003-02-28,-0.015417,-0.017004,841.15
2003-03-31,0.010321,0.008358,848.18
2003-04-30,0.082768,0.081044,916.92
2003-05-30,0.063471,0.050899,963.59
2003-06-30,0.016346,0.011322,974.50
2003-07-31,0.023112,0.016224,990.31
2003-08-29,0.024965,0.017873,1008.01
2003-09-30,-0.009120,-0.011944,995.97
2003-10-31,0.060361,0.054962,1050.71
2003-11-28,0.016594,0.007129,1058.20
2003-12-31,0.045476,0.050765,1111.92
2004-01-30,0.023042,0.017276,1131.13
2004-02-27,0.015443,0.012209,1144.94
2004-03-31,-0.010662,-0.016359,1126.21
2004-04-30,-0.024222,-0.016791,1107.30
2004-05-28,0.014068,0.012083,1120.68
2004-06-30,0.021611,0.017989,1140.84
2004-07-30,-0.037698,-0.034291,1101.72
2004-08-31,0.002703,0.002287,1104.24
2004-09-30,0.020556,0.009364,1114.58
2004-10-29,0.017806,0.014014,1130.20
2004-11-30,0.048214,0.038595,1173.82
2004-12-31,0.035170,0.032458,1211.92
2005-01-31,-0.026546,-0.025290,1181.27
2005-02-28,0.022646,0.018903,1203.60
2005-03-31,-0.016944,-0.019118,1180.59
2005-04-29,-0.025206,-0.020109,1156.85
2005-05-31,0.037954,0.029952,1191.50
2005-06-30,0.011529,-0.000143,1191.33
2005-07-29,0.043357,0.035968,1234.18
2005-08-31,-0.005958,-0.011222,1220.33
2005-09-30,0.010600,0.006949,1228.81
2005-10-31,-0.020866,-0.017741,1207.01
2005-11-30,0.040326,0.035186,1249.48
2005-12-30,0.003458,-0.000952,1248.29
2006-01-31,0.040072,0.025467,1280.08
2006-02-28,-0.001639,0.000453,1280.66
2006-03-31,0.019065,0.011065,1294.83
2006-04-28,0.013000,0.012187,1310.61
2006-05-31,-0.031032,-0.030917,1270.09
2006-06-30,-0.000391,0.000087,1270.20
2006-07-31,-0.001912,0.005086,1276.66
2006-08-31,0.025041,0.021274,1303.82
2006-09-29,0.019425,0.024566,1335.85
2006-10-31,0.037153,0.031508,1377.94
2006-11-30,0.023736,0.016467,1400.63
2006-12-29,0.010857,0.012616,1418.30
2007-01-31,0.019387,0.014059,1438.24
2007-02-28,-0.014006,-0.021846,1406.82
2007-03-30,0.012954,0.009980,1420.86
2007-04-30,0.039834,0.043291,1482.37
2007-05-31,0.038953,0.032549,1530.62
